Strategy,CAGR,Volatility,Sharpe,Sortino,Max_Drawdown,Calmar,Win_Rate,Profit_Factor,CAGR_Rank,Sharpe_Rank,Calmar_Rank,Drawdown_Rank,Composite_Score,Overall_Rank
optimized_portfolio_v2_equity,0.4612972314016899,0.17185999654285175,2.335024086315689,2.8500415742209437,-0.16679840318816908,2.765597407316244,0.6175523349436393,1.4820737085256772,1.0,1.0,1.0,1.0,0.8,1
live_portfolio_equity,0.3923722493084494,0.1753040793149047,1.8959755563440015,2.294723804867043,-0.1840627231991666,2.131731197326032,0.6151368760064412,1.404679186472831,3.5,3.5,3.5,3.5,0.55,2
portfolio_health_equity,0.3923722493084494,0.1753040793149047,1.8959755563440015,2.294723804867043,-0.1840627231991666,2.131731197326032,0.6151368760064412,1.404679186472831,3.5,3.5,3.5,3.5,0.55,3
portfolio_drift_equity,0.3923722493084494,0.1753040793149047,1.8959755563440015,2.294723804867043,-0.1840627231991666,2.131731197326032,0.6151368760064412,1.404679186472831,3.5,3.5,3.5,3.5,0.55,4
portfolio_history_equity,0.3923722493084494,0.1753040793149047,1.8959755563440015,2.294723804867043,-0.1840627231991666,2.131731197326032,0.6151368760064412,1.404679186472831,3.5,3.5,3.5,3.5,0.55,5
optimized_portfolio_equity,0.39237224930844916,0.17530407931490466,1.8959755563440006,2.294723804867041,-0.18406272319916683,2.131731197326028,0.6151368760064412,1.4046791864728316,6.0,6.0,6.0,6.0,0.30000000000000004,6
