Factor,Exposure,Contribution,Abs_Contribution,Contribution_%
Momentum_1M,-0.029288636990539366,-0.024757122711575513,0.024757122711575513,9.487032010847143
Momentum_3M,-0.017328537522087545,-0.01464748018096699,0.01464748018096699,5.612975101105342
Momentum_6M,-0.028231664943644843,-0.02386368452678988,0.02386368452678988,9.14466279623678
Momentum_12M,-0.019599920081672023,-0.016567436263960178,0.016567436263960178,6.3487102279607965
Volatility_20D,-0.008175157197968245,-0.006910303473729266,0.006910303473729266,2.6480569258270528
Volatility_60D,-0.03737083043825111,-0.03158884571146532,0.03158884571146532,12.104976573479668
ATR_14,0.029104985936725968,0.024601886000599954,0.024601886000599954,9.427544659936403
Max_Drawdown_252D,0.018098644030971875,0.015298436432280113,0.015298436432280113,5.862424234020176
Distance_SMA50,-0.018588296260540114,-0.015712330064043625,0.015712330064043625,6.021029988791116
Distance_SMA200,-0.02070963430831816,-0.017505456401009704,0.017505456401009704,6.708163431415947
Distance_52W_High,-0.011568470301957389,-0.009778605912705596,0.009778605912705596,3.747202306022474
Dollar_Volume,0.07065808659926685,0.059725924462385324,0.059725924462385324,22.8872217443571
