Overall_Rank,Strategy,Composite_Score,CAGR,Sharpe,Sortino,Calmar,Max_Drawdown,Win_Rate,Profit_Factor
1,portfolio_history_equity,0.8833333333333335,0.8784132870946613,2.334267663060246,2.8251944258630743,2.542523667571508,-0.3454887355812416,0.6151368760064412,1.4046791864728316
2,optimized_portfolio_v2_equity,0.75,0.4612972314016899,2.335024086315689,2.8500415742209437,2.765597407316244,-0.16679840318816908,0.6175523349436393,1.4820737085256772
3,portfolio_drift_equity,0.4666666666666667,0.3923722493084494,1.8959755563440015,2.294723804867043,2.131731197326032,-0.1840627231991666,0.6151368760064412,1.404679186472831
4,live_portfolio_equity,0.4666666666666667,0.3923722493084494,1.8959755563440015,2.294723804867043,2.131731197326032,-0.1840627231991666,0.6151368760064412,1.404679186472831
5,portfolio_health_equity,0.4666666666666667,0.3923722493084494,1.8959755563440015,2.294723804867043,2.131731197326032,-0.1840627231991666,0.6151368760064412,1.404679186472831
6,optimized_portfolio_equity,0.2666666666666667,0.39237224930844916,1.8959755563440006,2.294723804867041,2.131731197326028,-0.18406272319916683,0.6151368760064412,1.4046791864728316
