Security_ID,Symbol,Company_Name,Sector,Rank,Alpha_Adjusted,Weight,Last_Close,Market_Cap,ADV_20D,Portfolio_Date,Engine_Version,Trade_Value,Brokerage_BPS,STT_BPS,Exchange_BPS,SEBI_BPS,Stamp_Duty_BPS,GST_BPS,Slippage_BPS,Impact_BPS,Total_Cost_BPS,Cost_Value,Execution_Quality
SEC39245F03,POLYCAB,Polycab India Limited,Industrials,2.0,0.9127760252365932,0.0240201377534145,9523.0,1428950146682.0,2316271807.35,2026-06-12,1.0.0,240201.37753414502,2.0,10.0,0.35,0.01,3.0,0.423,5.005185086153791,0.152751064454753,20.940936150608543,503.00417102307483,EXCELLENT
SEC6ACA80F1,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,8.0,0.8703470031545743,0.0239763587470696,1804.0999755859373,4125469104629.799,3373669639.0795164,2026-06-12,1.0.0,239763.58747069602,2.0,10.0,0.35,0.01,3.0,0.423,5.0035534538517545,0.126453716168786,20.91300717002054,501.4177623884512,EXCELLENT
SEC0BE45679,POWERINDIA,Hitachi Energy India Limited,Industrials,26.0,0.8406940063091483,0.0236957234556814,34185.0,1518803269225.0,7157744736.0,2026-06-12,1.0.0,236957.23455681402,2.0,10.0,0.35,0.01,3.0,0.423,5.0016552506641165,0.08630543429312229,20.87096068495724,494.5525126451456,EXCELLENT
SEC10D35CD2,SBIN,State Bank of India,Financial Services,36.0,0.8302147239263803,0.0232725996848592,1014.5,4126793239582.544,8773996818.526707,2026-06-12,1.0.0,232725.99684859198,2.0,10.0,0.35,0.01,3.0,0.423,5.001326225673784,0.07725293219048826,20.861579157864274,485.5031805349773,EXCELLENT
SEC23029172,ADANIPOWER,Adani Power Limited,Utilities,29.0,0.835185185185185,0.0232526240012415,220.47000122070312,4126793239582.544,8701394964.536728,2026-06-12,1.0.0,232526.240012415,2.0,10.0,0.35,0.01,3.0,0.423,5.001336143462974,0.07754125085000282,20.861877394312977,485.0933910099594,EXCELLENT
SEC458C7E09,BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,16.0,0.8525193798449612,0.0232284236961244,10073.0,2812545623043.0,3390252519.075879,2026-06-12,1.0.0,232284.236961244,2.0,10.0,0.35,0.01,3.0,0.423,5.003425766010854,0.12416097232561796,20.910586738336473,485.7199684926395,EXCELLENT
SEC7FE71EB3,BHARATFORG,Bharat Forge Limited,Consumer Cyclical,1.0,0.9193798449612404,0.0230926270847158,1941.199951171875,921802679687.1144,1752069513.2322204,2026-06-12,1.0.0,230926.270847158,2.0,10.0,0.35,0.01,3.0,0.423,5.006590100138811,0.1722075800441107,20.96179768018292,484.06297685372493,EXCELLENT
SECC2E751BE,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,38.0,0.8277777777777777,0.0229921229331528,8511.0,1224398246683.5,3880171828.7,2026-06-12,1.0.0,229921.22933152798,2.0,10.0,0.35,0.01,3.0,0.423,5.002962771231301,0.11546631777645748,20.90142908900776,480.56822709304237,EXCELLENT
SECD1C4E177,BHEL,Bharat Heavy Electricals Limited,Industrials,19.0,0.8473186119873817,0.0229016950155881,376.8999938964844,1296720372149.172,4193728750.906015,2026-06-12,1.0.0,229016.950155881,2.0,10.0,0.35,0.01,3.0,0.423,5.002730469276374,0.11084724508837278,20.896577714364746,478.5670496839165,EXCELLENT
SEC0BDD67BA,MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,27.0,0.837984496124031,0.0226576847906215,143.4499969482422,1494697571482.7888,3802947477.0305176,2026-06-12,1.0.0,226576.847906215,2.0,10.0,0.35,0.01,3.0,0.423,5.002978963675869,0.11578141708154004,20.901760380757405,473.58549827630213,EXCELLENT
SEC31D4BC12,GVT&D,GE Vernova T&D India Ltd,Industrials,33.0,0.832807570977918,0.0226551674540102,4890.0,1253219765557.5,4744110174.789648,2026-06-12,1.0.0,226551.67454010202,2.0,10.0,0.35,0.01,3.0,0.423,5.002387715147764,0.10365673236667561,20.88904444751444,473.24479991270164,EXCELLENT
SECE103320D,INDUSTOWER,Indus Towers Limited,Communication Services,7.0,0.8710526315789474,0.0225853370204692,420.8999938964844,1108015280054.4707,2733181575.117189,2026-06-12,1.0.0,225853.370204692,2.0,10.0,0.35,0.01,3.0,0.423,5.004131693486098,0.13635476041356506,20.92348645389966,472.5639932045458,EXCELLENT
SEC8467BBC9,NESTLEIND,Nestlé India Limited,Consumer Defensive,43.0,0.821111111111111,0.0224387385352618,1383.0,2739749080011.9727,2801292064.615503,2026-06-12,1.0.0,224387.385352618,2.0,10.0,0.35,0.01,3.0,0.423,5.004005069449683,0.1342490689858719,20.921254138435557,469.4465514421194,EXCELLENT
SECA8D30DA3,CGPOWER,CG Power and Industrial Solutions Limited,Industrials,34.0,0.8324921135646688,0.022426706882935,909.5999755859376,1425337215345.0,3510287698.27728,2026-06-12,1.0.0,224267.06882935,2.0,10.0,0.35,0.01,3.0,0.423,5.0031944257580285,0.11989543740746864,20.906089863165494,468.8547494295112,EXCELLENT
SEC8084428B,TITAN,Titan Company Limited,Consumer Cyclical,48.0,0.8125968992248063,0.0224050247823875,4124.0,3657287606980.0,3426222277.4719973,2026-06-12,1.0.0,224050.24782387502,2.0,10.0,0.35,0.01,3.0,0.423,5.003269639703428,0.12129871666851372,20.90756835637194,468.4345871639741,EXCELLENT
SECBFB674BF,TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,28.0,0.8361111111111111,0.0222795389954635,4569.2998046875,1548083320155.3125,2354768015.4289308,2026-06-12,1.0.0,222795.389954635,2.0,10.0,0.35,0.01,3.0,0.423,5.004730729067467,0.14590504036393842,20.933635769431405,466.3917544418765,EXCELLENT
SEC98541475,ATHERENERG,Ather Energy Limited,Consumer Cyclical,10.0,0.8651162790697674,0.0221580263123085,1034.1500244140625,401338390830.5786,4101349137.936835,2026-06-12,1.0.0,221580.263123085,2.0,10.0,0.35,0.01,3.0,0.423,5.0027013094431965,0.11025376408261021,20.89595507352581,463.0131223400012,EXCELLENT
SEC59D35B99,TATASTEEL,Tata Steel Limited,Basic Materials,9.0,0.8655642023346303,0.0217621045600958,197.4499969482422,2461693342554.2534,6622054083.466818,2026-06-12,1.0.0,217621.045600958,2.0,10.0,0.35,0.01,3.0,0.423,5.001643153641287,0.08598948415818916,20.870632637799478,454.1888896991402,EXCELLENT
SECD98B2F18,BSE,BSE Limited,Financial Services,49.0,0.8115030674846625,0.0216850799531143,4019.0,1613632028905.879,8773996818.526707,2026-06-12,1.0.0,216850.79953114298,2.0,10.0,0.35,0.01,3.0,0.423,5.001235758366548,0.0745715270694156,20.858807285435965,452.3249037112819,EXCELLENT
SECA722432A,LAURUSLABS,Laurus Labs Limited,Healthcare,6.0,0.8746031746031747,0.0214305474044527,1392.199951171875,755809166617.0,2304859375.517785,2026-06-12,1.0.0,214305.474044527,2.0,10.0,0.35,0.01,3.0,0.423,5.004648992392354,0.14463908795892566,20.932288080351277,448.5903919896283,EXCELLENT
SECE38F61AD,JSWSTEEL,JSW Steel Limited,Basic Materials,5.0,0.8836575875486381,0.0213423248739583,1297.0999755859375,3165996605790.6978,2056179374.2716308,2026-06-12,1.0.0,213423.248739583,2.0,10.0,0.35,0.01,3.0,0.423,5.005189801323029,0.15282050239947834,20.941010303722507,446.9298450909539,EXCELLENT
SEC2FE15581,NYKAA,FSN E-Commerce Ventures Limited,Consumer Cyclical,23.0,0.8439922480620154,0.021201270135853,271.0,771227796787.0096,1879164541.978723,2026-06-12,1.0.0,212012.70135853,2.0,10.0,0.35,0.01,3.0,0.423,5.005641142556236,0.15932715243505552,20.94796829499129,444.1235346193943,EXCELLENT
SEC1317061B,HINDALCO,Hindalco Industries Limited,Basic Materials,17.0,0.8519455252918289,0.0210850195258961,1024.0999755859375,2295858389466.432,6406327533.871887,2026-06-12,1.0.0,210850.195258961,2.0,10.0,0.35,0.01,3.0,0.423,5.001645640143625,0.08605452135891131,20.870700161502533,440.05912042440383,EXCELLENT
SEC3069B975,APARINDS,APAR Industries Limited,Industrials,24.0,0.8430599369085173,0.0210343348602527,15300.0,612255341400.0,1849503312.0,2026-06-12,1.0.0,210343.348602527,2.0,10.0,0.35,0.01,3.0,0.423,5.005686482074343,0.15996615058988053,20.948652632664224,440.64097434657356,EXCELLENT
