Symbol,Observations,Average_Close,Close_Volatility,Min_Close,Max_Close,Average_Volume,Median_Volume,Quality_Score
20MICRONS.NS,1599,122.80010010586298,78.15133903902509,19.899999618530273,339.0,223672.21951219512,105910.0,100
21STCENMGM.NS,1598,37.277177731892344,26.828753376903137,9.550000190734863,138.6300048828125,7662.240926157697,3877.0,100
360ONE.NS,1599,613.6483269286499,331.3601460506849,196.0500030517578,1297.1500244140625,544598.0644152595,269088.0,100
3IINFOLTD.NS,1599,41.10878909506449,22.57454640768036,12.0,116.6500015258789,985576.5872420262,526029.0,100
3MINDIA.NS,1598,26798.520834148156,5422.833036267986,15887.25,40020.6015625,5699.892991239049,3579.0,100
3PLAND.NS,1599,24.514990648081184,14.52690469625309,3.4000000953674316,78.16000366210938,20498.69918699187,6769.0,95
5PAISA.NS,1599,372.40226366759987,103.58988626474388,96.19999694824219,736.0499877929688,82199.37773608505,31838.0,100
63MOONS.NS,1600,342.2721876788139,279.28843573243665,42.54999923706055,1100.5,211486.415625,102128.0,100
A2ZINFRA.NS,1599,11.057016887092232,5.576177506770943,3.0,26.6200008392334,438188.63227016886,284565.0,100
AAATECH.NS,1381,71.4410086292706,29.153854944951792,28.0,146.22999572753906,53434.5170166546,17543.0,100
AADHARHFC.NS,519,453.30905580612506,43.09725277099564,329.45001220703125,539.8499755859375,943099.1772639692,446934.0,100
AAKASH.NS,1598,11.184179167649027,6.574324944128579,1.4500000476837158,33.599998474121094,429500.5613266583,188322.0,100
AAREYDRUGS.NS,1200,50.2803583685557,16.076842760132372,22.600000381469727,99.25,86102.12916666667,39285.5,95
AARON.NS,1597,97.79371691257714,60.138902794889425,10.515475273132324,238.85000610351562,28207.146524733875,13328.0,100
AARTECH.NS,724,58.16809367079761,11.880788046111183,33.349998474121094,100.37999725341797,140049.9682320442,49299.5,100
AARTIDRUGS.NS,1600,483.254695224762,141.5675825599075,115.4375,1011.8499755859375,406278.02625,169030.0,100
AARTIIND.NS,1600,602.409093837738,183.94215096730207,339.75,1156.550048828125,1208089.35625,825354.5,100
AARTIPHARM.NS,834,604.0730814762253,178.54661970111567,247.14999389648438,964.9000244140625,327628.4676258993,203637.0,100
AARTISURF.NS,1467,718.5702548140804,290.53793801758724,230.1732635498047,1758.3267822265625,29884.23108384458,11940.0,100
AARVI.NS,1598,101.82606380782528,42.93762469308587,20.149999618530273,191.1999969482422,32435.938673341676,13504.5,100
AATMAJ.NS,730,28.44431502590441,10.607288958627223,14.699999809265137,58.75,32019.178082191782,13000.0,100
AAVAS.NS,1600,1828.4221245574952,442.9633782233487,874.5,3195.800048828125,186370.429375,105760.5,100
ABAN.NS,1599,43.12658539080784,15.565589438732461,13.100000381469727,88.5999984741211,190182.16135084428,89065.0,100
ABB.NS,1600,3799.3255292892454,2246.742653801047,725.9500122070312,9020.0,297707.43,226317.5,100
ABBOTINDIA.NS,1600,22311.754135131836,5651.222736312949,12498.7998046875,35670.0,14606.749375,11192.5,100
ABCAPITAL.NS,1600,166.6098750257492,82.31457204419875,40.04999923706055,373.79998779296875,4648263.344375,3328443.0,100
ABCOTS.NS,1083,226.0087722045673,168.83641901505882,34.150001525878906,496.5,18995.79593721145,6000.0,95
ABDL.NS,486,440.724279835391,106.85885784581534,285.8500061035156,683.7999877929688,822831.5,478742.0,100
ABFRL.NS,1600,209.39746265888215,81.54490869941455,53.88999938964844,358.1499938964844,4189555.22125,2567856.0,100
ABGSEC.NS,316,110.50898735432685,1.5291891671884812,105.2300033569336,113.81999969482422,1938.0696202531647,348.5,100
ABINFRA.NS,1598,5.107639400230182,6.105155576988858,0.4320070147514343,21.969999313354492,406770.7340425532,48147.0,100
ABMINTLLTD.NS,1599,58.991884013277954,26.905780818891326,15.0,152.39999389648438,1512.5359599749843,478.0,95
ABREL.NS,1600,1153.4401883888245,692.818379193057,227.0,3052.800048828125,580953.48,264607.5,100
ABSLAMC.NS,1158,604.0134278924971,189.73665869436732,309.25,1146.0999755859375,288372.1252158895,193302.5,100
ABSMARINE.NS,513,206.5277773762307,60.35559202702374,92.1500015258789,404.29998779296875,107641.32553606237,54500.0,100
ACC.NS,1600,1962.3463428115845,390.33526522574437,918.2000122070312,2772.25,654673.94375,427878.0,100
ACCELYA.NS,1600,1268.5341250991821,280.3703989052476,811.9000244140625,2057.0,33171.41125,15603.0,100
ACCENTMIC.NS,614,290.08668160205553,57.93389908754783,181.60000610351562,477.3999938964844,57877.701954397395,28500.0,100
ACCORD.NS,1595,25.51529782991798,7.38945455835016,10.350000381469727,90.4000015258789,1665.2037617554859,0.0,100
ACCURACY.NS,1598,10.56118583858237,6.483843552671077,1.2999999523162842,29.170000076293945,412617.9105131414,192505.0,100
ACE.NS,1600,611.8152194941044,482.7588423117477,31.600000381469727,1606.4000244140625,482484.24125,287877.0,100
ACEINTEG.NS,1597,25.92648710693952,12.82485602687234,9.5,74.0,13419.682529743268,1961.0,100
ACI.NS,882,611.9315195234996,68.33637959055261,417.20001220703125,822.75,444728.20634920633,224213.0,100
ACL.NS,1598,134.27403628811223,105.66592805853178,31.0,733.0,40617.917396745936,17015.0,100
ACMESOLAR.NS,394,250.67586253984325,36.76865985882561,173.85000610351562,356.6499938964844,1615544.9314720812,932410.5,100
ACUTAAS.NS,1177,905.6074759095223,596.2536733373845,403.32501220703125,3328.300048828125,451889.8215802889,266046.0,100
ADANIENSOL.NS,1600,1183.550905418396,810.3733665208209,163.85000610351562,4105.39990234375,1671503.091875,814278.0,100
ADANIENT.NS,1600,2011.958465256691,1012.9017706401482,120.9000015258789,4165.2998046875,3724804.635,2144293.0,100
ADANIGREEN.NS,1600,1229.5029063463212,571.2728843587923,117.69999694824219,2970.5,2287540.190625,1229256.0,100
ADANIPORTS.NS,1600,928.1250935554505,399.94257467007634,207.8000030517578,1826.4000244140625,6341548.06375,3862350.5,100
ADANIPOWER.NS,1600,71.76241262227296,55.17838868530808,5.130000114440918,248.91000366210938,55063192.48625,25097980.0,100
ADFFOODS.NS,1600,179.2312876343727,65.20326312101999,25.049999237060547,347.6499938964844,261925.985625,124030.0,100
ADL.NS,1410,67.76066675253794,22.994415660844698,16.700000762939453,146.60000610351562,5880.754609929078,1795.0,100
ADOR.NS,1600,850.7698431205749,380.47632968367367,161.64999389648438,1652.050048828125,31500.20125,15333.5,100
