Metric,Value
Securities,50
Avg_Liquidity_Score,51.0
Median_Days_To_Liquidate,4.928765242685616e-17
Portfolio_Capacity_10pct_ADV,16056328230.52784
Run_Date,2026-08-03
Engine_Version,1.0.0
