Symbol,Observations,Missing_Count,Missing_Pct,Coverage_Pct,Eligible
AMJLAND.NS,1602,0,0.0,100.0,True
AMNPLST.NS,643,959,0.5986267166042447,40.13732833957553,False
AMRUTANJAN.NS,1602,0,0.0,100.0,True
ANANDRATHI.NS,1117,485,0.30274656679151063,69.72534332084894,False
ANANTRAJ.NS,1602,0,0.0,100.0,True
ANDHRAPAP.NS,1602,0,0.0,100.0,True
ANDHRSUGAR.NS,1602,0,0.0,100.0,True
ANGELONE.NS,1413,189,0.11797752808988764,88.20224719101124,False
ANIKINDS.NS,1602,0,0.0,100.0,True
ANKITMETAL.NS,1602,0,0.0,100.0,True
ANLON.NS,849,753,0.4700374531835206,52.99625468164795,False
ANMOL.NS,1248,354,0.2209737827715356,77.90262172284645,False
ANNAPURNA.NS,921,681,0.4250936329588015,57.490636704119844,False
ANSALAPI.NS,1602,0,0.0,100.0,True
ANTELOPUS.NS,1602,0,0.0,100.0,True
ANTGRAPHIC.NS,1602,0,0.0,100.0,True
ANUP.NS,1602,0,0.0,100.0,True
ANURAS.NS,1295,307,0.1916354556803995,80.83645443196005,False
APARINDS.NS,1602,0,0.0,100.0,True
APCL.NS,1602,0,0.0,100.0,True
APCOTEXIND.NS,1602,0,0.0,100.0,True
APEX.NS,1602,0,0.0,100.0,True
APLAPOLLO.NS,1602,0,0.0,100.0,True
APLLTD.NS,1602,0,0.0,100.0,True
APOLLO.NS,1602,0,0.0,100.0,True
APOLLOHOSP.NS,1602,0,0.0,100.0,True
APOLLOPIPE.NS,1602,0,0.0,100.0,True
APOLLOTYRE.NS,1602,0,0.0,100.0,True
APOLSINHOT.NS,1602,0,0.0,100.0,True
APS.NS,597,1005,0.6273408239700374,37.265917602996254,False
APTECHT.NS,1602,0,0.0,100.0,True
APTUS.NS,1193,409,0.25530586766541824,74.46941323345817,False
AQYLON.NS,1602,0,0.0,100.0,True
ARABIAN.NS,666,936,0.5842696629213483,41.57303370786517,False
ARCHIDPLY.NS,1602,0,0.0,100.0,True
ARCHIES.NS,1602,0,0.0,100.0,True
ARE&M.NS,1602,0,0.0,100.0,True
ARENTERP.NS,1602,0,0.0,100.0,True
ARIES.NS,1602,0,0.0,100.0,True
ARIHANT.NS,578,1024,0.6392009987515606,36.079900124843945,False
ARIHANTACA.NS,855,747,0.46629213483146065,53.37078651685394,False
ARIHANTCAP.NS,1241,361,0.22534332084893882,77.46566791510612,False
ARIHANTSUP.NS,1602,0,0.0,100.0,True
ARISTO.NS,836,766,0.4781523096129838,52.18476903870162,False
ARMANFIN.NS,1602,0,0.0,100.0,True
AROGRANITE.NS,1602,0,0.0,100.0,True
ARROWGREEN.NS,1602,0,0.0,100.0,True
ARSHIYA.NS,1602,0,0.0,100.0,True
ARTEMISMED.NS,1584,18,0.011235955056179775,98.87640449438202,True
ARTNIRMAN.NS,1602,0,0.0,100.0,True
ARVEE.NS,1602,0,0.0,100.0,True
ARVIND.NS,1602,0,0.0,100.0,True
ARVINDFASN.NS,1602,0,0.0,100.0,True
ARVSMART.NS,1602,0,0.0,100.0,True
ASAHIINDIA.NS,1602,0,0.0,100.0,True
ASAHISONG.NS,1602,0,0.0,100.0,True
ASAL.NS,1602,0,0.0,100.0,True
ASALCBR.NS,1572,30,0.018726591760299626,98.12734082397003,True
ASCOM.NS,1602,0,0.0,100.0,True
ASHAPURMIN.NS,1602,0,0.0,100.0,True
ASHIANA.NS,1602,0,0.0,100.0,True
ASHIMASYN.NS,1602,0,0.0,100.0,True
ASHOKA.NS,1602,0,0.0,100.0,True
ASHOKAMET.NS,736,866,0.5405742821473158,45.94257178526841,False
ASHOKLEY.NS,1602,0,0.0,100.0,True
ASIANENE.NS,1120,482,0.30087390761548066,69.91260923845192,False
ASIANHOTNR.NS,1602,0,0.0,100.0,True
ASIANPAINT.NS,1602,0,0.0,100.0,True
ASIANTILES.NS,1602,0,0.0,100.0,True
ASKAUTOLTD.NS,641,961,0.5998751560549314,40.01248439450686,False
ASMS.NS,1602,0,0.0,100.0,True
ASPINWALL.NS,1602,0,0.0,100.0,True
ASPIRE.NS,548,1054,0.6579275905118602,34.207240948813975,False
ASTEC.NS,1602,0,0.0,100.0,True
ASTERDM.NS,1602,0,0.0,100.0,True
ASTRAL.NS,1602,0,0.0,100.0,True
ASTRAMICRO.NS,1602,0,0.0,100.0,True
ASTRAZEN.NS,1602,0,0.0,100.0,True
ASTRON.NS,1602,0,0.0,100.0,True
ATALREAL.NS,1380,222,0.13857677902621723,86.14232209737828,False
ATAM.NS,770,832,0.519350811485643,48.0649188514357,False
ATGL.NS,1602,0,0.0,100.0,True
ATL.NS,705,897,0.5599250936329588,44.00749063670412,False
ATLANTAA.NS,1602,0,0.0,100.0,True
ATLASCYCLE.NS,1602,0,0.0,100.0,True
ATMASTCO.NS,573,1029,0.6423220973782772,35.767790262172284,False
ATUL.NS,1602,0,0.0,100.0,True
ATULAUTO.NS,1602,0,0.0,100.0,True
AUBANK.NS,1602,0,0.0,100.0,True
AURIGROW.NS,1602,0,0.0,100.0,True
AURIONPRO.NS,1602,0,0.0,100.0,True
AUROIMPEX.NS,761,841,0.5249687890137328,47.50312109862672,False
AUROPHARMA.NS,1602,0,0.0,100.0,True
AURUM.NS,1602,0,0.0,100.0,True
AUSOMENT.NS,1602,0,0.0,100.0,True
AUTOAXLES.NS,1602,0,0.0,100.0,True
AUTOIND.NS,1602,0,0.0,100.0,True
AVADHSUGAR.NS,1602,0,0.0,100.0,True
AVALON.NS,785,817,0.5099875156054932,49.001248439450684,False
AVANTIFEED.NS,1602,0,0.0,100.0,True
AVG.NS,1602,0,0.0,100.0,True
AVONMORE.NS,853,749,0.4675405742821473,53.24594257178528,False
AVPINFRA.NS,556,1046,0.6529338327091136,34.70661672908864,False
AVROIND.NS,1602,0,0.0,100.0,True
AVSL.NS,1602,0,0.0,100.0,True
AVTNPL.NS,1602,0,0.0,100.0,True
AWFIS.NS,511,1091,0.681023720349563,31.897627965043696,False
AWHCL.NS,1351,251,0.15667915106117353,84.33208489388264,False
AWL.NS,1078,524,0.32709113607990015,67.29088639200998,False
AXISBANK.NS,1602,0,0.0,100.0,True
AXISCADES.NS,1602,0,0.0,100.0,True
AXITA.NS,988,614,0.383270911360799,61.67290886392009,False
AYMSYNTEX.NS,1602,0,0.0,100.0,True
AZAD.NS,612,990,0.6179775280898876,38.20224719101124,False
BABAFP.NS,641,961,0.5998751560549314,40.01248439450686,False
BAFNAPH.NS,1602,0,0.0,100.0,True
BAGFILMS.NS,1602,0,0.0,100.0,True
