Symbol,Observations,Missing_Count,Missing_Pct,Coverage_Pct,Eligible,Quality_Score
MAXHEALTH.NS,1439,159,0.09949937421777222,90.05006257822278,True,94.03003754693367
MINDSPACE.NS,1449,149,0.09324155193992491,90.6758448060075,True,94.4055068836045
KSOLVES.NS,1449,149,0.09324155193992491,90.6758448060075,True,94.4055068836045
NDRAUTO.NS,1455,143,0.08948685857321652,91.05131414267835,True,94.63078848560701
ROSSARI.NS,1460,138,0.08635794743429287,91.36420525657071,True,94.81852315394244
BOROLTD.NS,1461,137,0.08573216520650813,91.42678347934918,True,94.85607008760951
AARTISURF.NS,1467,131,0.08197747183979975,91.80225281602003,True,95.081351689612
RAJRATAN.NS,1503,95,0.05944931163954944,94.05506883604505,True,96.43304130162703
LGHL.NS,1516,82,0.05131414267834793,94.86858573216522,True,96.92115143929914
OAL.NS,1529,69,0.043178973717146435,95.68210262828536,True,97.40926157697122
S&SPOWER.NS,1537,61,0.038172715894868585,96.18272841051314,True,97.70963704630788
POWERINDIA.NS,1537,61,0.038172715894868585,96.18272841051314,True,97.70963704630788
SBICARD.NS,1547,51,0.031914893617021274,96.80851063829788,True,98.08510638297872
COHANCE.NS,1551,47,0.029411764705882353,97.05882352941177,True,98.23529411764706
FORCEMOT.NS,1560,38,0.023779724655819776,97.62202753441802,True,98.57321652065082
UNIVPHOTO.NS,1566,32,0.02002503128911139,97.99749687108886,True,98.79849812265331
MAHEPC.NS,1566,32,0.02002503128911139,97.99749687108886,True,98.79849812265331
ASALCBR.NS,1568,30,0.01877346683354193,98.1226533166458,True,98.87359198998747
HPIL.NS,1569,29,0.018147684605757195,98.18523153942428,True,98.91113892365456
SUMICHEM.NS,1580,18,0.011264080100125156,98.87359198998749,True,99.32415519399248
ARTEMISMED.NS,1580,18,0.011264080100125156,98.87359198998749,True,99.32415519399248
GUJRAFFIA.NS,1589,9,0.005632040050062578,99.43679599499374,True,99.66207759699624
DCI.NS,1591,7,0.004380475594493116,99.56195244055068,True,99.7371714643304
ZENITHSTL.NS,1598,0,0.0,100.0,True,100.0
ZENITHEXPO.NS,1598,0,0.0,100.0,True,100.0
