Sector,Risk_Budget_%
Industrials,0.6046454455651642
Consumer Cyclical,0.1344693288036395
Basic Materials,0.10581057314370952
Healthcare,0.06356770246041574
Financial Services,0.03914690021862986
Technology,0.019989821639619095
Utilities,0.011631569319863705
Consumer Defensive,0.009730087516507134
Real Estate,0.008904523857012387
Communication Services,0.002104047475438893
