Symbol,Observations,Missing_Count,Missing_Pct,Coverage_Pct,Eligible,Quality_Score
IONEXCHANG.NS,1065,534,0.3339587242026266,66.60412757973734,False,73.77200035736621
IPCALAB.NS,1599,0,0.0,100.0,True,100.0
IPL.NS,1224,375,0.23452157598499063,76.54784240150094,False,84.78584829804342
IPSL.NS,887,712,0.4452782989368355,55.47217010631644,False,61.44203222252003
IRB.NS,1599,0,0.0,100.0,True,100.0
IRBINVIT.NS,1599,0,0.0,100.0,True,100.0
IRCON.NS,1599,0,0.0,100.0,True,100.0
IRCTC.NS,1599,0,0.0,100.0,True,100.0
IREDA.NS,629,970,0.6066291432145091,39.33708567854909,False,43.57050537538342
IRFC.NS,1329,270,0.16885553470919323,83.11444652908068,False,89.8686679174484
IRIS.NS,1139,460,0.2876797998749218,71.23202001250782,False,78.89794216623486
IRISDOREME.NS,1599,0,0.0,100.0,True,100.0
IRMENERGY.NS,651,948,0.5928705440900562,40.71294559099437,False,45.09443402126329
ISFT.NS,1599,0,0.0,100.0,True,100.0
ISGEC.NS,1266,333,0.20825515947467166,79.17448405253283,False,87.50469043151969
ISHAN.NS,920,679,0.42464040025015637,57.535959974984365,False,63.72792519133982
IT.NS,1305,294,0.18386491557223264,81.61350844277673,False,88.96810506566604
ITALIANE.NS,579,1020,0.6378986866791745,36.210131332082554,False,40.107031180201915
ITC.NS,1599,0,0.0,100.0,True,100.0
ITDC.NS,1599,0,0.0,100.0,True,100.0
ITI.NS,1599,0,0.0,100.0,True,100.0
IVC.NS,1599,0,0.0,100.0,True,100.0
IVP.NS,1599,0,0.0,100.0,True,100.0
IZMO.NS,1599,0,0.0,100.0,True,100.0
J&KBANK.NS,1599,0,0.0,100.0,True,100.0
JAGRAN.NS,1599,0,0.0,100.0,True,100.0
JAGSNPHARM.NS,1599,0,0.0,100.0,True,100.0
JAIBALAJI.NS,1599,0,0.0,100.0,True,100.0
JAICORPLTD.NS,1599,0,0.0,100.0,True,100.0
JAINAM.NS,1148,451,0.28205128205128205,71.7948717948718,False,79.52136752136752
JAIPURKURT.NS,1599,0,0.0,100.0,True,100.0
JAKHARIA.NS,1599,0,0.0,100.0,True,100.0
JALAN.NS,1599,0,0.0,100.0,True,100.0
JAMNAAUTO.NS,1599,0,0.0,100.0,True,100.0
JASH.NS,1599,0,0.0,100.0,True,100.0
JAYAGROGN.NS,1599,0,0.0,100.0,True,100.0
JAYBARMARU.NS,1599,0,0.0,100.0,True,100.0
