Symbol,Annualized_Volatility
20MICRONS.NS,0.5246482698005984
21STCENMGM.NS,0.2573163260870038
360ONE.NS,0.38472221305997917
3IINFOLTD.NS,0.5224428980056913
3MINDIA.NS,0.2993814412134026
3PLAND.NS,0.5267302648709741
5PAISA.NS,0.46175049639575494
63MOONS.NS,0.5390220788268577
A2ZINFRA.NS,0.5539257338056688
AAATECH.NS,0.5097875069971005
AADHARHFC.NS,0.33612017889557433
AAKASH.NS,0.49260723234714127
AAREYDRUGS.NS,0.4948697088173214
AARON.NS,0.49022702551892977
AARTECH.NS,0.5301296898625402
AARTIDRUGS.NS,0.41468090906956195
AARTIIND.NS,0.35939424100653883
AARTIPHARM.NS,0.44313038836456703
AARTISURF.NS,0.45857034112449996
AARVI.NS,0.5201305708315789
AATMAJ.NS,0.5643131958690882
AAVAS.NS,0.35877317957152716
ABAN.NS,0.5212409646573857
ABB.NS,0.3312030969137802
ABBOTINDIA.NS,0.251856194058468
ABCAPITAL.NS,0.3914285368113351
ABCOTS.NS,0.5074904416086798
ABFRL.NS,0.3944223951079764
ABINFRA.NS,0.4661191359067042
ABMINTLLTD.NS,0.5562555236999994
ABREL.NS,0.45069266013747356
ABSLAMC.NS,0.31117379059178557
ABSMARINE.NS,0.5762332203060908
ACC.NS,0.29616543245395893
ACCELYA.NS,0.34128805728892947
ACCENTMIC.NS,0.4703772390971082
ACCORD.NS,0.40827563659840055
ACCURACY.NS,0.5329050514209311
ACE.NS,0.4876271328214839
ACEINTEG.NS,0.4431137738619837
ACI.NS,0.3664817474682133
ACL.NS,0.5171449506194387
ACUTAAS.NS,0.44435290141657313
ADANIENSOL.NS,0.5070019866240674
ADANIENT.NS,0.463863157637638
ADANIGREEN.NS,0.5027619107079905
ADANIPORTS.NS,0.3725813562530488
ADANIPOWER.NS,0.5174431505678059
ADFFOODS.NS,0.46533521497417524
ADL.NS,0.47346509045361324
ADOR.NS,0.4265992063810149
ADROITINFO.NS,0.539288071988456
ADSL.NS,0.5547595746865565
ADVANIHOTR.NS,0.4349279744526557
ADVENZYMES.NS,0.4110876578935344
AEGISLOG.NS,0.4881571299652445
AEROENTER.NS,0.5059942303488227
AEROFLEX.NS,0.5155030080265012
AERONEU.NS,0.483265864781235
AETHER.NS,0.31960846963164
AFFLE.NS,0.39287792350064715
AFSL.NS,0.4092416897850146
AGARIND.NS,0.5395502711447401
AGARWALFT.NS,0.5043012544891916
AGI.NS,0.5313044703333548
AGNI.NS,0.6256794198056086
AGRITECH.NS,0.5533813499906151
AGROPHOS.NS,0.5999873707028116
AGUL.NS,0.5585999843129876
AHIMSA.NS,0.2511912332647673
AHLADA.NS,0.5293404479072845
AHLEAST.NS,0.4184825505513969
AHLUCONT.NS,0.3672920254474525
AHLWEST.NS,0.2973775068193641
AIAENG.NS,0.3021357026307003
AIIL.NS,0.5297534737887868
AILIMITED.NS,0.5331139785968101
AIMTRON.NS,0.5744790133234072
AIRAN.NS,0.5235741248869527
AIROLAM.NS,0.5435238715675887
AISL.NS,0.4991085439801329
AJANTPHARM.NS,0.30933077298268674
AJMERA.NS,0.5357655175441811
AJOONI.NS,0.49976299812830116
AKASH.NS,0.5554361687865488
AKG.NS,0.5209053562642878
AKI.NS,0.5098317956979823
AKSHAR.NS,0.5055849332178319
AKSHARCHEM.NS,0.5069146834794012
AKSHOPTFBR.NS,0.5570483825315181
ALANKIT.NS,0.4846689253121253
ALBERTDAVD.NS,0.40601940887359256
ALEMBICLTD.NS,0.4240340162159911
ALICON.NS,0.46893794918233445
ALIVUS.NS,0.32518080239094865
ALKALI.NS,0.5546877205596831
ALKEM.NS,0.2552025726279562
ALKYLAMINE.NS,0.4050976523029048
ALLCARGO.NS,0.452197024499958
ALLDIGI.NS,0.44231262313149444
ALLETEC.NS,0.5540247955828814
ALMONDZ.NS,0.5211002054919993
