Symbol,Yahoo_Symbol,Raw_Beta,Beta,Observation_Count
GRAPHITE,GRAPHITE.NS,1.3446,1.2309,742
INDGN,INDGN.NS,0.8646,0.9093,523
TRIDENT,TRIDENT.NS,1.0688,1.0461,742
SOUTHBANK,SOUTHBANK.NS,1.1874,1.1255,742
INDIAMART,INDIAMART.NS,0.7975,0.8643,742
TMB,TMB.NS,0.6689,0.7782,740
ELECON,ELECON.NS,1.4273,1.2863,742
TECHNOE,TECHNOE.NS,1.2424,1.1624,742
PRUDENT,PRUDENT.NS,1.1168,1.0783,740
UTIAMC,UTIAMC.NS,0.9895,0.9929,742
AFCONS,AFCONS.NS,0.8958,0.9302,403
JWL,JWL.NS,1.4952,1.3318,742
GRAVITA,GRAVITA.NS,1.4197,1.2812,742
CANFINHOME,CANFINHOME.NS,1.0809,1.0542,742
TITAGARH,TITAGARH.NS,1.4559,1.3054,742
HOMEFIRST,HOMEFIRST.NS,0.8455,0.8965,740
BALRAMCHIN,BALRAMCHIN.NS,0.8683,0.9117,742
MARKSANS,MARKSANS.NS,1.1598,1.1071,742
JMFINANCIL,JMFINANCIL.NS,1.4939,1.3309,742
BLUEDART,BLUEDART.NS,0.6592,0.7716,742
PCBL,PCBL.NS,1.4148,1.2779,742
CARTRADE,CARTRADE.NS,1.0629,1.0421,742
AAVAS,AAVAS.NS,0.6719,0.7802,742
AVALON,AVALON.NS,1.0296,1.0198,742
LUMAXTECH,LUMAXTECH.NS,1.1255,1.0841,740
NUVOCO,NUVOCO.NS,0.8975,0.9313,742
RPOWER,RPOWER.NS,1.4463,1.2991,742
VIYASH,VIYASH.NS,1.2849,1.1909,742
ACE,ACE.NS,1.3036,1.2034,742
GODREJAGRO,GODREJAGRO.NS,0.8393,0.8923,742
METROPOLIS,METROPOLIS.NS,0.6591,0.7716,742
MGL,MGL.NS,1.1564,1.1048,740
SHILPAMED,SHILPAMED.NS,1.1042,1.0698,742
SIGNATURE,SIGNATURE.NS,1.1995,1.1337,669
SANOFICONR,SANOFICONR.NS,0.3387,0.5569,436
TI,TI.NS,1.3139,1.2103,742
IEX,IEX.NS,1.2899,1.1942,742
IIFLCAPS,IIFLCAPS.NS,1.5093,1.3413,740
OLECTRA,OLECTRA.NS,1.4041,1.2707,742
ZEEL,ZEEL.NS,1.286,1.1916,742
UJJIVANSFB,UJJIVANSFB.NS,1.1728,1.1158,742
MEDPLUS,MEDPLUS.NS,0.4956,0.6621,738
JKTYRE,JKTYRE.NS,1.3373,1.226,742
RKFORGE,RKFORGE.NS,1.0975,1.0654,742
DIACABS,DIACABS.NS,0.9848,0.9898,742
BLS,BLS.NS,1.5628,1.3771,742
NAZARA,NAZARA.NS,1.0066,1.0044,742
FIRSTCRY,FIRSTCRY.NS,1.1311,1.0878,460
MMTC,MMTC.NS,1.4192,1.2809,742
BBTC,BBTC.NS,1.2701,1.181,742
FINPIPE,FINPIPE.NS,1.0029,1.002,738
PGHL,PGHL.NS,0.3796,0.5844,738
TEJASNET,TEJASNET.NS,1.4815,1.3226,742
SANDUMA,SANDUMA.NS,1.3863,1.2589,686
INTELLECT,INTELLECT.NS,1.103,1.069,742
KTKBANK,KTKBANK.NS,1.0209,1.014,742
KIRLPNU,KIRLPNU.NS,0.9787,0.9857,740
EDELWEISS,EDELWEISS.NS,1.3543,1.2374,742
ZENSARTECH,ZENSARTECH.NS,1.0706,1.0473,742
LLOYDSENT,LLOYDSENT.NS,1.8745,1.5859,413
SBFC,SBFC.NS,0.8806,0.92,700
LLOYDSENGG,LLOYDSENGG.NS,1.6459,1.4328,742
HEG,HEG.NS,1.2208,1.148,742
SWANCORP,SWANCORP.NS,1.3926,1.263,742
WAAREERTL,WAAREERTL.NS,1.5233,1.3506,296
BLACKBUCK,BLACKBUCK.NS,0.9772,0.9848,389
JUBLINGREA,JUBLINGREA.NS,0.9695,0.9796,742
VOLTAMP,VOLTAMP.NS,1.3733,1.2501,742
MANYAVAR,MANYAVAR.NS,0.7288,0.8183,740
RITES,RITES.NS,1.3648,1.2444,742
BANCOINDIA,BANCOINDIA.NS,1.4846,1.3247,740
RAILTEL,RAILTEL.NS,1.7122,1.4772,742
WHIRLPOOL,WHIRLPOOL.NS,0.7188,0.8116,742
WABAG,WABAG.NS,1.252,1.1688,742
CYIENT,CYIENT.NS,1.1426,1.0955,742
AKUMS,AKUMS.NS,1.1794,1.1202,459
NCC,NCC.NS,1.6162,1.4129,742
HCG,HCG.NS,0.5938,0.7279,742
TARIL,TARIL.NS,1.4135,1.2771,742
STAR,STAR.NS,0.8096,0.8724,742
ALKYLAMINE,ALKYLAMINE.NS,1.09,1.0603,742
TTML,TTML.NS,1.3965,1.2656,742
MANORAMA,MANORAMA.NS,1.2594,1.1738,742
RATEGAIN,RATEGAIN.NS,1.0806,1.054,740
PVRINOX,PVRINOX.NS,0.863,0.9082,740
VESUVIUS,VESUVIUS.NS,0.9242,0.9492,740
BLUEJET,BLUEJET.NS,1.2594,1.1738,650
POWERMECH,POWERMECH.NS,1.5526,1.3702,740
SAREGAMA,SAREGAMA.NS,0.7076,0.8041,740
STARCEMENT,STARCEMENT.NS,0.7209,0.813,740
ESABINDIA,ESABINDIA.NS,0.6308,0.7526,738
PGINVIT,PGINVIT.NS,0.1407,0.4242,741
JAYNECOIND,JAYNECOIND.NS,1.4203,1.2816,742
JLHL,JLHL.NS,0.4164,0.609,675
BSOFT,BSOFT.NS,1.1994,1.1336,742
VARROC,VARROC.NS,1.2078,1.1392,740
TSFINV,TSFINV.NS,1.3011,1.2017,742
GENUSPOWER,GENUSPOWER.NS,1.3491,1.2339,742
SIGMAADV,SIGMAADV.NS,0.878,0.9183,740
RELAXO,RELAXO.NS,0.7068,0.8036,740
BATAINDIA,BATAINDIA.NS,0.7941,0.862,742
IRBINVIT,IRBINVIT.NS,0.1114,0.4047,737
EQUITASBNK,EQUITASBNK.NS,0.9601,0.9732,742
PARAS,PARAS.NS,1.3004,1.2013,742
TRIVENI,TRIVENI.NS,0.9814,0.9875,742
EUREKAFORB,EUREKAFORB.NS,0.6671,0.7769,438
ASKAUTOLTD,ASKAUTOLTD.NS,1.0445,1.0298,641
LEMONTREE,LEMONTREE.NS,1.1303,1.0873,742
THYROCARE,THYROCARE.NS,0.5175,0.6768,742
KRBL,KRBL.NS,1.0998,1.0669,740
CELLO,CELLO.NS,0.7273,0.8173,643
TIMETECHNO,TIMETECHNO.NS,1.5957,1.3991,742
KRN,KRN.NS,1.5996,1.4017,425
MAHSEAMLES,MAHSEAMLES.NS,1.093,1.0623,742
INDIASHLTR,INDIASHLTR.NS,0.6679,0.7775,613
SHARDACROP,SHARDACROP.NS,1.1581,1.1059,740
MIDHANI,MIDHANI.NS,1.5522,1.37,742
GRINFRA,GRINFRA.NS,0.9221,0.9478,742
EMBDL,EMBDL.NS,1.4657,1.312,742
V2RETAIL,V2RETAIL.NS,0.7898,0.8592,742
RELIGARE,RELIGARE.NS,0.8139,0.8753,740
CLEAN,CLEAN.NS,0.7805,0.8529,742
TIPSMUSIC,TIPSMUSIC.NS,0.8089,0.872,742
GMRP&UI,GMRP&UI.NS,1.7362,1.4933,742
AXISCADES,AXISCADES.NS,1.1741,1.1166,742
YATHARTH,YATHARTH.NS,0.9807,0.9871,708
SUPRIYA,SUPRIYA.NS,1.156,1.1045,740
SKYGOLD,SKYGOLD.NS,0.9863,0.9908,742
KPIGREEN,KPIGREEN.NS,1.1953,1.1308,742
E2E,E2E.NS,0.7818,0.8538,742
SKFINDIA,SKFINDIA.NS,0.5928,0.7271,742
CERA,CERA.NS,0.6103,0.7389,740
NESCO,NESCO.NS,1.0227,1.0152,738
IXIGO,IXIGO.NS,1.2432,1.163,499
BAJAJCON,BAJAJCON.NS,0.8361,0.8902,742
RHIM,RHIM.NS,0.8749,0.9162,740
BORORENEW,BORORENEW.NS,1.3081,1.2064,742
SFL,SFL.NS,0.8183,0.8783,742
INOXGREEN,INOXGREEN.NS,1.5091,1.3411,742
SAFARI,SAFARI.NS,0.4774,0.6498,738
PGIL,PGIL.NS,1.2978,1.1995,740
WELENT,WELENT.NS,1.3271,1.2191,742
IMFA,IMFA.NS,1.2864,1.1919,742
JSLL,JSLL.NS,1.0351,1.0235,740
JKLAKSHMI,JKLAKSHMI.NS,0.8166,0.8771,742
TTKPRESTIG,TTKPRESTIG.NS,0.449,0.6309,742
GPPL,GPPL.NS,1.0767,1.0514,742
REDTAPE,REDTAPE.NS,0.6457,0.7626,704
JYOTHYLAB,JYOTHYLAB.NS,0.7357,0.8229,742
GNFC,GNFC.NS,1.2144,1.1436,742
SPARC,SPARC.NS,1.3871,1.2593,742
PNGJL,PNGJL.NS,1.0149,1.01,436
CAMPUS,CAMPUS.NS,0.6398,0.7587,742
GAEL,GAEL.NS,0.8859,0.9236,742
BIRLACORPN,BIRLACORPN.NS,1.1757,1.1177,740
EPL,EPL.NS,0.968,0.9785,740
SANOFI,SANOFI.NS,0.4856,0.6554,740
ABFRL,ABFRL.NS,1.434,1.2908,742
TCI,TCI.NS,0.8294,0.8857,740
SUVEN,SUVEN.NS,1.0959,1.0642,742
PRECWIRE,PRECWIRE.NS,1.4421,1.2962,742
SONATSOFTW,SONATSOFTW.NS,1.1665,1.1115,742
MAXESTATES,MAXESTATES.NS,1.0743,1.0498,648
RCF,RCF.NS,1.6664,1.4465,742
SUDARSCHEM,SUDARSCHEM.NS,1.0081,1.0054,740
MAHLIFE,MAHLIFE.NS,0.8734,0.9152,742
KIRLFER,KIRLFER.NS,1.0,1.0,161
WESTLIFE,WESTLIFE.NS,0.469,0.6442,740
DBL,DBL.NS,1.3551,1.2379,738
KINGFA,KINGFA.NS,0.9225,0.9481,738
GOKULAGRO,GOKULAGRO.NS,1.0947,1.0634,742
BALAMINES,BALAMINES.NS,1.2203,1.1476,742
DYNAMATECH,DYNAMATECH.NS,1.0604,1.0405,740
AVL,AVL.NS,0.5739,0.7145,397
SJS,SJS.NS,1.1738,1.1165,740
GARFIBRES,GARFIBRES.NS,0.6025,0.7337,740
TANLA,TANLA.NS,1.1303,1.0873,742
ACI,ACI.NS,0.5935,0.7276,740
PRICOLLTD,PRICOLLTD.NS,0.9161,0.9438,740
ICIL,ICIL.NS,1.3377,1.2262,742
RAIN,RAIN.NS,1.3236,1.2168,742
ISGEC,ISGEC.NS,1.3886,1.2604,740
CEIGALL,CEIGALL.NS,0.8546,0.9026,459
DODLA,DODLA.NS,0.7845,0.8556,738
ASHAPURMIN,ASHAPURMIN.NS,1.3646,1.2443,742
SHAKTIPUMP,SHAKTIPUMP.NS,0.9466,0.9643,742
NEWGEN,NEWGEN.NS,1.216,1.1447,742
GSFC,GSFC.NS,1.3027,1.2028,742
GREENLAM,GREENLAM.NS,0.9756,0.9836,738
INDIAGLYCO,INDIAGLYCO.NS,1.3084,1.2067,742
HNDFDS,HNDFDS.NS,0.6399,0.7587,740
TRANSRAILL,TRANSRAILL.NS,1.4583,1.3071,367
JKPAPER,JKPAPER.NS,1.0542,1.0363,740
ETHOSLTD,ETHOSLTD.NS,0.845,0.8962,740
KOVAI,KOVAI.NS,1.0,1.0,161
SUNFLAG,SUNFLAG.NS,1.6456,1.4325,742
FDC,FDC.NS,0.5529,0.7004,740
CELLECOR,CELLECOR.NS,0.9102,0.9398,667
GANESHHOU,GANESHHOU.NS,1.3338,1.2236,740
SUPRAJIT,SUPRAJIT.NS,0.9285,0.9521,740
AJAXENGG,AJAXENGG.NS,0.9995,0.9997,328
GVPIL,GVPIL.NS,1.4327,1.2899,742
SKIPPER,SKIPPER.NS,1.7421,1.4972,740
GALAXYSURF,GALAXYSURF.NS,0.7123,0.8072,738
KENNAMET,KENNAMET.NS,1.0,1.0,162
HCC,HCC.NS,1.8785,1.5886,742
CSBBANK,CSBBANK.NS,0.9461,0.9639,742
DBREALTY,DBREALTY.NS,1.9371,1.6278,742
FIEMIND,FIEMIND.NS,1.1597,1.107,742
LATENTVIEW,LATENTVIEW.NS,1.1598,1.1071,742
SIS,SIS.NS,0.494,0.661,740
ARVINDFASN,ARVINDFASN.NS,1.1199,1.0803,742
JAIBALAJI,JAIBALAJI.NS,1.2673,1.1791,742
PRAJIND,PRAJIND.NS,1.0661,1.0443,742
PRSMJOHNSN,PRSMJOHNSN.NS,0.8533,0.9017,738
UNIMECH,UNIMECH.NS,1.1542,1.1033,363
MOIL,MOIL.NS,1.3539,1.2371,742
TVSSCS,TVSSCS.NS,1.2135,1.143,695
SENORES,SENORES.NS,1.2697,1.1807,366
AARTIPHARM,AARTIPHARM.NS,1.0963,1.0645,742
AEROFLEX,AEROFLEX.NS,1.4419,1.296,691
TIIL,TIIL.NS,1.1462,1.0979,738
DCBBANK,DCBBANK.NS,1.2211,1.1481,742
VMART,VMART.NS,0.803,0.868,740
FEDFINA,FEDFINA.NS,0.9061,0.9371,631
SURYAROSNI,SURYAROSNI.NS,1.0339,1.0227,742
PTC,PTC.NS,1.2879,1.1929,742
SMLMAH,SMLMAH.NS,1.2541,1.1703,742
BECTORFOOD,BECTORFOOD.NS,0.8638,0.9087,742
RPEL,RPEL.NS,1.6051,1.4054,461
INNOVACAP,INNOVACAP.NS,0.8344,0.889,609
NEOGEN,NEOGEN.NS,0.9812,0.9874,742
SENCO,SENCO.NS,1.0466,1.0312,724
PAISALO,PAISALO.NS,1.2795,1.1873,742
SAPPHIRE,SAPPHIRE.NS,0.6962,0.7964,742
STYLAMIND,STYLAMIND.NS,0.6049,0.7353,742
MASFIN,MASFIN.NS,0.7499,0.8324,742
AHLUCONT,AHLUCONT.NS,0.9918,0.9945,742
CENTUM,CENTUM.NS,1.1082,1.0725,738
HAPPSTMNDS,HAPPSTMNDS.NS,0.8532,0.9016,742
IBULLSLTD,IBULLSLTD.NS,0.6886,0.7914,742
THOMASCOOK,THOMASCOOK.NS,1.2797,1.1874,742
IFBIND,IFBIND.NS,1.1444,1.0967,742
PNCINFRA,PNCINFRA.NS,1.2118,1.1419,742
BALUFORGE,BALUFORGE.NS,1.6097,1.4085,532
ITDC,ITDC.NS,1.3676,1.2463,740
RTNINDIA,RTNINDIA.NS,1.654,1.4382,742
ICRA,ICRA.NS,0.471,0.6456,738
MBAPL,MBAPL.NS,0.71,0.8057,738
PURVA,PURVA.NS,1.3324,1.2227,740
LUMAXIND,LUMAXIND.NS,1.0561,1.0376,740
JSFB,JSFB.NS,1.2142,1.1435,580
RBA,RBA.NS,0.6034,0.7342,740
ENTERO,ENTERO.NS,0.432,0.6194,576
GOKEX,GOKEX.NS,1.3863,1.2588,742
RUSTOMJEE,RUSTOMJEE.NS,0.7665,0.8435,738
DHANUKA,DHANUKA.NS,0.8504,0.8997,738
MASTEK,MASTEK.NS,1.2381,1.1595,742
CARERATING,CARERATING.NS,0.7183,0.8113,740
CMSINFO,CMSINFO.NS,0.6222,0.7469,742
RAYMONDLSL,RAYMONDLSL.NS,1.2236,1.1498,444
LGBBROSLTD,LGBBROSLTD.NS,0.9185,0.9454,742
SWSOLAR,SWSOLAR.NS,1.421,1.2821,742
EPIGRAL,EPIGRAL.NS,1.2248,1.1506,738
JAMNAAUTO,JAMNAAUTO.NS,1.35,1.2345,742
NETWORK18,NETWORK18.NS,1.1767,1.1184,742
RENUKA,RENUKA.NS,1.0369,1.0247,742
PILANIINVS,PILANIINVS.NS,1.2197,1.1472,738
BANSALWIRE,BANSALWIRE.NS,1.1769,1.1185,479
BLISSGVS,BLISSGVS.NS,1.2066,1.1384,742
SUBROS,SUBROS.NS,1.2654,1.1778,740
KMEW,KMEW.NS,1.4918,1.3295,381
AGIIL,AGIIL.NS,1.208,1.1393,480
NORTHARC,NORTHARC.NS,1.2368,1.1587,431
INDIGOPNTS,INDIGOPNTS.NS,0.8208,0.88,742
ORCHPHARMA,ORCHPHARMA.NS,1.0362,1.0242,742
GULFOILLUB,GULFOILLUB.NS,1.1599,1.1071,742
MHRIL,MHRIL.NS,0.8433,0.895,742
GUJALKALI,GUJALKALI.NS,0.9395,0.9595,740
MAPMYINDIA,MAPMYINDIA.NS,0.7459,0.8298,740
DATAMATICS,DATAMATICS.NS,1.4447,1.2979,742
SYMPHONY,SYMPHONY.NS,0.7602,0.8393,742
JUSTDIAL,JUSTDIAL.NS,1.033,1.0221,742
DEEDEV,DEEDEV.NS,1.0722,1.0484,491
KODYTECH,KODYTECH.NS,0.9535,0.9688,668
RESPONIND,RESPONIND.NS,1.2227,1.1492,738
FCL,FCL.NS,1.31,1.2077,742
SWARAJENG,SWARAJENG.NS,0.9124,0.9413,738
KSCL,KSCL.NS,0.8561,0.9036,740
WEBELSOLAR,WEBELSOLAR.NS,0.9825,0.9883,742
REFEX,REFEX.NS,1.2115,1.1417,740
SHARDAMOTR,SHARDAMOTR.NS,1.1838,1.1232,740
MANINFRA,MANINFRA.NS,1.3468,1.2323,740
VIPIND,VIPIND.NS,0.9952,0.9968,740
RALLIS,RALLIS.NS,1.0492,1.0329,742
ELECTCAST,ELECTCAST.NS,1.5331,1.3572,742
VSTIND,VSTIND.NS,0.7201,0.8125,742
SANDHAR,SANDHAR.NS,1.2142,1.1435,742
AVANTEL,AVANTEL.NS,1.2525,1.1692,467
JUNIPER,JUNIPER.NS,1.0694,1.0465,570
PDSL,PDSL.NS,1.0949,1.0636,740
VADILALIND,VADILALIND.NS,0.9231,0.9485,738
GREAVESCOT,GREAVESCOT.NS,1.4567,1.306,742
AURIONPRO,AURIONPRO.NS,1.1964,1.1316,742
GOODLUCK,GOODLUCK.NS,1.3981,1.2667,740
TEXRAIL,TEXRAIL.NS,1.7558,1.5064,742
LXCHEM,LXCHEM.NS,1.2681,1.1796,742
ORIANA,ORIANA.NS,1.3074,1.2059,699
IONEXCHANG,IONEXCHANG.NS,0.8805,0.9199,740
GUJTHEM,GUJTHEM.NS,2.0255,1.6871,324
AGI,AGI.NS,0.9539,0.9691,740
NRBBEARING,NRBBEARING.NS,1.0285,1.0191,740
KRISHANA,KRISHANA.NS,0.8746,0.916,740
SHOPERSTOP,SHOPERSTOP.NS,0.8435,0.8951,742
SUNTECK,SUNTECK.NS,1.3295,1.2207,742
ADVENZYMES,ADVENZYMES.NS,0.8781,0.9183,742
UNIVCABLES,UNIVCABLES.NS,1.3048,1.2042,742
MOSCHIP,MOSCHIP.NS,1.8633,1.5784,338
EMIL,EMIL.NS,1.1229,1.0823,742
SBCL,SBCL.NS,1.0573,1.0384,740
VRLLOG,VRLLOG.NS,0.623,0.7474,740
MSTCLTD,MSTCLTD.NS,1.5777,1.3871,742
SEAMECLTD,SEAMECLTD.NS,0.6269,0.7501,738
WHEELS,WHEELS.NS,1.1026,1.0687,742
VISHNU,VISHNU.NS,1.094,1.063,742
HEMIPROP,HEMIPROP.NS,1.4223,1.283,742
MANINDS,MANINDS.NS,1.7074,1.474,742
SOTL,SOTL.NS,1.0149,1.01,742
GHCL,GHCL.NS,0.9376,0.9582,742
HIRECT,HIRECT.NS,1.405,1.2713,742
IOLCP,IOLCP.NS,1.2993,1.2005,742
VAIBHAVGBL,VAIBHAVGBL.NS,1.553,1.3705,740
VSTTILLERS,VSTTILLERS.NS,0.945,0.9631,740
NACLIND,NACLIND.NS,0.6387,0.7579,742
EMUDHRA,EMUDHRA.NS,0.6678,0.7774,740
INDOSTAR,INDOSTAR.NS,1.3099,1.2076,742
LUXIND,LUXIND.NS,1.1778,1.1191,742
RAYMOND,RAYMOND.NS,1.2543,1.1704,742
POCL,POCL.NS,1.6641,1.4449,742
SINDHUTRAD,SINDHUTRAD.NS,1.1972,1.1321,739
ROSSTECH,ROSSTECH.NS,1.444,1.2975,377
IDEAFORGE,IDEAFORGE.NS,1.0387,1.0259,729
ROLEXRINGS,ROLEXRINGS.NS,0.9619,0.9745,742
ORIENTELEC,ORIENTELEC.NS,0.7456,0.8296,742
OPTIEMUS,OPTIEMUS.NS,1.702,1.4703,740
FOSECOIND,FOSECOIND.NS,0.8301,0.8862,740
STYRENIX,STYRENIX.NS,0.8284,0.885,742
ANUP,ANUP.NS,1.2311,1.1549,740
ZOTA,ZOTA.NS,1.076,1.0509,740
TARC,TARC.NS,1.4182,1.2802,740
RPGLIFE,RPGLIFE.NS,0.7751,0.8493,742
GREENPLY,GREENPLY.NS,1.1501,1.1006,742
PREMEXPLN,PREMEXPLN.NS,1.3198,1.2143,742
HARSHA,HARSHA.NS,0.9581,0.9719,740
RPTECH,RPTECH.NS,1.0137,1.0092,580
QUESS,QUESS.NS,0.6773,0.7838,742
NFL,NFL.NS,1.5657,1.3791,742
SSWL,SSWL.NS,1.0132,1.0088,740
GUFICBIO,GUFICBIO.NS,0.8248,0.8826,742
HGINFRA,HGINFRA.NS,1.3242,1.2172,742
ASHIANA,ASHIANA.NS,0.7184,0.8113,742
PITTIENG,PITTIENG.NS,1.3324,1.2227,738
SAMHI,SAMHI.NS,1.0929,1.0622,676
SMSPHARMA,SMSPHARMA.NS,1.15,1.1005,740
PSPPROJECT,PSPPROJECT.NS,1.0097,1.0065,738
DBCORP,DBCORP.NS,0.775,0.8493,740
CYIENTDLM,CYIENTDLM.NS,1.1718,1.1151,728
BAJAJELEC,BAJAJELEC.NS,0.938,0.9585,742
GOPAL,GOPAL.NS,0.9507,0.967,558
INDRAMEDCO,INDRAMEDCO.NS,1.1652,1.1107,742
RAMRAT,RAMRAT.NS,1.1969,1.1319,740
KDDL,KDDL.NS,0.7438,0.8283,738
JKIL,JKIL.NS,1.3454,1.2314,742
MAYURUNIQ,MAYURUNIQ.NS,0.8972,0.9311,738
TFCILTD,TFCILTD.NS,1.0531,1.0355,742
SANATHAN,SANATHAN.NS,0.7723,0.8475,365
NPST,NPST.NS,1.2706,1.1813,736
BHAGCHEM,BHAGCHEM.NS,0.8478,0.898,738
KSL,KSL.NS,1.2701,1.181,742
KNRCON,KNRCON.NS,1.0395,1.0265,742
JTEKTINDIA,JTEKTINDIA.NS,1.1073,1.0719,742
GMMPFAUDLR,GMMPFAUDLR.NS,0.6205,0.7457,740
YASHO,YASHO.NS,0.7194,0.812,691
SHANTIGEAR,SHANTIGEAR.NS,0.8176,0.8778,740
AARTIDRUGS,AARTIDRUGS.NS,0.7644,0.8422,742
HEIDELBERG,HEIDELBERG.NS,0.7822,0.8541,742
ASHOKA,ASHOKA.NS,1.5157,1.3455,742
CARYSIL,CARYSIL.NS,1.0041,1.0027,742
SETL,SETL.NS,1.5447,1.365,354
SANGHVIMOV,SANGHVIMOV.NS,1.463,1.3102,742
MAHLOG,MAHLOG.NS,1.073,1.0489,742
KERNEX,KERNEX.NS,0.988,0.992,742
KIRLOSIND,KIRLOSIND.NS,1.0704,1.0472,740
NOVARTIND,NOVARTIND.NS,1.0,1.0,160
GRAUWEIL,GRAUWEIL.NS,1.0,1.0,161
ROUTE,ROUTE.NS,0.7233,0.8146,742
WSTCSTPAPR,WSTCSTPAPR.NS,1.1171,1.0785,740
SASKEN,SASKEN.NS,1.279,1.187,740
JINDALPOLY,JINDALPOLY.NS,0.9334,0.9554,742
PANACEABIO,PANACEABIO.NS,1.0286,1.0192,742
MARINE,MARINE.NS,1.2995,1.2007,742
UNICHEMLAB,UNICHEMLAB.NS,0.7585,0.8382,742
EIEL,EIEL.NS,1.505,1.3384,386
CHEMPLASTS,CHEMPLASTS.NS,0.9135,0.942,742
DEEPINDS,DEEPINDS.NS,1.0879,1.0589,742
BBL,BBL.NS,1.3095,1.2074,742
NAVNETEDUL,NAVNETEDUL.NS,0.8282,0.8849,742
ADFFOODS,ADFFOODS.NS,1.1625,1.1089,742
KOLTEPATIL,KOLTEPATIL.NS,0.8784,0.9185,738
NITINSPIN,NITINSPIN.NS,0.993,0.9953,740
JINDWORLD,JINDWORLD.NS,1.0921,1.0617,742
MPSLTD,MPSLTD.NS,0.8403,0.893,738
MUTHOOTMF,MUTHOOTMF.NS,1.0945,1.0633,610
DREDGECORP,DREDGECORP.NS,1.2562,1.1716,742
PRINCEPIPE,PRINCEPIPE.NS,0.9888,0.9925,740
ANTELOPUS,ANTELOPUS.NS,0.6165,0.7431,742
INDOTHAI,INDOTHAI.NS,0.2145,0.4737,740
TVSSRICHAK,TVSSRICHAK.NS,1.1011,1.0677,740
63MOONS,63MOONS.NS,1.3581,1.24,742
RAMKY,RAMKY.NS,1.2663,1.1784,738
WONDERLA,WONDERLA.NS,0.8201,0.8795,740
UFLEX,UFLEX.NS,1.1902,1.1274,740
SUNCLAY,SUNCLAY.NS,0.8154,0.8763,605
PARAGMILK,PARAGMILK.NS,1.1802,1.1207,742
UNIPARTS,UNIPARTS.NS,0.8493,0.8991,740
BALMLAWRIE,BALMLAWRIE.NS,1.33,1.2211,742
SHAREINDIA,SHAREINDIA.NS,1.4472,1.2996,742
WINDMACHIN,WINDMACHIN.NS,1.3241,1.2172,740
HERITGFOOD,HERITGFOOD.NS,1.1281,1.0858,742
RSYSTEMS,RSYSTEMS.NS,0.8875,0.9246,742
INTERARCH,INTERARCH.NS,1.1811,1.1214,448
MAITHANALL,MAITHANALL.NS,1.191,1.1279,742
CARRARO,CARRARO.NS,1.4194,1.281,362
GATEWAY,GATEWAY.NS,0.9632,0.9753,742
NIITMTS,NIITMTS.NS,0.8368,0.8907,701
SOLARA,SOLARA.NS,1.0128,1.0085,742
JTLIND,JTLIND.NS,1.5925,1.397,740
STEELCAS,STEELCAS.NS,0.8467,0.8973,740
RPSGVENT,RPSGVENT.NS,1.3675,1.2462,742
FLAIR,FLAIR.NS,0.6324,0.7537,628
VENUSPIPES,VENUSPIPES.NS,1.3697,1.2477,740
KITEX,KITEX.NS,1.4529,1.3034,742
DCAL,DCAL.NS,1.6338,1.4246,740
JUBLCPL,JUBLCPL.NS,1.3171,1.2125,329
XPROINDIA,XPROINDIA.NS,0.8235,0.8817,742
NSIL,NSIL.NS,1.2383,1.1597,740
JASH,JASH.NS,1.0718,1.0481,738
POLYPLEX,POLYPLEX.NS,1.0719,1.0482,742
TATVA,TATVA.NS,0.6615,0.7732,742
JNKINDIA,JNKINDIA.NS,1.324,1.2171,529
SIYSIL,SIYSIL.NS,1.2693,1.1804,742
ROSSARI,ROSSARI.NS,0.7454,0.8294,742
FUSION,FUSION.NS,1.1334,1.0894,740
MOREPENLAB,MOREPENLAB.NS,1.6378,1.4274,742
ZAGGLE,ZAGGLE.NS,1.415,1.278,676
APCOTEXIND,APCOTEXIND.NS,0.7196,0.8122,740
MONARCH,MONARCH.NS,1.4073,1.2729,740
ORIENTCEM,ORIENTCEM.NS,1.0999,1.0669,740
MEDIASSIST,MEDIASSIST.NS,0.9793,0.9862,593
INDOTECH,INDOTECH.NS,1.258,1.1728,740
MARATHON,MARATHON.NS,1.2321,1.1555,742
NOCIL,NOCIL.NS,1.1883,1.1261,742
KKCL,KKCL.NS,0.9379,0.9584,738
DIAMONDYD,DIAMONDYD.NS,0.6468,0.7634,738
VSSL,VSSL.NS,0.9637,0.9757,740
DDEVPLSTIK,DDEVPLSTIK.NS,1.4511,1.3023,352
SANGAMIND,SANGAMIND.NS,1.2144,1.1437,738
DALMIASUG,DALMIASUG.NS,1.0047,1.0031,738
CAMLINFINE,CAMLINFINE.NS,1.3661,1.2453,740
BOROLTD,BOROLTD.NS,0.9746,0.983,742
HLEGLAS,HLEGLAS.NS,0.9466,0.9642,742
ARVSMART,ARVSMART.NS,1.3986,1.267,740
KIRIINDUS,KIRIINDUS.NS,1.1234,1.0827,742
PATELENG,PATELENG.NS,1.4315,1.2891,742
BOMDYEING,BOMDYEING.NS,1.7173,1.4806,742
HUBTOWN,HUBTOWN.NS,1.2284,1.153,742
POKARNA,POKARNA.NS,1.3514,1.2355,742
RML,RML.NS,1.1258,1.0843,742
SPECTRUM,SPECTRUM.NS,0.5694,0.7115,736
EVEREADY,EVEREADY.NS,1.0114,1.0076,740
