Symbol,Yahoo_Symbol,Raw_Beta,Beta,Observation_Count
BHARATFORG,BHARATFORG.NS,1.3228,1.2163,740
RECLTD,RECLTD.NS,1.8066,1.5404,742
ABCAPITAL,ABCAPITAL.NS,1.4904,1.3286,742
LODHA,LODHA.NS,1.5546,1.3716,742
WAAREEENER,WAAREEENER.NS,1.0975,1.0653,408
SHREECEM,SHREECEM.NS,0.7938,0.8618,742
ASHOKLEY,ASHOKLEY.NS,1.4489,1.3008,742
AUROPHARMA,AUROPHARMA.NS,0.6778,0.7841,740
ICICIGI,ICICIGI.NS,0.73,0.8191,742
NTPCGREEN,NTPCGREEN.NS,0.8066,0.8704,388
OFSS,OFSS.NS,1.0763,1.0511,742
HINDPETRO,HINDPETRO.NS,1.476,1.3189,742
SRF,SRF.NS,0.9887,0.9924,742
IDBI,IDBI.NS,1.5293,1.3547,742
NMDC,NMDC.NS,1.3081,1.2064,742
ATGL,ATGL.NS,1.2016,1.1351,742
FEDERALBNK,FEDERALBNK.NS,0.8827,0.9214,742
NYKAA,NYKAA.NS,0.8266,0.8839,742
LAURUSLABS,LAURUSLABS.NS,1.0131,1.0088,742
SAIL,SAIL.NS,1.6417,1.43,742
PERSISTENT,PERSISTENT.NS,1.0087,1.0058,742
SUZLON,SUZLON.NS,1.2818,1.1888,742
FORTIS,FORTIS.NS,0.6685,0.7779,742
DABUR,DABUR.NS,0.5981,0.7307,742
NHPC,NHPC.NS,1.1903,1.1275,742
BHARTIHEXA,BHARTIHEXA.NS,0.8624,0.9078,542
AUBANK,AUBANK.NS,0.7632,0.8413,742
HAVELLS,HAVELLS.NS,0.8753,0.9165,742
MCX,MCX.NS,1.3812,1.2554,742
YESBANK,YESBANK.NS,1.1725,1.1155,742
INDUSINDBK,INDUSINDBK.NS,1.1615,1.1082,742
TORNTPOWER,TORNTPOWER.NS,1.0303,1.0203,742
BAJAJHFL,BAJAJHFL.NS,0.9905,0.9936,437
POLICYBZR,POLICYBZR.NS,1.0208,1.0139,740
DIXON,DIXON.NS,1.4301,1.2882,742
NATIONALUM,NATIONALUM.NS,1.5426,1.3635,742
NAM-INDIA,NAM-INDIA.NS,1.5461,1.3659,742
LTF,LTF.NS,1.5476,1.3669,742
OIL,OIL.NS,0.8713,0.9138,742
BIOCON,BIOCON.NS,1.0387,1.0259,742
ICICIPRULI,ICICIPRULI.NS,0.8137,0.8752,742
PAYTM,PAYTM.NS,1.1729,1.1158,742
MAHABANK,MAHABANK.NS,1.4317,1.2892,742
GICRE,GICRE.NS,1.1307,1.0875,742
BANKINDIA,BANKINDIA.NS,1.3866,1.259,742
IDFCFIRSTB,IDFCFIRSTB.NS,1.117,1.0784,742
SWIGGY,SWIGGY.NS,1.2012,1.1348,396
ALKEM,ALKEM.NS,0.6602,0.7723,740
IOB,IOB.NS,1.4833,1.3238,742
NAUKRI,NAUKRI.NS,1.1704,1.1141,742
PHOENIXLTD,PHOENIXLTD.NS,1.027,1.0181,738
SCHAEFFLER,SCHAEFFLER.NS,0.9084,0.9387,742
APARINDS,APARINDS.NS,0.9881,0.9921,742
JSWINFRA,JSWINFRA.NS,1.256,1.1715,670
GLENMARK,GLENMARK.NS,0.8248,0.8826,742
COFORGE,COFORGE.NS,1.026,1.0174,742
BERGEPAINT,BERGEPAINT.NS,0.6444,0.7617,742
UNOMINDA,UNOMINDA.NS,1.0525,1.0352,742
TIINDIA,TIINDIA.NS,0.944,0.9625,742
FACT,FACT.NS,1.4106,1.2751,742
PRESTIGE,PRESTIGE.NS,1.4207,1.2819,742
OBEROIRLTY,OBEROIRLTY.NS,1.2766,1.1853,740
LINDEINDIA,LINDEINDIA.NS,0.808,0.8714,740
JSL,JSL.NS,1.1154,1.0773,742
COLPAL,COLPAL.NS,0.5854,0.7222,742
