Symbol,Weight,Risk_Contribution_Pct,Budget_Gap
BHEL.NS,0.024354625077635413,3.775358047560627,1.339895539797086
SAIL.NS,0.021226755448520655,3.4377175754977847,1.3150420306457193
HINDCOPPER.NS,0.019591059516750983,3.380518884909515,1.4214129332344165
ADANIPOWER.NS,0.02472781771113464,3.284481124248235,0.8116993531347707
MOTHERSON.NS,0.024095134348231934,3.1024334398576423,0.6929200050344488
NATIONALUM.NS,0.021105861570988045,3.0856033793793625,0.9750172222805578
ADANIPORTS.NS,0.025497467659677916,3.069008660041903,0.5192618940741114
TATASTEEL.NS,0.023142736688296736,2.947357449180364,0.6330837803506904
HINDALCO.NS,0.02242269600386759,2.847229469765914,0.6049598693791554
BSE.NS,0.023060825483754457,2.8012413849222892,0.4951588365468438
JINDALSTEL.NS,0.019119473452988218,2.7766993437289145,0.8647519984300926
BHARATFORG.NS,0.024557670265152636,2.764230128944288,0.3084631024290245
GVT&D.NS,0.024092457306671443,2.5778302217916003,0.16858449112445584
JSWSTEEL.NS,0.022696325325988066,2.5404783109170674,0.27084577831826095
POLYCAB.NS,0.025544024095132838,2.4719290202318356,-0.0824733892814482
WELCORP.NS,0.01863604545899893,2.4397945567048307,0.5761900108049378
SBIN.NS,0.024749060692706413,2.439498951273624,-0.03540711799701768
ADANIENSOL.NS,0.019400982683134806,2.3295534632290877,0.3894551949156071
FEDERALBNK.NS,0.021963966573291926,2.316879681152301,0.12048302382310849
INDUSTOWER.NS,0.02401819668854941,2.275481344264063,-0.1263383245908778
GPIL.NS,0.01709697963947847,2.2632164947018127,0.5535185307539658
POWERINDIA.NS,0.025199028295226487,2.2392750721260035,-0.28062775739664536
APARINDS.NS,0.022368795800057777,2.1617483425992483,-0.07513123740652938
LAURUSLABS.NS,0.022790144873062156,2.1251841203425643,-0.15383036696365116
CGPOWER.NS,0.023849502732795066,2.1096541384850536,-0.2752961347944529
KEI.NS,0.021726858813361036,2.0673416365860366,-0.10534424475006698
KIRLOSENG.NS,0.0175780229419228,2.0013649679615337,0.24356267376925378
GRASIM.NS,0.021233482312552458,1.8844795000854029,-0.23886873116984275
PHOENIXLTD.NS,0.02232022929157887,1.8649289624301058,-0.36709396672778105
CUPID.NS,0.019802625200725035,1.8634793079202423,-0.11678321215226117
ACUTAAS.NS,0.018505177362382316,1.8299539918489145,-0.020563744389317185
TITAN.NS,0.02382644507573647,1.7246087876952167,-0.6580357198784303
MAHABANK.NS,0.0146694380708961,1.7040046069559205,0.23706079986631057
NYKAA.NS,0.022546321788711007,1.6160296549157713,-0.6386025239553292
BAJAJ-AUTO.NS,0.024702082089492216,1.610914471734347,-0.8592937372148743
SONACOMS.NS,0.019354756179874633,1.6091303399568995,-0.3263452780305638
SYRMA.NS,0.01649388095251814,1.5994624283325554,-0.049925666919258704
APOLLOHOSP.NS,0.02445078992601631,1.5472183377045545,-0.8978606548970762
SHYAMMETL.NS,0.016938600902513687,1.5234595369010353,-0.17040055335033344
NAVINFLUOR.NS,0.018879782923061656,1.5119035799255742,-0.3760747123805914
RRKABEL.NS,0.019259449293332655,1.4854519714069279,-0.4404929579263377
CRAFTSMAN.NS,0.017303094371723452,1.18635186449725,-0.5439575726750954
TORNTPHARM.NS,0.023692998215535693,1.0428488163584857,-1.3264510051950837
MARICO.NS,0.02005535674101223,0.846601565625355,-1.1589341084758678
NESTLEIND.NS,0.02386229769759065,0.7952693871796291,-1.590960382579436
AETHER.NS,0.014345557534030969,0.6243787637763087,-0.8101769896267881
ANANDRATHI.NS,0.01314511892333856,0.49841491434599683,-0.8160969779878591
