Factor,Exposure,Marginal_Risk,Component_Risk,Risk_Contribution_Pct
PC_1,0.01914034900044276,1.4713680337848953,0.028162497674738152,84.76385385114762
PC_2,0.01814503336171986,0.09270259017720114,0.0016820915914831586,5.062781272863378
PC_3,0.018264810398454113,0.06417937561550216,0.0011722241271083162,3.5281755098066685
PC_10,-0.023019779460357853,-0.046529008526183205,0.0010710875147818477,3.2237732112161313
PC_7,0.019969933847643936,0.04337238467000995,0.0008661436526746647,2.6069304944948235
PC_5,0.008849611982427577,0.013389844282959723,0.00011849492640931975,0.356647579354144
PC_9,0.007028470362858011,0.008482605432663215,5.961974088329176e-05,0.17944427590340212
PC_6,0.005847729100586528,0.009245775878532762,5.4066792662397004e-05,0.16273093971869562
PC_4,-0.0020268029977198103,0.013938631813488478,-2.825086074369116e-05,0.08502981017182192
PC_8,0.0034196158304797743,-0.0029762778427995587,-1.0177726827143564e-05,0.03063305532331207
