Sector,Weight
Basic Materials,0.2585383367732013
Industrials,0.21578066802630622
Consumer Cyclical,0.1869150192985022
Financial Services,0.0917665531655163
Healthcare,0.066702209333069
Consumer Defensive,0.0599189027117456
Utilities,0.041496197326452294
Technology,0.0353081106484143
Communication Services,0.0225853370204692
Real Estate,0.0209886656963214
