Factor,Exposure,Marginal_Risk,Component_Risk,Risk_Contribution_Pct
PC_1,0.01914034900044276,1.467028077174372,0.028079429390565958,83.49447318572601
PC_2,0.01814503336171986,0.09635768669717959,0.0017484134397784737,5.198925413854515
PC_3,0.018264810398454113,0.07145847529454274,0.0013051755026174407,3.8809528317043167
PC_10,-0.023019779460357857,-0.05293501423767276,0.00121855235348213,3.6233780034504592
PC_7,0.019969933847643936,0.03182703127367309,0.0006355837091021464,1.8899147208006648
PC_11,0.005968772924711856,0.02067366415858035,0.00012339640688432033,0.3669204898187626
PC_5,0.008849611982427577,0.011200055226617198,9.911614293732217e-05,0.29472287430218436
PC_20,-0.0049432018993477945,0.013550545313164075,-6.698308132923101e-05,0.1991748838678256
PC_17,-0.006567481117090303,0.009981581686751895,-6.555384924643744e-05,0.19492504751420367
PC_6,0.005847729100586528,0.008786460952524666,5.1380843403245714e-05,0.15278146831693215
