Symbol,Weight,Marginal_Risk,Component_Risk,Risk_Contribution_Pct
BHEL.NS,0.022901695015588145,0.3113610496255569,0.007130695798257909,3.914229018050297
SAIL.NS,0.019960425500407337,0.32623172883303436,0.006511724119240871,3.574458962517748
HINDCOPPER.NS,0.018422310696824238,0.3466225855122943,0.006385588964844013,3.5052200136823406
ADANIPOWER.NS,0.023252624001241545,0.2674027102195625,0.006217814677648437,3.4131242348126167
MOTHERSON.NS,0.022657684790621545,0.25872384810795723,0.005862083398246742,3.217853852250167
NATIONALUM.NS,0.01984674381967204,0.29462344190909295,0.0058473159748397945,3.20974761986322
ADANIPORTS.NS,0.02397635874706965,0.24122760923240408,0.005783759698654051,3.174859885543347
TATASTEEL.NS,0.021762104560095846,0.2571022523767026,0.005595086098857952,3.0712919168407242
HINDALCO.NS,0.021085019525896143,0.25781959358952916,0.0054361311649938305,2.9840373161262725
JINDALSTEL.NS,0.017978858162799635,0.2933393181016987,0.005273905993722805,2.8949875949192116
BSE.NS,0.02168507995311434,0.24271450452774854,0.00526328343646476,2.8891565900577367
BHARATFORG.NS,0.023092627084715846,0.2261464513931814,0.005222315668554556,2.866668290108376
GVT&D.NS,0.022655167454010246,0.21495179905605885,0.004869769002155775,2.673146026520559
JSWSTEEL.NS,0.021342324873958343,0.22665647913955791,0.004837376212584007,2.655364760778107
SBIN.NS,0.023272599684859244,0.1997319411886557,0.004648281511563434,2.5515656383874
POLYCAB.NS,0.02402013775341455,0.19348028610451815,0.004647423124800585,2.5510944470098806
WELCORP.NS,0.017524270155591635,0.26222433220659325,0.004595290038957948,2.5224772063956324
FEDERALBNK.NS,0.02065365663362294,0.2137883516824759,0.0044155112079180825,2.423791813385413
ADANIENSOL.NS,0.018243573325210836,0.240255653151061,0.0043831216250578035,2.4060123078923827
INDUSTOWER.NS,0.022585337020469245,0.19034927959502487,0.004299102631257166,2.3598920423662353
