Symbol,Mean_Return,Annualized_Return,Volatility,Annualized_Volatility,Sharpe,Observations
20MICRONS.NS,0.0015913131304525784,0.4010109088740498,0.03374240654162862,0.53564409807593,0.7486517826192954,1599
21STCENMGM.NS,0.0005941422971718214,0.149723858887299,0.01621226215654724,0.25736168313604624,0.5817643755778211,1599
360ONE.NS,0.0012030622494140545,0.30317168685234175,0.024319797328075304,0.3860648139934822,0.785287018820265,1599
3IINFOLTD.NS,0.0010243397020569531,0.2581336049183522,0.033460450441690395,0.5311681837494847,0.48597339376805737,1599
3MINDIA.NS,0.00043747213173743905,0.11024297719783464,0.019078013139151192,0.3028540696525005,0.3640135241515135,1599
3PLAND.NS,0.0016043421999625185,0.4042942343905547,0.03384113810156576,0.537211413000813,0.7525793842171087,1599
5PAISA.NS,0.0007144404910449306,0.18003900374332252,0.029579794033270882,0.46956467306728195,0.38341684132086634,1599
63MOONS.NS,0.0017086182650951104,0.43057180280396784,0.03440384112470879,0.546144046568137,0.7883850524593234,1599
A2ZINFRA.NS,0.001067390843888117,0.2689824926598055,0.03528366625615604,0.5601108375383418,0.4802308304584315,1599
AAATECH.NS,0.001429268929792939,0.36017577030782066,0.0328884926137768,0.5220886347110284,0.6898747575824455,1382
AADHARHFC.NS,0.0009698837049668905,0.2444106936516564,0.02124453741424744,0.33724657630023547,0.724724017462133,518
AAKASH.NS,0.0008749385286967072,0.2204845092315702,0.03163421078048779,0.502177527881815,0.43905690117511614,1599
AAREYDRUGS.NS,0.0009892803082920372,0.24929863768959337,0.03170795400734087,0.5033481653165871,0.49528071197556445,1201
AARON.NS,0.001951641931929429,0.49181376684621614,0.03157877870734016,0.5012975710005829,0.9810814879165737,1599
AARTECH.NS,0.0008883073349332696,0.22385344840318394,0.03390211022148998,0.5381793153981802,0.415945841838166,725
AARTIDRUGS.NS,0.0009402773544989727,0.2369498933337411,0.026594525597544688,0.42217500580106804,0.5612598805657236,1599
AARTIIND.NS,0.00038199933788603014,0.0962638331472796,0.02266227160002637,0.35975240878482967,0.2675835680223496,1599
AARTIPHARM.NS,0.0013611058322522266,0.3429986697275611,0.02812945746736723,0.4465412938429349,0.7681230704907807,833
AARTISURF.NS,0.0002753698443083352,0.06939320076570046,0.029559423635809094,0.46924130303253336,0.14788382931604233,1468
AARVI.NS,0.001472251611402738,0.37100740607349,0.033704494247118334,0.5350422590584937,0.6934170148099077,1599
AATMAJ.NS,-0.000506348163386864,-0.12759973717348974,0.03589095243553914,0.5697512067701073,-0.2239569406036832,731
AAVAS.NS,9.516570073992555e-05,0.023981756586461237,0.02265010782526221,0.359559314846651,0.06669763679099582,1599
ABAN.NS,0.00016703029220488914,0.042091633635632064,0.03348292365096902,0.5315249348869613,0.07919032743888796,1599
ABB.NS,0.001278568236336816,0.3221991955568776,0.020967227994684232,0.332844425737956,0.9680173998483627,1599
ABBOTINDIA.NS,0.0005557152659309495,0.14004024701459927,0.015964687982510165,0.2534315649627803,0.5525761837723963,1599
ABCAPITAL.NS,0.0011254060686276505,0.2836023292941679,0.024711427078694538,0.39228174355039863,0.7229557173050851,1599
ABCOTS.NS,0.0020071129013934487,0.5057924511511491,0.03235726901070497,0.513655721445254,0.9846915551296105,1084
ABFRL.NS,8.45338119932701e-05,0.021302520622304068,0.024894495106516014,0.3951878583981347,0.053904795326081854,1599
ABINFRA.NS,0.001844394587937229,0.4647874361601817,0.02984422082601883,0.4737623182688429,0.981056150388963,1599
ABMINTLLTD.NS,0.0010985019365354369,0.2768224880069301,0.03529000305390247,0.5602114310840153,0.4941393064244968,1599
ABREL.NS,0.0011160874170445814,0.2812540290952345,0.028494511707548055,0.4523363502503436,0.6217807367008548,1599
ABSLAMC.NS,0.0005984184798044834,0.15080145691072983,0.019591033390725064,0.3109980136717261,0.4848952413886099,1157
ABSMARINE.NS,0.00038013924597784225,0.09579508998641624,0.03679686493747953,0.5841321219084188,0.16399558660366764,515
ACC.NS,0.0001511083852180604,0.038079313074951215,0.018591438179629563,0.29512993162998724,0.12902558837269115,1599
