Symbol,Weight,Risk_Score,Risk_Contribution,Risk_Budget_%
POWERINDIA,0.0236957234556814,313.0572740672108,7.418118592086088,0.3285963639178515
APARINDS,0.0210343348602527,125.38555286438054,2.6374017055872976,0.11682754864168508
CRAFTSMAN,0.0162708392703216,64.60364131509822,1.051155464115471,0.04656246177962383
GVT&D,0.0226551674540102,44.72687731732833,1.013294895319044,0.04488537275928383
POLYCAB,0.0240201377534145,40.453448185905145,0.9716973980260576,0.0430427510501701
BAJAJ-AUTO,0.0232284236961244,40.92647150304693,0.9506574204601353,0.04211075460939455
NAVINFLUOR,0.0177534669117742,43.058452614016765,0.7644368137551439,0.03386184169566496
APOLLOHOSP,0.0229921229331528,32.07597872836163,0.7374948461236849,0.03266840801155878
BSE,0.0216850799531143,29.605175714632143,0.6419906023977958,0.028437908480244835
KEI,0.0204306940716267,30.49558108606323,0.6230458877058433,0.027598724759202962
TORNTPHARM,0.0222795389954635,24.75662823553784,0.5515662641698581,0.02443243075937403
ACUTAAS,0.0174012092902968,27.715323581998685,0.48228014619865756,0.021363301282311124
TITAN,0.0224050247823875,18.99617440107166,0.42560975822656555,0.018853003934232913
RRKABEL,0.0181104834288384,18.80576179068883,0.3405814372769524,0.015086550655379923
WAAREEENER,0.0197982093465519,15.55166993944609,0.30789521714963175,0.013638666943259915
KIRLOSENG,0.0165293663568896,15.422403013446873,0.25492254951286153,0.011292165501365801
BHARATFORG,0.0230926270847158,10.135524861339658,0.23405589593078255,0.010367846698816656
ATHERENERG,0.0221580263123085,9.923424068556262,0.2198834916192651,0.00974005941462487
ADANIENSOL,0.0182435733252108,12.019030432355505,0.2192700629906177,0.00971288670035852
GRASIM,0.0199667510582008,10.794667019701643,0.21553442913855306,0.009547411359747704
PHOENIXLTD,0.0209886656963214,9.577604300501102,0.2010211348348678,0.008904523857012387
ADANIPORTS,0.0239763587470696,7.812306174258314,0.18731065547596418,0.008297198211165636
WELCORP,0.0175242701555916,9.5380323707571,0.16714705601792526,0.0074040222146971955
LAURUSLABS,0.0214305474044527,6.812263857096524,0.14599054352114688,0.0064668636894829245
SYRMA,0.0155099013018624,9.244313719693759,0.14337839339590266,0.006351154696359181
CGPOWER,0.022426706882935,6.136836186419298,0.13762902634141425,0.006096478111524116
NESTLEIND,0.0224387385352618,6.056748486015026,0.13590579565153393,0.006020145099068584
HINDALCO,0.0210850195258961,6.385968159086169,0.13464826332608265,0.005964440873728578
AETHER,0.0134897409599067,9.021402478535357,0.12169638253050223,0.005390718455774036
JSWSTEEL,0.0213423248739583,5.432616984614368,0.11594467660142357,0.005135938267083563
ANANDRATHI,0.0123609172207041,8.73143257337413,0.107928515257637,0.004780850728720772
JINDALSTEL,0.0179788581627996,5.457727358981263,0.09812370607835498,0.0043465324301891735
SBIN,0.0232725996848592,3.8346782418770164,0.08924293164344348,0.003953145596066601
SHYAMMETL,0.0159280904807013,4.722117022079942,0.0752143071881491,0.0033317272499516406
NATIONALUM,0.019846743819672,3.4485452463789987,0.06844239405543165,0.003031755497740446
BHEL,0.0229016950155881,2.8806267851849063,0.06597123608803875,0.0029222919575352217
HINDCOPPER,0.0184223106968242,3.4688118665356393,0.06390352995415023,0.0028306999037264226
SONACOMS,0.0182001045682118,3.3182250120642185,0.060392042200424635,0.0026751534409012964
MARICO,0.0188589092234991,3.152077470236373,0.059444742876624455,0.002633191438072889
INDUSTOWER,0.0225853370204692,2.103100264571274,0.04749922826318017,0.002104047475438893
ADANIPOWER,0.0232526240012415,1.862782679079709,0.043314585232665785,0.001918682619505184
FEDERALBNK,0.0206536566336229,1.7020151005773496,0.03515283547256572,0.0015571460302630754
BELRISE,0.0177010186579581,1.7995113618143392,0.031853184190683205,0.001410983172395018
NYKAA,0.021201270135853,1.494987753733927,0.03169563921670506,0.0014040044883850348
MOTHERSON,0.0226576847906215,1.3401627857466387,0.030364985967568557,0.001345061265265334
SAIL,0.0199604255004073,1.4219994538423333,0.02838371416003976,0.0012572979457921912
GPIL,0.0160770207770766,1.763046473595416,0.02834453478694513,0.0012555624384152655
TATASTEEL,0.0217621045600958,1.1300222903206376,0.024591663237196647,0.0010893235288872208
CUPID,0.0186212549529847,1.3053811820339356,0.024307835801482443,0.0010767509793656598
MAHABANK,0.0137942996732158,0.6838346890903627,0.009433020628252818,0.0004178493833345812
