Security_ID,Symbol,Company_Name,Weight,Alpha_Adjusted,Market_Cap,ADV_20D
SEC39245F03,POLYCAB,Polycab India Limited,0.0240201377534145,0.9127760252365932,1428950146682.0,2316271807.35
SEC6ACA80F1,ADANIPORTS,Adani Ports and Special Economic Zone Limited,0.0239763587470696,0.8703470031545743,4125469104629.799,3373669639.0795164
SEC0BE45679,POWERINDIA,Hitachi Energy India Limited,0.0236957234556814,0.8406940063091483,1518803269225.0,7157744736.0
SEC10D35CD2,SBIN,State Bank of India,0.0232725996848592,0.8302147239263803,4126793239582.544,8773996818.526707
SEC23029172,ADANIPOWER,Adani Power Limited,0.0232526240012415,0.835185185185185,4126793239582.544,8701394964.536728
SEC458C7E09,BAJAJ-AUTO,Bajaj Auto Limited,0.0232284236961244,0.8525193798449612,2812545623043.0,3390252519.075879
SEC7FE71EB3,BHARATFORG,Bharat Forge Limited,0.0230926270847158,0.9193798449612404,921802679687.1144,1752069513.2322204
SECC2E751BE,APOLLOHOSP,Apollo Hospitals Enterprise Limited,0.0229921229331528,0.8277777777777777,1224398246683.5,3880171828.7
SECD1C4E177,BHEL,Bharat Heavy Electricals Limited,0.0229016950155881,0.8473186119873817,1296720372149.172,4193728750.906015
SEC0BDD67BA,MOTHERSON,Samvardhana Motherson International Limited,0.0226576847906215,0.837984496124031,1494697571482.7888,3802947477.0305176
SEC31D4BC12,GVT&D,GE Vernova T&D India Ltd,0.0226551674540102,0.832807570977918,1253219765557.5,4744110174.789648
SECE103320D,INDUSTOWER,Indus Towers Limited,0.0225853370204692,0.8710526315789474,1108015280054.4707,2733181575.117189
SEC8467BBC9,NESTLEIND,Nestlé India Limited,0.0224387385352618,0.821111111111111,2739749080011.9727,2801292064.615503
SECA8D30DA3,CGPOWER,CG Power and Industrial Solutions Limited,0.022426706882935,0.8324921135646688,1425337215345.0,3510287698.27728
SEC8084428B,TITAN,Titan Company Limited,0.0224050247823875,0.8125968992248063,3657287606980.0,3426222277.4719973
SECBFB674BF,TORNTPHARM,Torrent Pharmaceuticals Limited,0.0222795389954635,0.8361111111111111,1548083320155.3125,2354768015.4289308
SEC98541475,ATHERENERG,Ather Energy Limited,0.0221580263123085,0.8651162790697674,401338390830.5786,4101349137.936835
SEC59D35B99,TATASTEEL,Tata Steel Limited,0.0217621045600958,0.8655642023346303,2461693342554.2534,6622054083.466818
SECD98B2F18,BSE,BSE Limited,0.0216850799531143,0.8115030674846625,1613632028905.879,8773996818.526707
SECA722432A,LAURUSLABS,Laurus Labs Limited,0.0214305474044527,0.8746031746031747,755809166617.0,2304859375.517785
SECE38F61AD,JSWSTEEL,JSW Steel Limited,0.0213423248739583,0.8836575875486381,3165996605790.6978,2056179374.2716308
SEC2FE15581,NYKAA,FSN E-Commerce Ventures Limited,0.021201270135853,0.8439922480620154,771227796787.0096,1879164541.978723
SEC1317061B,HINDALCO,Hindalco Industries Limited,0.0210850195258961,0.8519455252918289,2295858389466.432,6406327533.871887
SEC3069B975,APARINDS,APAR Industries Limited,0.0210343348602527,0.8430599369085173,612255341400.0,1849503312.0
SECBC710BBF,PHOENIXLTD,The Phoenix Mills Limited,0.0209886656963214,0.8892857142857142,623331592608.9569,765248267.053009
SEC17154FBC,FEDERALBNK,The Federal Bank Limited,0.0206536566336229,0.9012269938650308,778449810214.7582,5735660901.565318
SEC262E8C48,KEI,KEI Industries Limited,0.0204306940716267,0.8534700315457413,507782560342.5,1303086957.135327
SEC910FE0F6,GRASIM,Grasim Industries Limited,0.0199667510582008,0.8295719844357976,2101928744185.5864,2760642338.060632
SEC06DCFAD7,SAIL,Steel Authority of India Limited,0.0199604255004073,0.8464980544747083,754275225545.3625,4376503251.329583
SECD3E0F146,NATIONALUM,National Aluminium Company Limited,0.019846743819672,0.8418287937743191,692685667257.1392,5481602198.980354
SEC5E2FCDD9,WAAREEENER,WAAREE ENERGIES LIMITED,0.0197982093465519,0.8099056603773584,872676634168.4753,3060762629.659045
SEC9BFC6369,MARICO,Marico Limited,0.0188589092234991,0.8161111111111111,1061839224929.95,1345999925.6837585
SECF5E25039,CUPID,Cupid Limited,0.0186212549529847,0.8644444444444446,214594396188.70544,2129550510.7044053
SEC40D715C2,HINDCOPPER,Hindustan Copper Limited,0.0184223106968242,0.8346303501945526,491635005865.7538,2373609351.892441
SECE6819099,ADANIENSOL,Adani Energy Solutions Limited,0.0182435733252108,0.8333333333333335,1792553899736.021,5095655373.06814
