Symbol,Volatility_252D,ATR_Pct
GTLINFRA,0.7485,0.0295
GTPL,0.477,0.0129
GUFICBIO,0.4738,0.0294
GUJALKALI,0.4389,0.0155
GUJAPOLLO,0.4967,0.0159
GUJGASLTD,0.3333,0.0179
GUJRAFFIA,0.5112,0.0186
GUJTHEM,0.5498,0.0171
GULFOILLUB,0.3521,0.0175
GULFPETRO,0.5232,0.0288
GULPOLY,0.4964,0.0236
GVKPIL,0.6732,0.0114
GVPIL,0.5389,0.0343
GVPTECH,0.4914,0.0114
GVT&D,0.472,0.0277
HAL,0.3764,0.0096
HALEOSLABS,0.5418,0.0214
HAPPSTMNDS,0.3575,0.0108
HAPPYFORGE,0.298,0.012
HARDWYN,0.5194,0.0112
HARIOMPIPE,0.4881,0.0326
HARRMALAYA,0.4788,0.0197
HARSHA,0.3609,0.017
HATHWAY,0.4706,0.0196
HATSUN,0.3763,0.0132
HAVELLS,0.2875,0.0151
HAVISHA,0.6013,0.014
HBLENGINE,0.5634,0.0178
HBSL,0.571,0.0121
HCC,0.6103,0.031
HCG,0.3463,0.0097
HCL-INSYS,0.4889,0.0269
HCLTECH,0.2781,0.0159
HDFCAMC,0.3151,0.0205
HDFCBANK,0.2574,0.009
HDFCLIFE,0.29,0.0138
HDIL,0.4635,0.0105
HEADSUP,0.5524,0.0207
HECPROJECT,0.5232,0.0218
HEG,0.5063,0.0143
HEIDELBERG,0.2938,0.0087
HEMIPROP,0.4668,0.0177
HERANBA,0.4138,0.0232
HERITGFOOD,0.4411,0.0117
HEROMOTOCO,0.2938,0.0115
HESTERBIO,0.429,0.0123
HEXATRADEX,0.4328,0.0129
HEXT,0.392,0.0135
HFCL,0.543,0.0344
HGINFRA,0.449,0.0175
HGM,0.5773,0.0323
HGS,0.4137,0.0164
HIGREEN,0.5908,0.03
HIKAL,0.4739,0.0252
HILTON,0.5662,0.0216
HIMATSEIDE,0.5331,0.0155
HINDALCO,0.3888,0.0155
HINDCOMPOS,0.4784,0.0131
HINDCON,0.5635,0.0165
HINDCOPPER,0.5393,0.0162
HINDOILEXP,0.5114,0.0261
HINDPETRO,0.38,0.0184
HINDUNILVR,0.2319,0.0122
HINDWAREAP,0.5003,0.0312
HINDZINC,0.3939,0.0167
HIRECT,0.5819,0.0206
HISARMETAL,0.5632,0.0179
HITECH,0.4929,0.0247
HITECHCORP,0.5528,0.0323
HITECHGEAR,0.5161,0.0106
HLEGLAS,0.4756,0.0317
HLVLTD,0.5562,0.0129
HMAAGRO,0.3959,0.0159
HMT,0.4263,0.018
HMVL,0.4431,0.0313
HNDFDS,0.3903,0.0131
HOACFOODS,0.5596,0.0262
HOLMARC,0.6608,0.0293
HOMEFIRST,0.3848,0.0216
HOMESFY,0.5573,0.0183
HONASA,0.4694,0.0134
HONAUT,0.3197,0.013
HPAL,0.3968,0.0156
HPIL,0.4618,0.0114
HPL,0.5598,0.0322
HRHNEXT,0.6115,0.0225
HSCL,0.484,0.0204
HTMEDIA,0.4992,0.0111
HUBTOWN,0.5534,0.0203
HUDCO,0.4624,0.01
HUHTAMAKI,0.3858,0.0183
HYBRIDFIN,0.5682,0.0112
HYUNDAI,0.2964,0.014
IBLFL,0.4502,0.0042
IBULLSLTD,0.6085,0.0263
ICDSLTD,0.5112,0.0243
ICEMAKE,0.5309,0.0183
ICICIBANK,0.293,0.0114
ICICIGI,0.2838,0.0151
ICICIPRULI,0.3338,0.0154
ICIL,0.5743,0.0255
ICRA,0.2982,0.0083
IDBI,0.4865,0.0163
IDEA,0.7174,0.0184
IDEAFORGE,0.5179,0.0287
IDFCFIRSTB,0.3803,0.0112
IEML,0.6851,0.0465
IEX,0.4032,0.0136
IFBAGRO,0.5119,0.0194
IFBIND,0.4965,0.022
IFCI,0.6143,0.0522
IFGLEXPOR,0.6909,0.0264
IGARASHI,0.505,0.0123
IGIL,0.4356,0.0133
IGL,0.341,0.0125
IGPL,0.4566,0.019
IIFL,0.4975,0.0263
IIFLCAPS,0.5433,0.0048
IITL,0.5129,0.0235
IKIO,0.4275,0.0178
IKS,0.4101,0.0135
IL&FSENGG,0.4782,0.0218
IL&FSTRANS,0.4821,0.0156
IMAGICAA,3.0,0.0139
IMFA,0.4881,0.0232
IMPAL,0.3184,0.0172
IMPEXFERRO,0.6272,0.0326
INCREDIBLE,0.5654,0.011
INDBANK,0.6063,0.0082
INDGN,0.3609,0.0109
INDHOTEL,0.3741,0.013
INDIACEM,0.4395,0.0121
INDIAGLYCO,0.4844,0.012
INDIAMART,0.5918,0.0088
INDIANB,0.4297,0.0159
INDIANCARD,0.4549,0.0218
INDIANHUME,0.4748,0.0237
INDIASHLTR,0.3274,0.0185
INDIFRA,0.5158,0.0073
INDIGO,0.357,0.0167
INDIGOPNTS,0.3045,0.0169
INDIGRID,0.1261,0.0024
INDNIPPON,0.4233,0.0247
INDOAMIN,0.561,0.0239
INDOBORAX,0.4651,0.0161
INDOCO,0.4485,0.0321
INDOFARM,0.5409,0.0208
INDORAMA,0.5271,0.0243
INDOSTAR,0.4656,0.0236
INDOTECH,0.5711,0.0225
INDOTHAI,0.5301,0.0241
INDOUS,0.5904,0.014
INDOWIND,0.5617,0.0129
INDRAMEDCO,0.4811,0.0171
INDSWFTLAB,0.5355,0.0268
INDTERRAIN,0.5343,0.0193
INDUSINDBK,0.4741,0.0151
INDUSTOWER,0.4242,0.0092
INFINIUM,0.4461,0.0187
INFOBEAN,0.5506,0.0331
INFOLLION,0.5352,0.0224
INFOMEDIA,0.4856,0.0216
INFY,0.2785,0.0178
INGERRAND,0.3461,0.0275
INM,0.6144,0.0309
INNOVACAP,0.406,0.0132
INNOVANA,0.5484,0.0283
INOXGREEN,0.5344,0.0189
INOXINDIA,0.3673,0.0297
INOXWIND,0.5572,0.0296
INSECTICID,0.4076,0.0134
INSPIRE,0.6108,0.0125
INSPIRISYS,0.5424,0.0178
INTELLECT,0.4896,0.0168
INTENTECH,0.6106,0.0257
INTERARCH,0.498,0.0211
INTLCONV,0.4541,0.0166
INVENTURE,0.5694,0.0105
IOB,0.4943,0.0106
IOC,0.2944,0.0149
IOLCP,0.5004,0.0282
IONEXCHANG,0.4164,0.0238
IPCALAB,0.3133,0.0155
IPL,0.4155,0.0159
IPSL,0.7155,0.0272
IRB,0.4943,0.0141
IRBINVIT,0.2139,0.0028
IRCON,0.4809,0.0155
IRCTC,0.37,0.0112
IREDA,0.516,0.0181
IRFC,0.4022,0.0112
IRIS,0.5169,0.021
IRISDOREME,0.5023,0.013
IRMENERGY,0.4852,0.0228
ISFT,0.524,0.01
ISGEC,0.4353,0.0197
ISHAN,0.639,0.0
ISHANCH,0.4964,0.0168
IT,0.2081,0.0146
ITALIANE,0.6128,0.0191
ITC,0.248,0.0105
ITCHOTELS,0.3364,0.0117
ITDC,0.5191,0.0366
ITI,0.5446,0.0115
IVC,0.5108,0.014
IVP,0.5602,0.0176
IXIGO,0.5242,0.0277
IZMO,0.5941,0.0387
J&KBANK,0.4951,0.0169
JAGRAN,0.3695,0.029
JAGSNPHARM,0.5742,0.0113
JAIBALAJI,0.5194,0.018
JAICORPLTD,0.5606,0.0191
JAINAM,0.5219,0.0145
JAIPURKURT,0.565,0.0217
JAKHARIA,0.3845,0.0
JALAN,0.5309,0.0121
JAMNAAUTO,0.4221,0.0231
JASH,0.4606,0.0297
JAYAGROGN,0.4769,0.0199
JAYBARMARU,0.5083,0.0422
JAYNECOIND,0.5499,0.0242
JAYSREETEA,0.4361,0.0156
JBCHEPHARM,0.3229,0.0097
JBMA,0.5274,0.0248
JETFREIGHT,0.5122,0.0234
JETKNIT,0.292,0.0
JFLLIFE,0.6501,0.0291
JGCHEM,0.5376,0.0158
JHS,0.5512,0.0267
JINDALPHOT,0.6085,0.0167
JINDALPOLY,0.4834,0.0239
JINDALSAW,0.4992,0.028
JINDALSTEL,0.4358,0.0097
JINDRILL,0.5441,0.0143
JINDWORLD,0.5574,0.0276
JIOFIN,0.3334,0.0148
JISLDVREQS,0.5196,0.0184
JISLJALEQS,0.5457,0.0238
JITFINFRA,0.5549,0.0144
JIWANRAM,0.5504,0.0162
JKCEMENT,0.327,0.0216
JKIL,0.4302,0.0143
JKLAKSHMI,0.3701,0.0096
JKPAPER,0.4413,0.0137
JKTYRE,0.4514,0.0222
JLHL,0.2894,0.007
JMA,0.474,0.0094
JMFINANCIL,0.4512,0.0285
JNKINDIA,0.5295,0.0419
JOCIL,0.4798,0.0179
JPOLYINVST,0.5285,0.0201
JPPOWER,0.6041,0.0267
JSFB,0.4718,0.0147
JSL,0.4751,0.0165
JSLL,0.703,0.0601
JSWDULUX,0.2844,0.0159
JSWENERGY,0.4491,0.0121
JSWHL,0.4387,0.0163
JSWINFRA,0.3781,0.0186
JSWSTEEL,0.3365,0.0099
JTEKTINDIA,0.4755,0.0189
JTLIND,0.4979,0.0245
JUBLCPL,0.538,0.0203
JUBLFOOD,0.3489,0.0105
JUBLINGREA,0.4471,0.0133
JUBLPHARMA,0.4295,0.0112
JUNIPER,0.4074,0.0151
JUSTDIAL,0.4684,0.0096
JWL,0.5686,0.0186
JYOTHYLAB,0.3379,0.0076
JYOTICNC,0.5171,0.03
JYOTISTRUC,0.5582,0.0304
K2INFRA,0.6456,0.0456
KABRAEXTRU,0.5633,0.0214
KAJARIACER,0.3224,0.0121
KAKATCEM,0.4444,0.0224
KALAMANDIR,0.4503,0.016
KALYANIFRG,0.4274,0.0112
KALYANKJIL,0.4459,0.0283
KAMATHOTEL,0.5648,0.0239
KAMDHENU,0.523,0.0321
KAMOPAINTS,0.5507,0.0105
KANANIIND,0.5457,0.0092
KANDARP,0.637,0.0378
KANORICHEM,0.5065,0.024
KANPRPLA,0.5031,0.0194
KANSAINER,0.2978,0.0054
KAPSTON,0.4802,0.0111
KARMAENG,0.559,0.0191
KARNIKA,0.7392,0.0173
KARURVYSYA,0.4101,0.0174
KAUSHALYA,0.6507,0.0105
KAVDEFENCE,0.4791,0.0214
KAYA,0.5223,0.0284
KAYNES,0.499,0.0154
KCEIL,0.6217,0.0174
KCK,0.7585,0.0202
KCP,0.4471,0.0176
KCPSUGIND,0.5275,0.0243
KDDL,0.5332,0.0238
KDL,0.7731,0.0378
KEC,0.3988,0.0137
KECL,0.5516,0.0165
KEEPLEARN,0.5065,0.0126
KEI,0.4192,0.0178
KEL,0.6476,0.0206
KELLTONTEC,0.5707,0.0213
KENNAMET,0.3922,0.0187
KERNEX,0.5344,0.0332
KESORAMIND,0.6332,0.0283
KEYFINSERV,0.688,0.0162
KFINTECH,0.439,0.0187
KHADIM,0.5312,0.0166
KHAICHEM,0.5482,0.0118
KHAITANLTD,0.4881,0.0116
KHANDSE,0.5562,0.0222
KHFM,0.5255,0.0414
KICL,0.3929,0.0111
KILITCH,0.4882,0.0263
KIMS,0.316,0.0181
KINGFA,0.5155,0.0132
KIOCL,0.5911,0.0258
KIRIINDUS,0.495,0.0166
KIRLFER,0.4521,0.0118
KIRLOSBROS,0.5245,0.0163
KIRLOSENG,0.4406,0.0216
KIRLOSIND,0.4337,0.0146
KIRLPNU,0.4343,0.0168
KITEX,0.5375,0.0191
KKCL,0.3692,0.0141
KKVAPOW,0.3655,0.0
KLL,0.6092,0.0259
KMEW,0.5716,0.0341
KMSUGAR,0.5411,0.0103
KNAGRI,0.5362,0.0181
KNRCON,0.3798,0.021
KODYTECH,0.729,0.0232
KOHINOOR,0.4779,0.0142
KOKUYOCMLN,0.4471,0.0181
KOLTEPATIL,0.4686,0.0125
KONSTELEC,0.6206,0.0269
KONTOR,0.6234,0.0499
KOPRAN,0.5535,0.0229
KORE,0.6571,0.0429
KOTAKBANK,0.2805,0.0093
KOTARISUG,0.5394,0.0136
KOTHARIPET,0.5606,0.0138
KOTHARIPRO,0.5771,0.0137
KOTYARK,0.6922,0.0084
KOVAI,0.9821,0.0092
KPEL,0.5036,0.019
KPIGREEN,0.5429,0.0173
KPIL,0.3731,0.0157
KPITTECH,0.4473,0.0138
KPRMILL,0.416,0.02
KRBL,0.4696,0.0178
KREBSBIO,0.5984,0.0185
KRIDHANINF,0.5952,0.0174
KRISHANA,0.4306,0.0111
KRISHCA,0.6064,0.0218
KRISHIVAL,0.4325,0.004
KRISHNADEF,0.598,0.026
KRITI,3.0,0.0173
KRITIKA,0.4384,0.0079
KRITINUT,0.5397,0.0158
KRN,0.5737,0.0319
KRONOX,0.4464,0.0252
KROSS,0.5092,0.0168
KRSNAA,0.3732,0.0108
KRYSTAL,0.4778,0.0039
KSB,0.3644,0.0167
KSCL,0.3883,0.0108
KSHITIJPOL,0.5486,0.0445
KSL,0.4305,0.0167
KSOLVES,0.5015,0.0182
KTKBANK,0.3904,0.0167
KUANTUM,0.4985,0.011
LAGNAM,0.5281,0.018
LAKPRE,0.4881,0.0241
LAL,0.5058,0.02
LALPATHLAB,0.3412,0.0098
LAMBODHARA,0.6203,0.0307
LANCORHOL,0.5775,0.0232
LANDMARK,0.4123,0.0152
LANDSMILL,0.7658,0.0105
LAOPALA,0.3982,0.0169
LASA,0.5917,0.019
LATENTVIEW,0.4202,0.0234
LATTEYS,0.6766,0.0172
LAURUSLABS,0.377,0.0124
LAXMICOT,0.6645,0.0219
LAXMIDENTL,0.5533,0.0193
LCCINFOTEC,3.0,0.0348
LEMERITE,0.4717,0.0429
LEMONTREE,0.4404,0.017
LEXUS,0.5804,0.0355
LFIC,0.6245,0.0163
LGBBROSLTD,0.4288,0.0133
LGHL,0.4074,0.0125
LIBAS,0.4938,0.0142
LIBERTSHOE,0.5005,0.0121
LICHSGFIN,0.3764,0.0148
LICI,0.2879,0.0112
LICNFNHGP,0.2489,0.0072
LIKHITHA,0.4735,0.0209
LINC,0.483,0.0109
LINCOLN,0.4296,0.0281
LINDEINDIA,0.3913,0.0127
LLOYDS,0.6477,0.011
LLOYDSENGG,0.6902,0.0334
LLOYDSENT,0.578,0.0274
LLOYDSME,0.402,0.0138
LMW,0.3386,0.0072
LODHA,0.4537,0.0201
LOKESHMACH,0.6057,0.015
LORDSCHLO,0.516,0.0204
LOTUSEYE,0.5296,0.0287
LOVABLE,0.5138,0.0139
LOYALTEX,0.4984,0.0077
LPDC,0.6024,0.0199
LRRPL,0.5995,0.0224
LT,0.2807,0.0122
LTF,0.4091,0.022
LTFOODS,0.4811,0.0159
LTM,0.34,0.0197
LTTS,0.3644,0.024
LUMAXIND,0.4162,0.0168
LUMAXTECH,0.4909,0.0217
LUPIN,0.2966,0.0056
LUXIND,0.4119,0.0173
LXCHEM,0.4192,0.0247
LYKALABS,0.5227,0.0281
LYPSAGEMS,0.5895,0.0073
M&M,0.3294,0.0128
M&MFIN,0.4287,0.0154
MAANALU,0.6197,0.02
MACPOWER,0.5476,0.0305
MADHAV,0.5285,0.0168
MADHAVBAUG,0.5225,0.0225
MADHUCON,0.5195,0.0302
MADHUSUDAN,0.5471,0.0161
MADRASFERT,0.5522,0.0191
MAFANG,0.262,0.0186
MAGADSUGAR,0.5276,0.0098
MAGNUM,0.5713,0.0103
MAGSON,0.52,0.0112
MAHABANK,0.4539,0.0162
MAHAPEXLTD,0.5503,0.0146
MAHASTEEL,0.4699,0.0142
MAHEPC,0.4549,0.0182
MAHESHWARI,0.4827,0.0266
MAHICKRA,0.4254,0.0188
MAHKTECH,0.3609,0.0124
MAHLIFE,0.376,0.0138
MAHLOG,0.401,0.0149
MAHSCOOTER,0.359,0.0128
MAHSEAMLES,0.3873,0.0128
MAITHANALL,0.4457,0.0239
MAITREYA,0.5415,0.0161
MAKEINDIA,0.1644,0.0084
MAKS,0.491,0.0011
MAL,0.5311,0.0289
MALLCOM,0.4452,0.0226
MALUPAPER,0.5469,0.011
MAMATA,0.5341,0.0226
MANAKALUCO,0.6448,0.0333
MANAKCOAT,0.559,0.0165
MANAKSIA,0.4828,0.0145
MANAKSTEEL,0.5758,0.0107
MANALIPETC,0.4963,0.0246
MANAPPURAM,0.4297,0.0201
MANAV,0.361,0.0163
MANBA,0.3786,0.0214
MANCREDIT,0.3159,0.0206
MANDEEP,0.4355,0.0226
MANGALAM,0.5032,0.0086
MANGLMCEM,0.4014,0.0068
MANINDS,0.5539,0.0357
MANINFRA,0.4754,0.0221
MANKIND,0.3078,0.0101
MANOMAY,0.4827,0.02
MANORAMA,0.4741,0.0157
MANORG,0.5136,0.0307
MANUGRAPH,0.5947,0.0346
MANYAVAR,0.3216,0.0127
MAPMYINDIA,0.3968,0.0197
MARALOVER,0.5299,0.0144
MARATHON,0.5394,0.0224
MARCO,0.6079,0.0168
MARICO,0.2407,0.0075
MARINE,0.5974,0.0357
MARINETRAN,0.6057,0.0064
MARKSANS,0.5063,0.0175
MARUTI,0.2862,0.0097
MASFIN,0.3975,0.0165
MASKINVEST,0.5848,0.0171
MASON,0.6406,0.0487
MASTEK,0.4552,0.0159
MASTER,0.4374,0.0037
MASTERTR,0.5896,0.0331
MATRIMONY,0.409,0.0109
MAWANASUG,0.5127,0.0213
MAXESTATES,0.4504,0.0146
MAXHEALTH,0.3708,0.0117
MAXIND,0.4172,0.0237
MAXPOSURE,0.631,0.0285
MAYURUNIQ,0.4215,0.0209
MAZDA,0.4724,0.0215
MAZDOCK,0.5067,0.0111
MBAPL,0.6192,0.0091
MBLINFRA,0.582,0.0395
MCL,0.5684,0.0204
MCLEODRUSS,0.5916,0.0185
MCLOUD,0.7031,0.0336
MCON,0.6159,0.0383
MCX,0.4054,0.0185
MDL,0.5218,0.0417
MEDANTA,0.3264,0.0135
MEDIASSIST,0.403,0.0127
MEDICAMEQ,0.5061,0.0321
MEDICO,0.5095,0.0149
MEDIORG,0.5771,0.0378
MEDPLUS,0.3341,0.0125
MEGAFLEX,0.5205,0.0036
MEGASTAR,0.4914,0.022
MEGATHERM,0.576,0.0415
MENONBE,0.4684,0.0295
MEP,0.5427,0.0107
METROBRAND,0.3479,0.0106
METROPOLIS,0.3744,0.0143
MFML,0.5332,0.0146
MFSL,0.3647,0.0152
MGEL,0.5323,0.0191
MGL,0.3531,0.0176
MHHL,0.613,0.0096
MHLXMIRU,0.6126,0.0144
MHRIL,0.3762,0.0192
MICEL,0.9999,0.0136
MICROPRO,0.5905,0.0215
MIDHANI,0.4461,0.0251
MILTON,0.3886,0.0062
MINDACORP,0.4378,0.013
MINDPOOL,0.3152,0.0
MINDSPACE,0.1596,0.0038
MINDTECK,0.615,0.0181
MIRCELECTR,0.5971,0.021
MIRZAINT,0.6496,0.0152
MITCON,0.4985,0.0197
MITTAL,0.5573,0.0143
MKPL,0.4334,0.0106
MMFL,0.4305,0.0137
MMP,0.5148,0.0197
MMTC,0.5563,0.0293
MNC,0.1678,0.0097
MOBIKWIK,0.5896,0.0095
MODEFENCE,0.287,0.0109
MODIRUBBER,0.4797,0.014
MODISONLTD,0.5212,0.04
MODTHREAD,0.5605,0.0217
MOHITIND,0.5355,0.023
MOIL,0.4231,0.0101
MOKSH,0.6802,0.0105
MOL,0.4471,0.0211
MOLDTECH,0.5499,0.0163
MOLDTKPAC,0.3677,0.0159
MONARCH,0.4971,0.0129
MONOPHARMA,0.5141,0.0278
MONTECARLO,0.4359,0.0148
MOREALTY,0.2722,0.0154
MOREPENLAB,0.5685,0.0343
MOS,0.8034,0.019
MOSCHIP,0.5562,0.0286
MOTHERSON,0.4373,0.017
MOTILALOFS,0.5274,0.0251
MOTISONS,0.5685,0.0415
MOTOGENFIN,0.5695,0.0237
MOXSH,0.6828,0.0186
MPHASIS,0.3458,0.0134
MPSLTD,0.492,0.0177
MPTODAY,0.4142,0.0039
MRF,0.2561,0.0075
MRPL,0.5133,0.027
MSCIINDIA,0.1807,0.0073
MSPL,0.4985,0.0114
MSTCLTD,0.5544,0.0499
MSUMI,0.2908,0.0157
MTARTECH,0.4482,0.0512
MTEDUCARE,0.5248,0.0289
MTNL,0.6045,0.0196
MUFIN,0.4966,0.0127
MUFTI,0.4668,0.0263
MUKANDLTD,0.4938,0.01
MUKKA,0.4261,0.0249
MUKTAARTS,0.5101,0.0201
MUNJALAU,0.4777,0.0294
MUNJALSHOW,0.3876,0.0127
MURUDCERA,0.5474,0.0178
MUTHOOTCAP,0.4367,0.0072
MUTHOOTFIN,0.3624,0.0196
MUTHOOTMF,0.3832,0.0212
MVGJL,0.5157,0.0133
MVKAGRO,0.5071,0.028
MWL,0.4225,0.0058
NACLIND,0.5245,0.0234
NAGAFERT,0.5099,0.0059
NAGREEKCAP,0.5666,0.0181
NAGREEKEXP,0.6235,0.0124
NAHARCAP,0.5193,0.0149
NAHARINDUS,0.4894,0.0127
NAHARPOLY,0.5828,0.0115
NAHARSPING,0.4909,0.0153
NAM-INDIA,0.3919,0.022
NAMAN,0.6071,0.0219
NARMADA,0.4421,0.0375
NATCAPSUQ,0.5238,0.0128
NATCOPHARM,0.353,0.0272
NATHBIOGEN,0.4379,0.0122
NATIONALUM,0.4477,0.0223
NAUKRI,0.3751,0.0104
NAVA,0.5219,0.0169
NAVINFLUOR,0.3722,0.0117
NAVKARCORP,0.5905,0.0207
NAVKARURB,0.5474,0.0342
NAVNETEDUL,0.3836,0.0116
NAZARA,0.4403,0.0161
NBCC,0.4864,0.0213
NBIFIN,0.4232,0.0146
NCC,0.4854,0.0101
NCLIND,0.383,0.0183
NDGL,0.5358,0.0168
NDL,0.5629,0.0165
NDLVENTURE,0.505,0.0111
NDRAUTO,0.5707,0.0169
NDTV,0.5717,0.0169
NECCLTD,0.617,0.0257
NECLIFE,0.6026,0.0134
NELCAST,0.5306,0.0147
NELCO,0.4931,0.0115
NEOGEN,0.4619,0.0166
NEPHROCARE,0.6253,0.0231
NESCO,0.3399,0.0149
NESTLEIND,0.2194,0.0099
NETWEB,0.5435,0.0464
NETWORK18,0.5193,0.0303
NEULANDLAB,0.5545,0.0098
NEWGEN,0.4904,0.0286
NEWJAISA,0.6662,0.0434
NEXTMEDIA,0.5612,0.0215
NFL,0.499,0.0145
NGIL,0.5479,0.0172
NGLFINE,0.5002,0.0348
NH,0.3388,0.0137
NHPC,0.3536,0.0187
NIACL,0.4873,0.0189
NIBE,0.5587,0.0366
NIBL,0.5659,0.0107
NIDAN,0.5568,0.0114
NIITLTD,0.6203,0.0554
NIITMTS,0.4033,0.0258
NILAINFRA,0.5775,0.0076
NILASPACES,0.5818,0.0176
NILKAMAL,0.3067,0.0106
NINSYS,0.4846,0.0139
NIPPOBATRY,0.4909,0.0183
NIRAJ,0.5177,0.0147
NIRAJISPAT,0.4817,0.0246
NIRMAN,0.6587,0.0331
NITCO,0.5173,0.0207
NITINSPIN,0.4556,0.0209
NITIRAJ,0.4708,0.0388
NIVABUPA,0.3825,0.0101
NKIND,0.5516,0.0164
NLCINDIA,0.4349,0.0168
NMDC,0.3892,0.0205
NOCIL,0.4248,0.0179
NOIDATOLL,0.5703,0.0381
NORBTEAEXP,0.4955,0.024
NORTHARC,0.4293,0.024
NOVAAGRI,0.5081,0.0172
NOVARTIND,0.437,0.0257
NPBET,0.2583,0.0095
NPST,0.6235,0.0502
NRAIL,0.4794,0.0094
NRBBEARING,0.454,0.0238
NRL,0.5565,0.0246
NSIL,0.4662,0.0083
NSLNISP,0.4305,0.0315
NTPC,0.2795,0.0122
NTPCGREEN,0.3482,0.0101
NUCLEUS,0.488,0.0291
NURECA,0.5337,0.0226
NUVAMA,0.4608,0.0146
NUVOCO,0.3149,0.0196
NXST,0.1729,0.0033
NYKAA,0.3795,0.0123
OAL,0.513,0.0219
OBCL,0.489,0.0225
OBEROIRLTY,0.3747,0.0165
OCCLLTD,0.5684,0.0378
ODIGMA,0.48,0.0277
OFSS,0.3454,0.016
OIL,0.4222,0.0162
OILCOUNTUB,0.5495,0.0176
OLAELEC,0.6604,0.0309
OLECTRA,0.5188,0.0255
OLIL,0.5804,0.0179
OMAXAUTO,0.5725,0.0305
OMAXE,0.4937,0.0142
OMFURN,0.5464,0.0223
OMINFRAL,0.5543,0.0145
ONDOOR,0.5784,0.0269
ONELIFECAP,0.5848,0.0269
ONEPOINT,0.5142,0.0218
ONESOURCE,0.4658,0.0147
ONGC,0.3664,0.0119
ONMOBILE,0.57,0.0131
ONWARDTEC,0.554,0.0139
OPTIEMUS,0.5811,0.0274
ORBTEXP,0.5707,0.045
ORCHASP,0.5932,0.0176
ORCHPHARMA,1.0209,0.0294
ORIANA,0.6407,0.0251
ORICONENT,0.513,0.0217
ORIENTALTL,0.5818,0.0114
ORIENTBELL,0.5256,0.0142
ORIENTCEM,0.438,0.0135
ORIENTCER,0.5264,0.0156
ORIENTELEC,0.3626,0.0157
ORIENTHOT,0.4732,0.0258
ORIENTLTD,0.5426,0.0192
ORIENTPPR,0.4853,0.0149
ORIENTTECH,0.6173,0.0168
ORISSAMINE,0.5207,0.0167
ORTEL,0.5689,0.0203
ORTINGLOBE,0.5829,0.039
OSIAHYPER,0.5868,0.0339
OSWALAGRO,0.6164,0.0155
OSWALGREEN,0.5827,0.0123
OSWALSEEDS,0.4854,0.0069
OWAIS,0.673,0.0371
PAGEIND,0.2798,0.012
PAISALO,0.5327,0.0207
PAKKA,0.5656,0.0179
PALASHSECU,0.551,0.0177
PALREDTEC,0.568,0.021
PANACEABIO,0.5557,0.0482
PANACHE,0.5698,0.0203
PANAMAPET,0.4885,0.0348
PANSARI,0.4751,0.0215
PAR,0.5312,0.0214
PARACABLES,0.5945,0.0451
PARADEEP,0.4495,0.0177
PARAGMILK,0.4976,0.0214
PARAGON,0.5388,0.0268
PARAS,0.5503,0.0365
PARASPETRO,3.0,0.0183
PARIN,0.3976,0.0066
PARKHOTELS,0.4072,0.0171
PARSVNATH,0.5851,0.0174
PARTYCRUS,0.5789,0.0138
PASHUPATI,0.4968,0.0089
PASUPTAC,0.5442,0.0348
PATANJALI,0.577,0.0088
PATELENG,0.5629,0.0239
PATINTLOG,0.5662,0.0172
PATTECH,0.5137,0.0012
PAVNAIND,0.5091,0.0164
PAYTM,0.5207,0.0208
PCBL,0.4444,0.0176
PCCL,0.4855,0.0328
PCJEWELLER,0.5659,0.0182
PDMJEPAPER,0.5102,0.0153
PDSL,0.4121,0.0185
PEARLPOLY,0.6167,0.0192
PENIND,0.5536,0.0224
PENINLAND,0.5836,0.0167
PENTAGON,0.5906,0.0186
PERSISTENT,0.3624,0.0185
PETRONET,0.2943,0.0128
PFC,0.3834,0.0144
PFIZER,0.2498,0.0086
PFOCUS,0.6118,0.0245
PFS,0.5078,0.0088
PGEL,0.5602,0.0269
PGHH,0.2188,0.0113
PGHL,0.2614,0.007
PGIL,0.5632,0.0172
PGINVIT,0.1233,0.0018
PHANTOMFX,0.5768,0.0207
PHOENIXLTD,0.3986,0.0127
PIDILITIND,0.2392,0.0094
PIGL,0.4755,0.0441
PIIND,0.312,0.0156
PILANIINVS,0.3818,0.0126
PILITA,0.5261,0.0142
PIONEEREMB,0.5057,0.0208
PITTIENG,0.4986,0.0164
PIXTRANS,0.4379,0.0107
PKTEA,0.4995,0.0151
PLADAINFO,0.5676,0.0334
PLASTIBLEN,0.4252,0.0124
PLATIND,0.5288,0.0171
PLAZACABLE,0.4497,0.0197
PNB,0.3823,0.0111
PNBHOUSING,0.4685,0.017
PNC,0.6083,0.0189
PNCINFRA,0.4164,0.013
PNGJL,0.3984,0.0142
POCL,1.8557,0.0204
PODDARMENT,0.4203,0.0203
POKARNA,0.5533,0.0187
POLICYBZR,0.4599,0.0175
POLYCAB,0.3626,0.0092
POLYMED,0.433,0.0225
POLYPLEX,0.4158,0.0111
POLYSIL,0.5091,0.0297
PONNIERODE,0.4798,0.0167
POONAWALLA,0.4768,0.0169
POWERGRID,0.2765,0.0091
POWERINDIA,0.44,0.022
POWERMECH,0.4686,0.0214
PPAP,0.4931,0.0237
PPL,0.4961,0.0324
PPLPHARMA,0.4047,0.0148
PRABHA,0.4661,0.0142
