Symbol,Volatility_252D,ATR_Pct
ASAL,0.5483,0.0154
ASALCBR,0.4388,0.0113
ASCOM,0.3809,0.0103
ASHAPURMIN,0.5708,0.0309
ASHIANA,0.4403,0.0164
ASHIMASYN,0.5959,0.0115
ASHOKA,0.4751,0.0217
ASHOKAMET,0.5246,0.0071
ASHOKLEY,0.402,0.0253
ASIANENE,0.5214,0.0197
ASIANHOTNR,0.4684,0.0109
ASIANPAINT,0.254,0.0074
ASIANTILES,0.4907,0.01
ASKAUTOLTD,0.361,0.0135
ASMS,0.989,0.0205
ASPINWALL,0.5311,0.015
ASPIRE,0.6174,0.024
ASTEC,0.4927,0.0203
ASTERDM,0.4026,0.0139
ASTRAL,0.3528,0.0119
ASTRAMICRO,0.4754,0.02
ASTRAZEN,0.3783,0.0108
ASTRON,0.48,0.0119
ATALREAL,0.5457,0.0421
ATAM,0.492,0.0112
ATGL,0.5569,0.0241
ATHERENERG,0.4673,0.0228
ATL,0.5004,0.0124
ATLANTAA,0.5706,0.0124
ATLASCYCLE,0.6093,0.0192
ATMASTCO,0.6355,0.0141
ATUL,0.2999,0.0097
ATULAUTO,0.4718,0.014
AUBANK,0.3923,0.0145
AURIGROW,0.5956,0.0321
AURIONPRO,0.5676,0.0307
AUROIMPEX,0.6417,0.0219
AUROPHARMA,0.3667,0.0084
AURUM,0.6336,0.0178
AUSOMENT,0.6089,0.0201
AUTOAXLES,0.4065,0.0162
AUTOIND,0.5408,0.0186
AVADHSUGAR,0.5032,0.0149
AVALON,0.4957,0.0319
AVANTEL,0.524,0.0239
AVANTIFEED,0.4406,0.0273
AVG,0.5248,0.0289
AVL,0.4084,0.0229
AVONMORE,0.5132,0.0218
AVPINFRA,0.6154,0.019
AVROIND,0.4965,0.0327
AVSL,0.2925,0.0
AVTNPL,0.4426,0.0207
AWFIS,0.4851,0.0182
AWHCL,0.4634,0.0137
AWL,0.4408,0.0098
AXISBANK,0.3412,0.0102
AXISCADES,0.5697,0.0306
AXITA,0.4536,0.0113
AYMSYNTEX,0.5329,0.0129
AZAD,0.4701,0.0202
BABAFP,0.5248,0.0308
BAFNAPH,0.4635,0.0546
BAGFILMS,0.5456,0.0099
BAHETI,0.5383,0.0092
BAIDFIN,0.4968,0.0125
BAJAJ-AUTO,0.27,0.0074
BAJAJCON,0.3875,0.0177
BAJAJELEC,0.368,0.0172
BAJAJFINSV,0.3354,0.0143
BAJAJHCARE,0.4874,0.0166
BAJAJHFL,0.3045,0.011
BAJAJHIND,0.5513,0.0195
BAJAJHLDNG,0.3421,0.0156
BAJAJINDEF,0.5934,0.0277
BAJEL,0.5441,0.021
BAJFINANCE,0.3631,0.0169
BALAJEE,0.443,0.0088
BALAJITELE,0.5352,0.0134
BALAMINES,0.4939,0.0376
BALAXI,0.5207,0.019
BALKRISHNA,0.5398,0.0106
BALKRISIND,0.3353,0.0227
BALMLAWRIE,0.3744,0.0127
BALPHARMA,0.53,0.0219
BALRAMCHIN,0.4248,0.0161
BALUFORGE,0.6024,0.026
BANARBEADS,0.5242,0.0138
BANARISUG,0.3487,0.0027
BANCOINDIA,0.5142,0.0218
BANDHANBNK,0.4748,0.018
BANG,0.5724,0.0277
BANKA,0.5238,0.0143
BANKBARODA,0.3922,0.0149
BANKINDIA,0.4235,0.0181
BANSALWIRE,0.3754,0.0222
BANSWRAS,0.4769,0.0216
BASF,0.3963,0.0157
BASILIC,0.5693,0.0196
BASML,0.5147,0.0227
BATAINDIA,0.2728,0.0111
BAWEJA,0.6509,0.0286
BAYERCROP,0.2832,0.0101
BBL,0.4577,0.0133
BBOX,0.517,0.0231
BBTC,0.4131,0.0133
BBTCL,0.4465,0.0287
BCG,0.7302,0.0373
BCLIND,0.5097,0.0213
BCONCEPTS,0.5177,0.0192
BDL,0.469,0.0162
BEACON,0.6501,0.0231
BEARDSELL,0.582,0.0331
BECTORFOOD,0.3842,0.0146
BEDMUTHA,0.5213,0.0172
BEL,0.3648,0.0076
BELRISE,0.4038,0.0204
BEML,0.4769,0.0122
BEPL,0.4597,0.0127
BERGEPAINT,0.2694,0.0147
BESTAGRO,0.5515,0.0205
BEWLTD,0.6728,0.0346
BFINVEST,0.4902,0.019
BFSI,0.164,0.0093
BFUTILITIE,0.5208,0.0287
BGRENERGY,0.6166,0.0228
BHAGCHEM,0.4307,0.0334
BHAGERIA,0.463,0.0387
BHAGYANGR,0.578,0.0406
BHANDARI,0.6002,0.0102
BHARATFORG,0.3694,0.0111
BHARATGEAR,0.5239,0.0272
BHARATRAS,0.4263,0.0151
BHARATSE,0.5893,0.0227
BHARATWIRE,0.5635,0.0262
BHARTIARTL,0.2685,0.0084
BHARTIHEXA,0.3838,0.0098
BHEL,0.472,0.0176
BIGBLOC,0.5477,0.0177
BIKAJI,0.3356,0.0117
BIL,0.5254,0.0217
BIOCON,0.3262,0.008
BIOFILCHEM,0.586,0.013
BIRDYS,0.4753,0.0107
BIRET,0.1755,0.0009
BIRLACABLE,0.5719,0.0435
BIRLACORPN,0.3927,0.012
BIRLAMONEY,0.5097,0.0194
BIRLANU,0.42,0.0221
BLACKBUCK,0.5216,0.0119
BLAL,0.4104,0.0075
BLBLIMITED,0.6054,0.0143
BLISSGVS,0.4994,0.0294
BLKASHYAP,0.5251,0.0143
BLS,0.5515,0.0143
BLSE,0.4625,0.0115
BLUECHIP,1.1637,0.0109
BLUECOAST,0.3872,0.019
BLUEDART,0.3342,0.0093
BLUEJET,0.4779,0.0251
BLUEPEBBLE,0.6446,0.0389
BLUESTARCO,0.3445,0.0157
BLUSPRING,0.5333,0.0457
BMETRICS,0.6268,0.0105
BODALCHEM,0.4562,0.0189
BOHRAIND,0.5362,0.0335
BOMDYEING,0.507,0.0177
BORANA,0.3976,0.0171
BOROLTD,0.4392,0.0091
BORORENEW,0.5296,0.0246
BOROSCI,0.4636,0.0081
BOSCH-HCIL,0.3962,0.0109
BOSCHLTD,0.3059,0.0122
BPCL,0.3357,0.0147
BPL,0.5749,0.0141
BRIGADE,0.4088,0.0133
BRITANNIA,0.2329,0.0086
BRNL,0.5402,0.0117
BROOKS,0.5965,0.0222
BSE,0.4861,0.019
BSHSL,0.496,0.0149
BSL,0.5553,0.0123
BSOFT,0.4335,0.019
BTML,0.5561,0.0191
BUTTERFLY,0.4775,0.0099
BVCL,0.4974,0.0158
BYKE,0.5717,0.021
CADSYS,0.54,0.0
CALSOFT,0.6111,0.035
CAMLINFINE,0.5169,0.0388
CAMPUS,0.3506,0.0119
CAMS,0.35,0.0175
CANARYS,0.5859,0.0328
CANBK,0.4033,0.0166
CANFINHOME,0.3679,0.009
CANTABIL,0.4359,0.013
CAPACITE,0.4944,0.0224
CAPITALSFB,0.2923,0.0145
CAPLIPOINT,0.4478,0.0181
CAPTRUST,0.6255,0.0272
CARBORUNIV,0.35,0.0136
CARERATING,0.4069,0.0116
