Factor,Exposure,Marginal_Risk,Component_Risk,Risk_Contribution_Pct
PC_1,0.019140349000442765,1.4670281062458264,0.028079429947003746,83.49446919789378
PC_2,0.018145033361719857,0.09635770853975834,0.0017484138361127932,5.19892624102464
PC_3,0.01826481039845411,0.07145846264351095,0.0013051752715487433,3.8809518823514257
PC_10,-0.02301977946035785,-0.0529350108882381,0.0012185522763788826,3.623377529321834
PC_7,0.019969933847643933,0.03182708738880012,0.0006355848297175209,1.889917925244803
PC_11,0.0059687729247118555,0.020673672164840277,0.0001233964546718678,0.36692060711969504
PC_5,0.008849611982427577,0.011200061598319544,9.911619932441559e-05,0.29472302205293816
PC_20,-0.004943201899347795,0.013550540629652774,-6.698305817768906e-05,0.19917480156660247
PC_17,-0.006567481117090303,0.009981590056698991,-6.555390421590694e-05,0.1949251977937952
PC_6,0.005847729100586529,0.008786500567865993,5.138107506303003e-05,0.15278214683495037
PC_9,0.0070284703628580095,0.006588609506344097,4.630784664778403e-05,0.13769685078548993
PC_12,-0.0026915163284528974,-0.011266787824221757,3.032474339810715e-05,0.09017093147425043
PC_13,-0.002431022301246824,0.012135329323454312,-2.9501256218291966e-05,0.08772228400883861
PC_16,-0.00843296759303763,0.003375560342536721,-2.846599097695517e-05,0.08464391233364481
PC_8,0.003419615830479774,-0.007058709190127365,-2.41380736893126e-05,0.07177480646696165
PC_4,-0.00202680299771981,0.010893939762159584,-2.2079869766924078e-05,0.0656547162683645
PC_18,0.001043799386042912,0.01676191433788994,1.7496075894793403e-05,0.052024758787445356
PC_15,0.001017718884716653,0.016436371993480026,1.6727606173992523e-05,0.04973970629335903
PC_14,0.003263830904149898,-0.003982582145446716,-1.2998474684624593e-05,0.038651096059405525
PC_19,0.0009251161650995836,0.009361636792744224,8.660601528758702e-06,0.025752386317776224
