Metric,Value
Engine,COVARIANCE_MATRIX_ENGINE
Version,2.0.0
Run_Time,2026-07-25 12:35:58.529771
Trading_Days,1599
Securities,2262
Density,0.8688647690394472
Missing_Cells,474308
Min_Eigenvalue,
Condition_Number,
Shrinkage_Intensity,
Min_Repaired_Eigenvalue,
Portfolio_Volatility,
Effective_Risk_Bets,inf
Final_Min_Eigenvalue,
