Date,Portfolio_Return,Portfolio_Value,Drawdown
2021-06-14,-0.00362720414259671,996372.7958574032,0.0
2021-06-15,-0.001731703263485003,994647.3738351692,-0.0017317032634850404
2021-06-16,-0.01121080822100797,983496.5728795739,-0.012923097691310392
2021-06-17,-0.009892085173498802,973767.7410128049,-0.02268734648174142
2021-06-18,-0.010294885173512782,963742.9139334073,-0.03274866802833276
2021-06-21,0.012286063608672189,975583.5206764002,-0.020864956638156018
2021-06-22,0.005807466658376751,981249.1894451901,-0.015178662519783948
2021-06-23,-0.006031852266080186,975330.4392982458,-0.021118959335948095
2021-06-24,-0.0035405852944528715,971877.1986876341,-0.024584771153542073
2021-06-25,0.008942187097317115,980567.9064339155,-0.01586242567962448
2021-06-28,0.0021292321780461247,982655.763173054,-0.013766968288757231
2021-06-29,-0.0033357815356526753,979377.8382223585,-0.01705682622579041
2021-06-30,0.0016942064793483967,981037.106501605,-0.015391517531950893
2021-07-01,-0.001158122745644584,979900.9451142442,-0.01653181501105172
2021-07-02,0.0044028530678565875,984215.304996636,-0.012201749095633763
2021-07-05,0.00936337062201184,993430.8776691759,-0.0029526279726412863
2021-07-06,-0.0028115096090875944,990637.8372106446,-0.005755836239811685
2021-07-07,0.006922559071645517,997495.5861573424,0.0
2021-07-08,-0.004060700542608168,993445.0552893841,-0.004060700542608098
2021-07-09,0.005542925430297609,998951.6471499511,0.0
2021-07-12,0.004247291603754587,1003194.4860934479,0.0
2021-07-13,0.0035972524348136517,1006803.2299011392,0.0
2021-07-14,-0.00256626677113216,1004219.5042271754,-0.002566266771132142
2021-07-15,0.0007411774993724463,1004963.8091281394,-0.0018269913309478802
2021-07-16,0.006330409918863061,1011325.6419935426,0.0
2021-07-19,-0.0015783639169104546,1009729.4020919736,-0.0015783639169105745
2021-07-20,-0.011566521882371589,998050.3448674027,-0.013126629618498864
2021-07-22,0.007276849815491209,1005313.0073353021,-0.0059453003153250306
2021-07-23,-0.0023489155783074428,1002951.6119512971,-0.008280250885103979
2021-07-26,0.003831705938038638,1006794.6275983764,-0.004480272433550314
2021-07-27,-0.001816408152632709,1004965.8776287797,-0.006288542582808754
2021-07-28,-0.0007559128566622536,1004206.2110013734,-0.007039701849282931
2021-07-29,0.008442813891425184,1012684.5371494712,0.0
