Date,Portfolio_Return,Portfolio_Value,Drawdown
2020-01-02 00:00:00+05:30,0.019982176004346444,1019982.1760043463,0.0
2020-01-03 00:00:00+05:30,-0.005156541684273554,1014722.595396564,-0.005156541684273486
2020-01-06 00:00:00+05:30,-0.0190195907898256,995422.9868669315,-0.024078057161373567
2020-01-07 00:00:00+05:30,0.006069300083421007,1001464.5076841624,-0.018154894032290536
2020-01-08 00:00:00+05:30,0.0012805583872482038,1002746.9414590087,-0.016897584046864922
2020-01-09 00:00:00+05:30,0.01744893481746178,1020243.8074789362,0.0
2020-01-10 00:00:00+05:30,0.0027325913068026865,1023031.7168380723,0.0
2020-01-13 00:00:00+05:30,0.005623726432798384,1028784.9673456455,0.0
2020-01-14 00:00:00+05:30,0.0036411399323181054,1032530.9173720164,0.0
2020-01-15 00:00:00+05:30,0.003494702572747142,1036139.3058253974,0.0
2020-01-16 00:00:00+05:30,0.004298873790986855,1040593.5379310214,0.0
2020-01-17 00:00:00+05:30,-0.0038937962817157494,1036541.6786822481,-0.0038937962817158223
2020-01-20 00:00:00+05:30,-0.0038523432701989477,1032548.564322096,-0.007731139312013302
2020-01-21 00:00:00+05:30,-0.0066316509643563355,1025701.0626397645,-0.014311520058895577
2020-01-22 00:00:00+05:30,-0.004299734905656153,1021290.8199779636,-0.01854971922220161
2020-01-23 00:00:00+05:30,0.010263867858687091,1031773.2139995075,-0.00847624323042706
2020-01-24 00:00:00+05:30,0.007534509519966678,1039547.1191028333,-0.0010055980457736036
2020-01-27 00:00:00+05:30,-0.007220096973583519,1032041.4880943017,-0.0082184345039501
2020-01-28 00:00:00+05:30,-0.00832762697929963,1023447.0315542909,-0.016477621426347122
2020-01-29 00:00:00+05:30,0.008593804956621424,1032242.3357269018,-0.00802542193441258
2020-01-30 00:00:00+05:30,-0.008863514191829522,1023093.0411347792,-0.01681780268503097
2020-01-31 00:00:00+05:30,-0.009563911914681271,1013308.2694088427,-0.026220870616234238
2020-02-03 00:00:00+05:30,-0.01645005581431625,996639.2918199591,-0.042239591645413466
2020-02-04 00:00:00+05:30,0.01739560057172615,1013976.4308545472,-0.025578774138263594
2020-02-05 00:00:00+05:30,0.010389467182796756,1024511.1057070397,-0.015455056789952626
2020-02-06 00:00:00+05:30,0.007531597125242125,1032227.3106055615,-0.008039860926000175
2020-02-07 00:00:00+05:30,0.002561616428673114,1034871.4810425336,-0.005498839537159461
2020-02-10 00:00:00+05:30,-0.014890905821039508,1019461.3072814496,-0.020307862656526177
2020-02-11 00:00:00+05:30,0.0005592435018052229,1020031.4343928884,-0.019759976194947293
2020-02-12 00:00:00+05:30,-0.004318517433380115,1015626.410860867,-0.023993159826646404
