Date,Portfolio_Return,Portfolio_Value,Drawdown
2021-06-14,-0.005953980593545982,994046.0194064539,0.0
2021-06-15,-0.001607198818660986,992448.3898183693,-0.0016071988186608932
2021-06-16,-0.025702019112904373,966940.4623346863,-0.02726790967680992
2021-06-17,-0.0218512223205209,945811.6313215038,-0.048523294840767006
2021-06-18,-0.018058270622287192,928731.9089253932,-0.06570531867333451
2021-06-21,0.021330875881506506,948542.5740018755,-0.04577599478920369
2021-06-22,0.011905935906223797,959835.8610922663,-0.03441506494298385
2021-06-23,-0.01238664582441585,947946.7142313431,-0.0463754235469267
2021-06-24,-0.005943692324479017,942312.4106219512,-0.05204347462242531
2021-06-25,0.022627096697618598,963634.2046564602,-0.030593970657568414
2021-06-28,0.002586374031614064,966126.5231393587,-0.028086724077187042
2021-06-29,-0.006833699549553669,959524.3047533694,-0.034728487393066
2021-06-30,0.001032402003206723,960514.9195677222,-0.03373193914981232
2021-07-01,0.001449943941830387,961907.6123563871,-0.03233090462879851
2021-07-02,0.005864576999783847,967548.7936157293,-0.026655934708682993
2021-07-05,0.0190959236767476,986025.0315321445,-0.00806903072666465
2021-07-06,-0.005402663822223709,980697.8697664788,-0.013428100288501055
2021-07-07,0.020113287411809965,1000422.9278852417,0.0
2021-07-08,-0.009953729013036492,990464.9891626434,-0.009953729013036483
2021-07-09,0.013057640108498606,1003398.1245311971,0.0
2021-07-12,0.005400309205972718,1008816.7846603587,0.0
2021-07-13,0.007556462262461457,1016439.8706233824,0.0
2021-07-14,-0.005536670185768516,1010812.1782960756,-0.005536670185768422
2021-07-15,0.0004032505900792174,1011219.7889034327,-0.005135652261208823
2021-07-16,0.01290898691712996,1024273.6119287299,0.0
2021-07-19,-0.006188583044453242,1017934.809621067,-0.006188583044453133
2021-07-20,-0.02038909737467116,997180.0376666357,-0.026451500796819682
2021-07-22,0.02040029158081748,1017522.8011936055,-0.006590827545007727
2021-07-23,-0.003951181211669019,1013502.3842190844,-0.01051596720271164
2021-07-26,0.002837363952050442,1016378.059349385,-0.007708440876923017
2021-07-27,-0.0018221470514242733,1014526.0690654092,-0.009516542015532203
2021-07-28,0.0007267717179519555,1015263.3979195309,-0.00879668665116995
2021-07-29,0.02172763141528518,1037322.6668189566,0.0
2021-07-30,-0.00037675109176501316,1036931.8543717199,-0.00037675109176515953
2021-08-02,0.009431966251275792,1046712.1606270269,0.0
2021-08-03,0.007440477083111008,1054500.1984707857,0.0
2021-08-04,-0.019827920071061586,1033591.6528205884,-0.0198279200710616
2021-08-05,-0.002979478701305504,1030512.0885051622,-0.022748321906824298
2021-08-06,0.0020585231358031665,1032633.4214810751,-0.020736626717966833
2021-08-09,-0.014196258338395447,1017973.8906608686,-0.0346385025464071
2021-08-10,-0.038099364904322135,979189.7319375076,-0.07141816250247446
2021-08-11,0.003557147618446036,982672.8543604759,-0.06811505983068789
