Rebalance_Date,Portfolio_Size,Portfolio_Return
2021-01-29 00:00:00+05:30,50,0.09045608187884607
2021-02-26 00:00:00+05:30,50,0.026057746289886975
2021-03-31 00:00:00+05:30,50,0.097014270119404
2021-04-30 00:00:00+05:30,50,0.06156108685464732
2021-05-31 00:00:00+05:30,50,0.10451051127211063
2021-06-30 00:00:00+05:30,50,0.11290681754174992
2021-07-30 00:00:00+05:30,50,-0.020094901704763093
2021-08-31 00:00:00+05:30,50,0.1083570086279298
2021-09-30 00:00:00+05:30,50,0.06865532842222619
2021-10-29 00:00:00+05:30,50,0.01946672794926422
2021-11-30 00:00:00+05:30,50,0.09239850246800059
2021-12-31 00:00:00+05:30,50,0.0018330725320244812
2022-01-31 00:00:00+05:30,50,-0.08451042947392913
2022-02-28 00:00:00+05:30,50,0.0971124468833116
2022-03-31 00:00:00+05:30,50,-0.011656286746019092
2022-04-29 00:00:00+05:30,50,-0.07940501914847763
2022-05-31 00:00:00+05:30,50,-0.043789155287200926
2022-06-30 00:00:00+05:30,50,0.08319314291601317
2022-07-29 00:00:00+05:30,50,0.09583791845455196
2022-08-30 00:00:00+05:30,50,0.022199934887966087
2022-09-30 00:00:00+05:30,50,0.058802587883703815
2022-10-31 00:00:00+05:30,50,0.017691767975794855
2022-11-30 00:00:00+05:30,50,-0.02759996130104862
2022-12-30 00:00:00+05:30,50,-0.01958964425401465
2023-01-31 00:00:00+05:30,50,0.00775715022750188
2023-02-28 00:00:00+05:30,50,0.0021314673655028864
2023-03-31 00:00:00+05:30,50,0.04353694040179015
2023-04-28 00:00:00+05:30,50,0.06621538415079692
2023-05-31 00:00:00+05:30,50,0.07059895808634067
2023-06-30 00:00:00+05:30,50,0.12206198641624096
2023-07-31 00:00:00+05:30,50,0.05514741023314749
2023-08-31 00:00:00+05:30,50,0.0369630557423334
2023-09-29 00:00:00+05:30,50,-0.014011919283563736
2023-10-31 00:00:00+05:30,50,0.10576249508083699
2023-11-30 00:00:00+05:30,50,0.0449473603520146
2023-12-29 00:00:00+05:30,50,0.11533640878538239
2024-01-31 00:00:00+05:30,50,0.0218832136941032
2024-02-29 00:00:00+05:30,50,-0.0374698836835064
2024-03-28 00:00:00+05:30,50,0.07188218682624588
2024-04-30 00:00:00+05:30,50,0.04904340048981088
2024-05-31 00:00:00+05:30,50,0.029525608351049847
2024-06-28 00:00:00+05:30,50,0.03382170226946855
2024-07-31 00:00:00+05:30,50,0.047390554553887895
2024-08-30 00:00:00+05:30,50,0.0042233900347328724
2024-09-30 00:00:00+05:30,50,-0.04652650424642751
2024-10-31 00:00:00+05:30,50,-0.022863355587304957
2024-11-29 00:00:00+05:30,50,-0.017415595223787373
2024-12-31 00:00:00+05:30,50,-0.15259276114530432
2025-01-31 00:00:00+05:30,50,-0.11017573150079596
2025-02-28 00:00:00+05:30,50,0.11285896436174707
2025-03-28 00:00:00+05:30,50,0.017576445338598826
2025-04-30 00:00:00+05:30,50,0.03163465002028343
2025-05-30 00:00:00+05:30,50,0.04435875800493605
2025-06-30 00:00:00+05:30,50,-0.0032313810507674607
2025-07-31 00:00:00+05:30,50,-0.0162916223278034
2025-08-29 00:00:00+05:30,50,-0.02121965471376051
2025-09-30 00:00:00+05:30,50,0.020126514508714534
2025-10-31 00:00:00+05:30,50,-0.012932215846887125
2025-11-28 00:00:00+05:30,50,0.0007104854781571019
2025-12-31 00:00:00+05:30,50,-0.04339490863440249
2026-01-30 00:00:00+05:30,50,0.05318947362695647
2026-02-27 00:00:00+05:30,50,-0.10552094268500081
2026-03-30 00:00:00+05:30,50,0.11244986723133094
2026-04-30 00:00:00+05:30,50,0.05406276727530151
2026-05-29 00:00:00+05:30,50,0.07724159553902886
2026-06-30 00:00:00+05:30,50,0.008089734068972688
2026-07-31 00:00:00+05:30,50,0.0
