Date,Portfolio_Return,Portfolio_Value,Cumulative_Return,Drawdown,High_Water_Mark
2021-06-14,-0.0029769902967729895,997023.009703227,-0.0029769902967730077,0.0,997023.009703227
2021-06-15,-0.0008035994093304921,996221.8026015406,-0.0037781973984594153,-0.0008035994093305021,997023.009703227
2021-06-16,-0.012851009556452183,983419.3466959622,-0.016580653304037796,-0.013644281902093658,997023.009703227
2021-06-17,-0.01092561116026045,972674.8893064847,-0.027325110693515287,-0.024420820943730992,997023.009703227
2021-06-18,-0.009029135311143598,963892.4761171849,-0.03610752388281513,-0.033229457358164405,997023.009703227
2021-06-21,0.010665437940753253,974172.8115027718,-0.025827188497228204,-0.022918426132669478,997023.009703227
2021-06-22,0.005952967953111899,979972.0310304406,-0.020027968969559384,-0.017101890835861222,997023.009703227
2021-06-23,-0.006193322912207925,973902.7477973368,-0.026097252202663235,-0.023189296215713417,997023.009703227
2021-06-24,-0.002971846162239508,971008.4586539008,-0.02899154134609927,-0.02609222735698913,997023.009703227
2021-06-25,0.011313548348809299,981994.0097979845,-0.018005990202015543,-0.015073874683911193,997023.009703227
2021-06-28,0.0012931870158070316,983263.9117010556,-0.016736088298944463,-0.013800181007123324,997023.009703227
2021-06-29,-0.0034168497747768347,979904.2466258135,-0.020095753374186454,-0.017169877636534214,997023.009703227
2021-06-30,0.0005162010016033615,980410.0741793972,-0.019589925820602816,-0.016662539742964166,997023.009703227
2021-07-01,0.0007249719709151931,981120.8440031803,-0.018879155996819774,-0.01594964764632678,997023.009703227
2021-07-02,0.0029322884998919238,983997.773371055,-0.016002226628945015,-0.013064128114805507,997023.009703227
2021-07-05,0.0095479618383738,993392.9465602465,-0.00660705343975343,-0.0036409020731236197,997023.009703227
2021-07-06,-0.002701331911111855,990709.4624934299,-0.009290537506570162,-0.006332398699280151,997023.009703227
2021-07-07,0.010056643705904983,1000672.674573795,0.0006726745737950512,0.0,1000672.674573795
2021-07-08,-0.004976864506518246,995692.462257066,-0.004307537742933909,-0.0049768645065182415,1000672.674573795
2021-07-09,0.006528820054249304,1002193.1591725148,0.002193159172514836,0.0,1002193.1591725148
2021-07-12,0.0027001546029863594,1004899.235644336,0.004899235644336031,0.0,1004899.235644336
2021-07-13,0.003778231131230729,1008695.9772201973,0.008695977220197326,0.0,1008695.9772201973
2021-07-14,-0.002768335092884258,1005903.5687484074,0.005903568748407473,-0.002768335092884322,1008695.9772201973
2021-07-15,0.00020162529503960877,1006106.3843522378,0.006106384352237759,-0.0025672679642244622,1008695.9772201973
2021-07-16,0.0064544934585649815,1012600.2914286598,0.012600291428659816,0.0,1012600.2914286598
2021-07-19,-0.003094291522226621,1009467.0109314878,0.00946701093148783,-0.003094291522226733,1012600.2914286598
2021-07-20,-0.01019454868733558,999175.9503402876,-0.0008240496597123892,-0.013257295303986116,1012600.2914286598
2021-07-22,0.010200145790408737,1009367.6907040288,0.009367690704028764,-0.0031923758584645467,1012600.2914286598
2021-07-23,-0.0019755906058345095,1007373.5933764409,0.007373593376440946,-0.005161659636542915,1012600.2914286598
2021-07-26,0.001418681976025221,1008802.7361364877,0.008802736136487743,-0.0037503004140105878,1012600.2914286598
2021-07-27,-0.0009110735257121369,1007883.6426709277,0.00788364267092767,-0.004657957140302149,1012600.2914286598
2021-07-28,0.0003633858589759776,1008249.8933341674,0.00824989333416748,-0.00429626391708271,1012600.2914286598
2021-07-29,0.01086381570764259,1019203.3343626001,0.019203334362600133,0.0,1019203.3343626001
2021-07-30,-0.00018837554588250701,1019011.3413781243,0.019011341378124325,-0.00018837554588246874,1019203.3343626001
2021-08-02,0.004715983125637895,1023816.9816688971,0.02381698166889712,0.0,1023816.9816688971
2021-08-03,0.0037202385415555043,1027625.8250636008,0.027625825063600784,0.0,1027625.8250636008
2021-08-04,-0.009913960035530791,1017437.983702441,0.017437983702440985,-0.009913960035530689,1027625.8250636008
2021-08-05,-0.0014897393506527518,1015922.2663012706,0.015922266301270582,-0.011388930169797806,1027625.8250636008
2021-08-06,0.0010292615679015828,1016967.9160459499,0.016967916045949938,-0.010371390790019586,1027625.8250636008
2021-08-09,-0.007098129169197724,1009749.346416926,0.009749346416926041,-0.01739590248772538,1027625.8250636008
2021-08-10,-0.01904968245216107,990513.9420114064,-0.009486057988593588,-0.03611419852152653,1027625.8250636008
2021-08-11,0.0017785738092230181,992275.6441663381,-0.007724355833661822,-0.03439985647993504,1027625.8250636008
2021-08-12,0.012916579571039248,1005092.4514806169,0.0050924514806169885,-0.021927605392351057,1027625.8250636008
2021-08-13,0.0009165867042314805,1006013.7058581675,0.006013705858167517,-0.021031117239677877,1027625.8250636008
2021-08-16,-0.0025930048960113856,1003405.1073934227,0.0034051073934227016,-0.023569588345718095,1027625.8250636008
2021-08-17,-0.0015976220117178952,1001802.0453071807,0.0018020453071807552,-0.025129555064287934,1027625.8250636008
2021-08-18,-0.003371715649931237,998424.2536728855,-0.0015757463271145467,-0.028416541000133022,1027625.8250636008
2021-08-20,-0.020600877623284906,977855.8378068508,-0.022144162193149186,-0.04843201293979715,1027625.8250636008
2021-08-23,-0.014512041757842325,963665.1530554479,-0.036334846944552135,-0.06224120730344074,1027625.8250636008
2021-08-24,0.019104065798579813,982075.0755472175,-0.017924924452782487,-0.04432620162456902,1027625.8250636008
2021-08-25,0.006481051496455777,988439.9546852247,-0.01156004531477528,-0.03813243052348436,1027625.8250636008
2021-08-26,0.0007504421311356013,989181.7216713183,-0.010818278328681763,-0.037410604574776185,1027625.8250636008
2021-08-27,0.010714790124477685,999780.596213996,-0.00021940378600404653,-0.027096661226747032,1027625.8250636008
2021-08-30,0.020288481900567118,1020064.6267448217,0.02006462674482168,-0.00735792944704472,1027625.8250636008
2021-08-31,0.004848267494952739,1025010.1729174197,0.025010172917419693,-0.002545335162260298,1027625.8250636008
2021-09-01,0.00492180783542487,1030055.0760178749,0.030055076017874827,0.0,1030055.0760178749
2021-09-02,0.008059174051475474,1038356.4691581087,0.03835646915810864,0.0,1038356.4691581087
2021-09-03,0.006745251462139152,1045360.4446499189,0.04536044464991895,0.0,1045360.4446499189
2021-09-06,-0.0009021729780712553,1044417.3487044113,0.044417348704411275,-0.0009021729780711585,1045360.4446499189
2021-09-07,-0.0031220299837841437,1041156.6464261716,0.04115664642617167,-0.00402138635076732,1045360.4446499189
2021-09-08,0.002159173346462195,1043404.6841066269,0.0434046841066269,-0.00187089587452971,1045360.4446499189
2021-09-09,0.007176076978811168,1050892.2364398283,0.05089223643982832,0.0,1050892.2364398283
2021-09-13,0.004299669667916632,1055410.7259130978,0.055410725913097814,0.0,1055410.7259130978
2021-09-14,0.004812966468069313,1060490.3823469582,0.06049038234695825,0.0,1060490.3823469582
2021-09-15,0.008852489410128152,1069878.3622262273,0.06987836222622734,0.0,1069878.3622262273
2021-09-16,0.004694773180896764,1074901.1984680288,0.07490119846802878,0.0,1074901.1984680288
2021-09-17,-0.009191211523293904,1065021.5541862668,0.06502155418626687,-0.009191211523294052,1074901.1984680288
2021-09-20,-0.02572693072251232,1037621.8184437344,0.03762181844373447,-0.03468168058369059,1074901.1984680288
2021-09-21,0.004887621721532475,1042693.3213822962,0.0426933213822962,-0.02996356979751813,1074901.1984680288
2021-09-22,0.010069284771183533,1053192.497364306,0.05319249736430587,-0.02019599674338679,1074901.1984680288
2021-09-23,0.012286012177367078,1066132.0332120354,0.06613203321203542,-0.008158112827942987,1074901.1984680288
2021-09-24,-0.005717896575387224,1060036.0005104216,0.06003600051042168,-0.013829362157929848,1074901.1984680288
2021-09-27,0.000685895454086074,1060763.0743843392,0.060763074384339255,-0.01315295220048096,1074901.1984680288
2021-09-28,-9.014178315423519e-05,1060667.45530931,0.06066745530931006,-0.013241908353070042,1074901.1984680288
2021-09-29,0.009280654969388036,1070511.1439992944,0.07051114399929448,-0.004084146966243263,1074901.1984680288
2021-09-30,0.005413506313331,1076306.362835826,0.07630636283582581,0.0,1076306.362835826
2021-10-01,0.002004010497658616,1078463.2920856457,0.07846329208564562,0.0,1078463.2920856457
2021-10-04,0.015134988369375246,1094785.82146816,0.09478582146816006,0.0,1094785.82146816
2021-10-05,0.003541709484296906,1098663.2347953275,0.09866323479532757,0.0,1098663.2347953275
2021-10-06,-0.013331256207024472,1084016.6737270327,0.0840166737270327,-0.013331256207024467,1098663.2347953275
2021-10-07,0.010587638585118929,1095493.8504886974,0.09549385048869752,-0.0028847641445111094,1098663.2347953275
2021-10-08,0.002086167286043529,1097779.2339216485,0.09777923392164856,-0.0008046149590540397,1098663.2347953275
2021-10-11,0.012829159226102081,1111862.8185087377,0.1118628185087378,0.0,1111862.8185087377
2021-10-12,0.005961900363229359,1118491.6338502665,0.1184916338502664,0.0,1118491.6338502665
2021-10-13,0.015543049968459689,1135876.4052045052,0.13587640520450517,0.0,1135876.4052045052
2021-10-14,0.007903424736499017,1144853.718883004,0.14485371888300413,0.0,1144853.718883004
2021-10-18,0.01776738835656666,1165194.7795178578,0.16519477951785788,0.0,1165194.7795178578
2021-10-19,-0.017273453233945794,1145067.8419854182,0.14506784198541833,-0.017273453233945912,1165194.7795178578
2021-10-20,-0.01690400617916655,1125711.608108932,0.125711608108932,-0.03388546885291022,1165194.7795178578
2021-10-21,-0.006246514789859635,1118679.833899763,0.118679833899763,-0.039920317560418694,1165194.7795178578
2021-10-22,-0.007543876353766824,1110240.6515533708,0.1102406515533707,-0.04716303997450655,1165194.7795178578
2021-10-25,-0.010669664356654103,1098394.7564461834,0.09839475644618334,-0.05732949052459313,1165194.7795178578
2021-10-26,0.022964824794485004,1123619.199583151,0.12361919958315082,-0.03568122743556257,1165194.7795178578
2021-10-27,-0.0057278095052823354,1117183.3228514607,0.11718332285146071,-0.04120466166717951,1165194.7795178578
2021-10-28,-0.020658107164424566,1094104.4300456874,0.09410443004568747,-0.06101155851520956,1165194.7795178578
2021-10-29,-0.0033133588133311778,1090479.269489691,0.09047926948969098,-0.06412276414341922,1165194.7795178578
2021-11-01,0.01482169393930809,1106642.0194692272,0.10664201946922724,-0.0502514781887875,1165194.7795178578
2021-11-02,0.00025274485178183154,1106921.7175424136,0.10692171754241353,-0.050011434139412114,1165194.7795178578
2021-11-03,0.0019917895541675993,1109126.4726566959,0.10912647265669584,-0.04811925683735241,1165194.7795178578
2021-11-04,0.006725228920291284,1116585.6020868672,0.11658560208686719,-0.04171764093476671,1165194.7795178578
2021-11-08,0.0082741593411541,1125824.4092765725,0.12582440927657257,-0.033788660002043835,1165194.7795178578
2021-11-09,0.0038344654043527687,1130141.3440253194,0.1301413440253194,-0.030083756045528265,1165194.7795178578
2021-11-10,-0.006495886655869355,1122800.073949419,0.12280007394941905,-0.03638422203194325,1165194.7795178578
2021-11-11,-0.0046732846391616435,1117552.9096109818,0.11755290961098175,-0.04088747284517491,1165194.7795178578
2021-11-12,0.004923162202130238,1123054.8038544592,0.12305480385445922,-0.03616560630389676,1165194.7795178578
2021-11-15,-0.0028907309563830984,1119808.3545672423,0.11980835456724237,-0.03895179222258083,1165194.7795178578
2021-11-16,-0.0004353249871781801,1119320.8740096486,0.11932087400964853,-0.03937016052130893,1165194.7795178578
2021-11-17,0.0007273816729150049,1120135.0474995142,0.1201350474995142,-0.03867141598161705,1165194.7795178578
2021-11-18,-0.01266589791325267,1105947.5313388288,0.10594753133882895,-0.05084750568788565,1165194.7795178578
2021-11-22,-0.021516461519162502,1082151.4538385642,0.08215145383856415,-0.07126990880756934,1165194.7795178578
2021-11-23,0.01932428900763933,1103063.2612825774,0.10306326128257748,-0.05332286011527587,1165194.7795178578
2021-11-24,0.0020623616412502013,1105338.176640519,0.10533817664051903,-0.051370469495329196,1165194.7795178578
2021-11-25,0.013636329846094286,1120410.9326086696,0.12041093260866953,-0.038434644315621824,1165194.7795178578
2021-11-26,-0.03461630147971258,1081626.4499843218,0.08162644998432178,-0.07172048056043945,1165194.7795178578
2021-11-29,-0.010080368357616758,1070723.2569431383,0.07072325694313841,-0.08107788005522176,1165194.7795178578
2021-11-30,0.003092098252901576,1074034.0384552733,0.07403403845527334,-0.07823648257358795,1165194.7795178578
2021-12-01,0.010494672498771743,1085305.6739413945,0.08530567394139466,-0.06856287633688196,1165194.7795178578
2021-12-02,0.01528414934674555,1101893.6479487852,0.1018936479487853,-0.054326652231711625,1165194.7795178578
2021-12-03,-0.003910706994241977,1097584.4647528413,0.09758446475284122,-0.05802490360709722,1165194.7795178578
2021-12-06,-0.011298695597994244,1085183.1919925115,0.08518319199251145,-0.06866799348213182,1165194.7795178578
2021-12-07,0.017426975793751357,1104094.6532111506,0.10409465321115063,-0.05243769314859936,1165194.7795178578
2021-12-08,0.015170540696675623,1120844.3660806725,0.1208443660806724,-0.03806266060987418,1165194.7795178578
2021-12-09,-0.0003226088937590706,1120482.771719655,0.12048277171965505,-0.03837299015080042,1165194.7795178578
2021-12-10,0.007023331511665048,1128352.2936785514,0.1283522936785515,-0.031619164870058336,1165194.7795178578
2021-12-13,0.0005803475285572515,1129007.1301435297,0.12900713014352982,-0.031057167445688427,1165194.7795178578
2021-12-14,0.0020415811509381524,1131312.0898197058,0.13131208981970577,-0.02907899202240871,1165194.7795178578
2021-12-15,-0.005339739625484843,1125271.1778249054,0.12527117782490538,-0.03426345740192238,1165194.7795178578
2021-12-16,-0.007152414427463417,1117222.772017822,0.11722277201782183,-0.04117080538232942,1165194.7795178578
2021-12-17,-0.022291936471874323,1092317.712959069,0.0923177129590691,-0.06254496487612515,1165194.7795178578
2021-12-20,-0.031451931647621466,1057962.210913594,0.057962210913594214,-0.09202973656355995,1165194.7795178578
2021-12-21,0.014501539994005806,1073304.2922273045,0.07330429222730461,-0.07886276947496829,1165194.7795178578
2021-12-22,0.012934480867970737,1087186.9260606295,0.0871869260606295,-0.06694833758996666,1165194.7795178578
2021-12-23,0.011725102841710201,1099934.3045768533,0.09993430457685326,-0.05600821089158026,1165194.7795178578
2021-12-24,-0.008971972085493619,1090065.7247003128,0.09006572470031293,-0.0644776788723963,1165194.7795178578
2021-12-27,0.003677138590971797,1094074.047443304,0.09407404744330394,-0.06103763364266246,1165194.7795178578
2021-12-28,0.012092032273229546,1107303.6261342915,0.10730362613429145,-0.04968367040532129,1165194.7795178578
2021-12-29,0.0014296205228541386,1108886.6501232437,0.10888665012324372,-0.0483250786773296,1165194.7795178578
2021-12-30,-0.0030709931135138612,1105481.2668570478,0.10548126685704773,-0.05124766580701523,1165194.7795178578
2021-12-31,0.013289489140071073,1120172.5481474965,0.12017254814749645,-0.03863923196514052,1165194.7795178578
2022-01-03,0.006437262391565331,1127383.3927637502,0.12738339276375021,-0.03245070044834353,1165194.7795178578
2022-01-04,0.00455188724683635,1132515.1148515667,0.13251511485156664,-0.028046525131028788,1165194.7795178578
2022-01-05,0.0038558342879059676,1136881.905462983,0.13688190546298307,-0.024298833596379743,1165194.7795178578
2022-01-06,-0.001774602740661455,1134864.39171774,0.13486439171774012,-0.026030315560346073,1165194.7795178578
2022-01-07,0.003218275131661093,1138516.697567413,0.13851669756741303,-0.02289581314592204,1165194.7795178578
2022-01-10,0.009201641769118585,1148992.9203665883,0.1489929203665883,-0.013904850447384987,1165194.7795178578
2022-01-11,-0.00045069662563859995,1148475.0731344963,0.14847507313449637,-0.014349280203846959,1165194.7795178578
2022-01-12,0.007081025240893011,1156607.454115898,0.15660745411589816,-0.0073698625782661065,1165194.7795178578
2022-01-13,0.012115304426439107,1170620.105524401,0.170620105524401,0.0,1170620.105524401
2022-01-14,0.009961660737909809,1182281.425868611,0.18228142586861118,0.0,1182281.425868611
2022-01-17,0.0007778023735339148,1183201.0071678367,0.18320100716783672,0.0,1183201.0071678367
2022-01-18,-0.019749964685164895,1159832.8290608204,0.1598328290608204,-0.019749964685164878,1183201.0071678367
2022-01-19,0.0033672487307619082,1163738.2746823714,0.16373827468237145,-0.016449218997921622,1183201.0071678367
2022-01-20,0.00011271163684073871,1163869.441528165,0.16386944152816496,-0.01633836137947897,1183201.0071678367
2022-01-21,-0.015689980195248247,1145608.3530407336,0.14560835304073372,-0.03177199300826028,1183201.0071678367
2022-01-24,-0.03680605402363149,1103443.0301087927,0.10344303010879274,-0.0674086453407915,1183201.0071678367
2022-01-25,0.013983708136696093,1118873.2553873055,0.11887325538730553,-0.05436756002643117,1183201.0071678367
2022-01-27,-0.008716274591598815,1109120.8488601537,0.10912084886015361,-0.06260995203596431,1183201.0071678367
2022-01-28,0.007351778755552378,1117274.859954144,0.11727485995414422,-0.05571846779567602,1183201.0071678367
2022-01-31,0.0015204806654273424,1118973.6547766724,0.11897365477667243,-0.054282705983239254,1183201.0071678367
2022-02-01,0.01897457780090782,1140205.7074463984,0.1402057074463985,-0.03633811961025435,1183201.0071678367
2022-02-02,0.013150378871544308,1155199.844490816,0.1551998444908158,-0.02366560077906421,1183201.0071678367
2022-02-03,-0.0008458890329435003,1154222.673611503,0.1542226736115031,-0.024491471339850746,1183201.0071678367
2022-02-04,9.546609962509399e-06,1154233.692525178,0.15423369252517793,-0.02448215854041247,1183201.0071678367
2022-02-07,-0.013113218567781713,1139097.9738367975,0.13909797383679745,-0.037274337212242714,1183201.0071678367
2022-02-08,-0.008346564364951023,1129590.4192801833,0.12959041928018333,-0.045309788922490934,1183201.0071678367
2022-02-09,0.010335380831122674,1141265.1664466315,0.14126516644663156,-0.03544270201526001,1183201.0071678367
2022-02-10,0.005901007087011238,1147999.7802819922,0.14799978028199212,-0.029750842564023605,1183201.0071678367
2022-02-11,-0.01442977759146513,1131434.3987774723,0.13143439877747243,-0.04375132211413102,1183201.0071678367
2022-02-14,-0.037721112913219605,1088755.4340672866,0.08875543406728648,-0.07982208646578093,1183201.0071678367
2022-02-15,0.02170355075560885,1112385.2928910109,0.11238529289101096,-0.05985095841520072,1183201.0071678367
2022-02-16,0.0020468714967507022,1114662.2026404343,0.11466220264043425,-0.05792659413928325,1183201.0071678367
2022-02-17,0.0009296982669710458,1115698.5021584872,0.11569850215848732,-0.057050750126494965,1183201.0071678367
2022-02-18,-0.003962919472023121,1111277.0788393763,0.11127707883937643,-0.060787582069948276,1183201.0071678367
