Metric,Value
Initial_Capital,1000000
Final_Capital,5095815.978632636
CAGR,0.39200151213210765
Annual_Return,0.4127530723574
Annual_Volatility,0.17524445080687967
Sharpe_Ratio,2.012920070982081
Sortino_Ratio,2.436925774250754
Max_Drawdown,-0.1840627231991666
Calmar_Ratio,2.12971700797852
Win_Rate,0.6146419951729686
Profit_Factor,1.4036894152848083
Benchmark_Return,0.6251325051030736
Active_Return,1.9532553312613778
Tracking_Error,0.08059716701031229
Information_Ratio,2.8032116821625954
Hit_Ratio,0.5905383360522023
Beta,1.0835531659731028
excess_return,0.29140173056893404
Upside_Capture,1.2073041433266396
Downside_Capture,0.9460654474688873
VaR_95,-0.018366003877057613
CVaR_95,-0.027255132132565765
Turnover,0.13536430289093063
Run_Date,2026-07-25
Engine_Version,1.0.0
