Date,Portfolio_Return
2021-06-30,-0.019589925820602816
2021-07-31,0.03937257298282759
2021-08-31,0.005886913418630346
2021-09-30,0.050044566652841294
2021-10-31,0.013168097061623474
2021-11-30,-0.015080736970005004
2021-12-31,0.04295814475170734
2022-01-31,-0.0010702756220964948
2022-02-28,-0.025068944988764108
2022-03-31,0.07693855529563409
2022-04-30,0.03135360234396978
2022-05-31,-0.05877999426255287
2022-06-30,-0.05764041732205161
2022-07-31,0.1200253961137756
2022-08-31,0.05873862150734266
2022-09-30,-0.02796822838752433
2022-10-31,0.02694183795987448
2022-11-30,0.031815932711857675
2022-12-31,-0.004437604720273991
2023-01-31,-0.029255044149246623
2023-02-28,-0.05076637286963548
2023-03-31,0.022077387316285613
2023-04-30,0.08129086571563571
2023-05-31,0.0367910644862286
2023-06-30,0.06297167236509149
2023-07-31,0.08545787457528697
2023-08-31,0.06080142729210847
2023-09-30,0.052939108759021636
2023-10-31,-0.02287426202005527
2023-11-30,0.10727894001621308
2023-12-31,0.11015994399858631
2024-01-31,0.023616307850721885
2024-02-29,0.03128646295679882
2024-03-31,0.03098612542704826
2024-04-30,0.09342344205068343
2024-05-31,0.033358622541351135
2024-06-30,0.05293171475547953
2024-07-31,0.03488987250647413
2024-08-31,-0.0036727331821980735
2024-09-30,0.0433145789033198
2024-10-31,-0.04992220066030806
2024-11-30,0.0021790533946037804
2024-12-31,-0.008312280150607365
2025-01-31,-0.04692303191321523
2025-02-28,-0.0919793689415076
2025-03-31,0.08914405590672625
2025-04-30,0.028663566566047738
2025-05-31,0.09878672501305186
2025-06-30,0.04198793160445713
2025-07-31,0.015187049779558981
2025-08-31,-0.0022347422564583663
2025-09-30,0.05937511831211473
2025-10-31,0.0770084707899732
2025-11-30,0.029621108801010543
2025-12-31,0.0365917476422406
2026-01-31,-0.005830106801452017
2026-02-28,0.09290776558531988
2026-03-31,-0.06915603238115198
2026-04-30,0.18335990899654742
2026-05-31,0.07445114773409434
2026-06-30,-0.00149491137686375
