Date,Portfolio_Value,Period_Return,Cumulative_Return
2021-02-26 00:00:00+05:30,1090456.081878846,0.09045608187884607,0.09045608187884602
2021-03-31 00:00:00+05:30,1118870.9098007092,0.026057746289886975,0.11887090980070925
2021-04-30 00:00:00+05:30,1227417.3544728584,0.097014270119404,0.22741735447285838
2021-05-31 00:00:00+05:30,1302978.5008384634,0.06156108685464732,0.30297850083846334
2021-06-30 00:00:00+05:30,1439153.4501376594,0.10451051127211063,0.4391534501376595
2021-07-30 00:00:00+05:30,1601643.6861469322,0.11290681754174992,0.6016436861469321
2021-08-31 00:00:00+05:30,1569458.8137077552,-0.020094901704763093,0.5694588137077552
2021-09-30 00:00:00+05:30,1739520.6759258667,0.1083570086279298,0.7395206759258668
2021-10-29 00:00:00+05:30,1858948.03922881,0.06865532842222619,0.85894803922881
2021-11-30 00:00:00+05:30,1895135.6749802954,0.01946672794926422,0.8951356749802954
2021-12-31 00:00:00+05:30,2070243.3733221581,0.09239850246800059,1.0702433733221581
2022-01-31 00:00:00+05:30,2074038.2795844008,0.0018330725320244812,1.0740382795844008
2022-02-28 00:00:00+05:30,1898760.413831354,-0.08451042947392913,0.8987604138313539
2022-03-31 00:00:00+05:30,2083153.6836636858,0.0971124468833116,1.083153683663686
2022-04-29 00:00:00+05:30,2058871.8469908761,-0.011656286746019092,1.058871846990876
2022-05-31 00:00:00+05:30,1895387.088556304,-0.07940501914847763,0.895387088556304
2022-06-30 00:00:00+05:30,1812389.6890061563,-0.043789155287200926,0.8123896890061564
2022-07-29 00:00:00+05:30,1963168.083423154,0.08319314291601317,0.963168083423154
2022-08-30 00:00:00+05:30,2151314.026114841,0.09583791845455196,1.1513140261148411
2022-09-30 00:00:00+05:30,2199073.0574181583,0.022199934887966087,1.199073057418158
2022-10-31 00:00:00+05:30,2328384.2441396746,0.058802587883703815,1.3283842441396745
2022-11-30 00:00:00+05:30,2369577.4779454903,0.017691767975794855,1.3695774779454903
2022-12-30 00:00:00+05:30,2304177.2312543583,-0.02759996130104862,1.3041772312543585
2023-01-31 00:00:00+05:30,2259039.218995885,-0.01958964425401465,1.259039218995885
2023-02-28 00:00:00+05:30,2276562.9255874543,0.00775715022750188,1.2765629255874544
2023-03-31 00:00:00+05:30,2281415.345168858,0.0021314673655028864,1.281415345168858
2023-04-28 00:00:00+05:30,2380741.189083204,0.04353694040179015,1.3807411890832042
2023-05-31 00:00:00+05:30,2538382.8814819735,0.06621538415079692,1.5383828814819736
2023-06-30 00:00:00+05:30,2717590.068138804,0.07059895808634067,1.7175900681388039
2023-07-31 00:00:00+05:30,3049304.510120874,0.12206198641624096,2.049304510120874
2023-08-31 00:00:00+05:30,3217465.7568662968,0.05514741023314749,2.2174657568662965
2023-09-29 00:00:00+05:30,3336393.122986395,0.0369630557423334,2.336393122986395
2023-10-31 00:00:00+05:30,3289643.8518488724,-0.014011919283563736,2.289643851848872
2023-11-30 00:00:00+05:30,3637564.793547744,0.10576249508083699,2.6375647935477438
