Strategy,Final_Capital,CAGR,Annual_Return,Annual_Volatility,Sharpe,Sortino,Calmar,Max_Drawdown,Win_Rate,Profit_Factor,Rank,Run_Date,Engine_Version
optimized_portfolio_v2,6461712.4634374585,0.45977554561515266,0.48152875244718474,0.17180670393154046,2.4535058458204904,2.995928769251101,2.7564745035146974,-0.16679840318816908,0.6170555108608206,1.480741815046535,1,2026-08-03,1.0.0
live_portfolio,5095815.978632636,0.39116038325978786,0.4127530723574,0.17524445080687967,2.012920070982081,2.436925774250754,2.1251472131949796,-0.1840627231991666,0.6146419951729686,1.4036894152848083,2,2026-08-03,1.0.0
optimized_portfolio,5095815.978632632,0.39116038325978764,0.4127530723574,0.17524445080687967,2.012920070982081,2.436925774250754,2.1251472131949773,-0.18406272319916672,0.6146419951729686,1.4036894152848083,3,2026-08-03,1.0.0
