Portfolio_Date,Symbol,Company_Name,Sector,Weight,Rank,Alpha_Adjusted,Last_Close,Engine_Version,Created_Timestamp
2026-06-12,POLYCAB,Polycab India Limited,Industrials,0.0240201377534145,2.0,0.9127760252365932,9523.0,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,0.0239763587470696,8.0,0.8703470031545743,1804.0999755859373,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,POWERINDIA,Hitachi Energy India Limited,Industrials,0.0236957234556814,26.0,0.8406940063091483,34185.0,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,SBIN,State Bank of India,Financial Services,0.0232725996848592,36.0,0.8302147239263803,1014.5,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,ADANIPOWER,Adani Power Limited,Utilities,0.0232526240012415,29.0,0.835185185185185,220.47000122070312,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,0.0232284236961244,16.0,0.8525193798449612,10073.0,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,BHARATFORG,Bharat Forge Limited,Consumer Cyclical,0.0230926270847158,1.0,0.9193798449612404,1941.199951171875,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,0.0229921229331528,38.0,0.8277777777777777,8511.0,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,BHEL,Bharat Heavy Electricals Limited,Industrials,0.0229016950155881,19.0,0.8473186119873817,376.8999938964844,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,0.0226576847906215,27.0,0.837984496124031,143.4499969482422,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,GVT&D,GE Vernova T&D India Ltd,Industrials,0.0226551674540102,33.0,0.832807570977918,4890.0,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,INDUSTOWER,Indus Towers Limited,Communication Services,0.0225853370204692,7.0,0.8710526315789474,420.8999938964844,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,NESTLEIND,Nestlé India Limited,Consumer Defensive,0.0224387385352618,43.0,0.821111111111111,1383.0,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,CGPOWER,CG Power and Industrial Solutions Limited,Industrials,0.022426706882935,34.0,0.8324921135646688,909.5999755859376,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,TITAN,Titan Company Limited,Consumer Cyclical,0.0224050247823875,48.0,0.8125968992248063,4124.0,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,0.0222795389954635,28.0,0.8361111111111111,4569.2998046875,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,ATHERENERG,Ather Energy Limited,Consumer Cyclical,0.0221580263123085,10.0,0.8651162790697674,1034.1500244140625,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,TATASTEEL,Tata Steel Limited,Basic Materials,0.0217621045600958,9.0,0.8655642023346303,197.4499969482422,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,BSE,BSE Limited,Financial Services,0.0216850799531143,49.0,0.8115030674846625,4019.0,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,LAURUSLABS,Laurus Labs Limited,Healthcare,0.0214305474044527,6.0,0.8746031746031747,1392.199951171875,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,JSWSTEEL,JSW Steel Limited,Basic Materials,0.0213423248739583,5.0,0.8836575875486381,1297.0999755859375,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,NYKAA,FSN E-Commerce Ventures Limited,Consumer Cyclical,0.021201270135853,23.0,0.8439922480620154,271.0,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,HINDALCO,Hindalco Industries Limited,Basic Materials,0.0210850195258961,17.0,0.8519455252918289,1024.0999755859375,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,APARINDS,APAR Industries Limited,Industrials,0.0210343348602527,24.0,0.8430599369085173,15300.0,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,PHOENIXLTD,The Phoenix Mills Limited,Real Estate,0.0209886656963214,4.0,0.8892857142857142,1751.0,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,FEDERALBNK,The Federal Bank Limited,Financial Services,0.0206536566336229,3.0,0.9012269938650308,315.95001220703125,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,KEI,KEI Industries Limited,Industrials,0.0204306940716267,15.0,0.8534700315457413,5309.5,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,GRASIM,Grasim Industries Limited,Basic Materials,0.0199667510582008,37.0,0.8295719844357976,3107.5,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,SAIL,Steel Authority of India Limited,Basic Materials,0.0199604255004073,20.0,0.8464980544747083,183.8999938964844,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,NATIONALUM,National Aluminium Company Limited,Basic Materials,0.019846743819672,25.0,0.8418287937743191,376.2000122070313,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,WAAREEENER,WAAREE ENERGIES LIMITED,Technology,0.0197982093465519,50.0,0.8099056603773584,3023.60009765625,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,MARICO,Marico Limited,Consumer Defensive,0.0188589092234991,45.0,0.8161111111111111,818.5,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,CUPID,Cupid Limited,Consumer Defensive,0.0186212549529847,11.0,0.8644444444444446,159.83999633789062,1.0.0,2026-06-13 11:05:37.170793
2026-06-12,HINDCOPPER,Hindustan Copper Limited,Basic Materials,0.0184223106968242,30.0,0.8346303501945526,508.7000122070313,1.0.0,2026-06-13 11:05:37.170793
