Symbol,Weight
MCX.NS,0.020000000000000004
APOLLO.NS,0.020000000000000004
PARIN.NS,0.020000000000000004
BGRENERGY.NS,0.020000000000000004
EASTSILK.NS,0.020000000000000004
VMARCIND.NS,0.020000000000000004
BAFNAPH.NS,0.020000000000000004
DIACABS.NS,0.020000000000000004
NDLVENTURE.NS,0.020000000000000004
WHEELS.NS,0.020000000000000004
BAJAJCON.NS,0.020000000000000004
TAKE.NS,0.020000000000000004
MCLEODRUSS.NS,0.020000000000000004
IMFA.NS,0.020000000000000004
TDPOWERSYS.NS,0.020000000000000004
VENUSREM.NS,0.020000000000000004
POCL.NS,0.020000000000000004
BBOX.NS,0.020000000000000004
SUMEETINDS.NS,0.020000000000000004
SWANDEF.NS,0.020000000000000004
WAAREEINDO.NS,0.020000000000000004
KIRLOSENG.NS,0.020000000000000004
HFCL.NS,0.020000000000000004
NORBTEAEXP.NS,0.020000000000000004
PRECWIRE.NS,0.020000000000000004
ADANIPOWER.NS,0.020000000000000004
ONELIFECAP.NS,0.020000000000000004
SAKAR.NS,0.020000000000000004
PFOCUS.NS,0.020000000000000004
MAHASTEEL.NS,0.020000000000000004
NARMADA.NS,0.020000000000000004
GABRIEL.NS,0.020000000000000004
POWERINDIA.NS,0.020000000000000004
IZMO.NS,0.020000000000000004
TFCILTD.NS,0.020000000000000004
NATIONALUM.NS,0.020000000000000004
SMLMAH.NS,0.020000000000000004
ASCOM.NS,0.020000000000000004
ACCORD.NS,0.020000000000000004
RELIABLE.NS,0.020000000000000004
MIRCELECTR.NS,0.020000000000000004
SCHNEIDER.NS,0.020000000000000004
STLTECH.NS,0.020000000000000004
LAURUSLABS.NS,0.020000000000000004
MAHICKRA.NS,0.020000000000000004
GVPIL.NS,0.020000000000000004
UNITEDPOLY.NS,0.020000000000000004
KESORAMIND.NS,0.020000000000000004
APARINDS.NS,0.020000000000000004
APEX.NS,0.020000000000000004
