Security_ID,Symbol,Company_Name,Sector,Rank,Alpha_Adjusted,Weight,Last_Close,Market_Cap,ADV_20D,Portfolio_Date,Engine_Version
SEC39245F03,POLYCAB,Polycab India Limited,Industrials,2.0,0.9127760252365932,0.02402013775341458,9523.0,1428950146682.0,2316271807.35,2026-06-12,1.0.0
SEC6ACA80F1,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,8.0,0.8703470031545743,0.023976358747069625,1804.0999755859373,4125469104629.799,3373669639.0795164,2026-06-12,1.0.0
SEC0BE45679,POWERINDIA,Hitachi Energy India Limited,Industrials,26.0,0.8406940063091483,0.023695723455681498,34185.0,1518803269225.0,7157744736.0,2026-06-12,1.0.0
SEC10D35CD2,SBIN,State Bank of India,Financial Services,36.0,0.8302147239263803,0.023272599684859285,1014.5,4126793239582.544,8773996818.526707,2026-06-12,1.0.0
SEC23029172,ADANIPOWER,Adani Power Limited,Utilities,29.0,0.835185185185185,0.023252624001241527,220.47000122070312,4126793239582.544,8701394964.536728,2026-06-12,1.0.0
SEC458C7E09,BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,16.0,0.8525193798449612,0.023228423696124472,10073.0,2812545623043.0,3390252519.075879,2026-06-12,1.0.0
SEC7FE71EB3,BHARATFORG,Bharat Forge Limited,Consumer Cyclical,1.0,0.9193798449612404,0.02309262708471584,1941.199951171875,921802679687.1144,1752069513.2322204,2026-06-12,1.0.0
SECC2E751BE,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,38.0,0.8277777777777777,0.02299212293315284,8511.0,1224398246683.5,3880171828.7,2026-06-12,1.0.0
SECD1C4E177,BHEL,Bharat Heavy Electricals Limited,Industrials,19.0,0.8473186119873817,0.022901695015588135,376.8999938964844,1296720372149.172,4193728750.906015,2026-06-12,1.0.0
SEC0BDD67BA,MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,27.0,0.837984496124031,0.02265768479062159,143.4499969482422,1494697571482.7888,3802947477.0305176,2026-06-12,1.0.0
SEC31D4BC12,GVT&D,GE Vernova T&D India Ltd,Industrials,33.0,0.832807570977918,0.022655167454010205,4890.0,1253219765557.5,4744110174.789648,2026-06-12,1.0.0
SECE103320D,INDUSTOWER,Indus Towers Limited,Communication Services,7.0,0.8710526315789474,0.02258533702046922,420.8999938964844,1108015280054.4707,2733181575.117189,2026-06-12,1.0.0
SEC8467BBC9,NESTLEIND,Nestlé India Limited,Consumer Defensive,43.0,0.821111111111111,0.022438738535261866,1383.0,2739749080011.9727,2801292064.615503,2026-06-12,1.0.0
SECA8D30DA3,CGPOWER,CG Power and Industrial Solutions Limited,Industrials,34.0,0.8324921135646688,0.022426706882935098,909.5999755859376,1425337215345.0,3510287698.27728,2026-06-12,1.0.0
SEC8084428B,TITAN,Titan Company Limited,Consumer Cyclical,48.0,0.8125968992248063,0.022405024782387564,4124.0,3657287606980.0,3426222277.4719973,2026-06-12,1.0.0
SECBFB674BF,TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,28.0,0.8361111111111111,0.02227953899546359,4569.2998046875,1548083320155.3125,2354768015.4289308,2026-06-12,1.0.0
SEC98541475,ATHERENERG,Ather Energy Limited,Consumer Cyclical,10.0,0.8651162790697674,0.02215802631230854,1034.1500244140625,401338390830.5786,4101349137.936835,2026-06-12,1.0.0
SEC59D35B99,TATASTEEL,Tata Steel Limited,Basic Materials,9.0,0.8655642023346303,0.021762104560095835,197.4499969482422,2461693342554.2534,6622054083.466818,2026-06-12,1.0.0
SECD98B2F18,BSE,BSE Limited,Financial Services,49.0,0.8115030674846625,0.021685079953114313,4019.0,1613632028905.879,8773996818.526707,2026-06-12,1.0.0
SECA722432A,LAURUSLABS,Laurus Labs Limited,Healthcare,6.0,0.8746031746031747,0.021430547404452743,1392.199951171875,755809166617.0,2304859375.517785,2026-06-12,1.0.0
SECE38F61AD,JSWSTEEL,JSW Steel Limited,Basic Materials,5.0,0.8836575875486381,0.021342324873958308,1297.0999755859375,3165996605790.6978,2056179374.2716308,2026-06-12,1.0.0
SEC2FE15581,NYKAA,FSN E-Commerce Ventures Limited,Consumer Cyclical,23.0,0.8439922480620154,0.021201270135853025,271.0,771227796787.0096,1879164541.978723,2026-06-12,1.0.0
SEC1317061B,HINDALCO,Hindalco Industries Limited,Basic Materials,17.0,0.8519455252918289,0.021085019525896125,1024.0999755859375,2295858389466.432,6406327533.871887,2026-06-12,1.0.0
SEC3069B975,APARINDS,APAR Industries Limited,Industrials,24.0,0.8430599369085173,0.021034334860252708,15300.0,612255341400.0,1849503312.0,2026-06-12,1.0.0
SECBC710BBF,PHOENIXLTD,The Phoenix Mills Limited,Real Estate,4.0,0.8892857142857142,0.02098866569632142,1751.0,623331592608.9569,765248267.053009,2026-06-12,1.0.0
SEC17154FBC,FEDERALBNK,The Federal Bank Limited,Financial Services,3.0,0.9012269938650308,0.020653656633622935,315.95001220703125,778449810214.7582,5735660901.565318,2026-06-12,1.0.0
SEC262E8C48,KEI,KEI Industries Limited,Industrials,15.0,0.8534700315457413,0.020430694071626763,5309.5,507782560342.5,1303086957.135327,2026-06-12,1.0.0
SEC910FE0F6,GRASIM,Grasim Industries Limited,Basic Materials,37.0,0.8295719844357976,0.019966751058200803,3107.5,2101928744185.5864,2760642338.060632,2026-06-12,1.0.0
SEC06DCFAD7,SAIL,Steel Authority of India Limited,Basic Materials,20.0,0.8464980544747083,0.019960425500407386,183.8999938964844,754275225545.3625,4376503251.329583,2026-06-12,1.0.0
SECD3E0F146,NATIONALUM,National Aluminium Company Limited,Basic Materials,25.0,0.8418287937743191,0.019846743819672098,376.2000122070313,692685667257.1392,5481602198.980354,2026-06-12,1.0.0
SEC5E2FCDD9,WAAREEENER,WAAREE ENERGIES LIMITED,Technology,50.0,0.8099056603773584,0.019798209346551923,3023.60009765625,872676634168.4753,3060762629.659045,2026-06-12,1.0.0
SEC9BFC6369,MARICO,Marico Limited,Consumer Defensive,45.0,0.8161111111111111,0.01885890922349918,818.5,1061839224929.95,1345999925.6837585,2026-06-12,1.0.0
SECF5E25039,CUPID,Cupid Limited,Consumer Defensive,11.0,0.8644444444444446,0.018621254952984702,159.83999633789062,214594396188.70544,2129550510.7044053,2026-06-12,1.0.0
SEC40D715C2,HINDCOPPER,Hindustan Copper Limited,Basic Materials,30.0,0.8346303501945526,0.018422310696824217,508.7000122070313,491635005865.7538,2373609351.892441,2026-06-12,1.0.0
SECE6819099,ADANIENSOL,Adani Energy Solutions Limited,Utilities,32.0,0.8333333333333335,0.018243573325210826,1493.0999755859375,1792553899736.021,5095655373.06814,2026-06-12,1.0.0
SEC813579CA,SONACOMS,Sona BLW Precision Forgings Limited,Consumer Cyclical,47.0,0.8135658914728684,0.018200104568211865,589.0,366032582500.76935,805761599.3373016,2026-06-12,1.0.0
SEC3F90165F,RRKABEL,R R Kabel Limited,Industrials,39.0,0.8264984227129338,0.018110483428838486,2150.39990234375,243493536686.7297,1269464695.2124023,2026-06-12,1.0.0
SECFA5934F9,JINDALSTEL,Jindal Steel Limited,Basic Materials,44.0,0.8184824902723735,0.01797885816279963,1147.4000244140625,1161869682805.318,1024062529.702185,2026-06-12,1.0.0
SECE496E96D,NAVINFLUOR,Navin Fluorine International Limited,Basic Materials,12.0,0.8642023346303502,0.01775346691177421,7268.5,371823202750.0,1027275226.45,2026-06-12,1.0.0
SECA6E1B437,BELRISE,BELRISE INDUSTRIES LTD,Consumer Cyclical,35.0,0.8315891472868218,0.0177010186579581,227.44000244140625,201700020917.55493,1145386952.1773925,2026-06-12,1.0.0
SECCDFD81E7,WELCORP,Welspun Corp Limited,Basic Materials,18.0,0.8494163424124513,0.017524270155591652,1396.5,366284755992.0,1154836042.343451,2026-06-12,1.0.0
SEC604401C1,ACUTAAS,Acutaas Chemicals Limited,Basic Materials,22.0,0.8441634241245136,0.01740120929029684,3147.10009765625,256395788769.78665,1330672150.8816895,2026-06-12,1.0.0
SEC810017B2,KIRLOSENG,Kirloskar Oil Engines Limited,Industrials,42.0,0.8230283911671923,0.016529366356889612,1872.0,268952896400.0,671078758.9071411,2026-06-12,1.0.0
SEC681E0717,CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical,40.0,0.8259689922480621,0.016270839270321684,8863.0,210406242060.0,497216183.9,2026-06-12,1.0.0
SEC3BD55433,GPIL,Godawari Power & Ispat Limited,Basic Materials,46.0,0.8138132295719845,0.01607702077707669,277.29998779296875,181516682970.0,1415119810.6218064,2026-06-12,1.0.0
SECDCBF746B,SHYAMMETL,Shyam Metalics and Energy Limited,Basic Materials,41.0,0.8247081712062256,0.015928090480701398,986.75,274974698093.1006,698681971.9648132,2026-06-12,1.0.0
SECACB85887,SYRMA,Syrma SGS Technology Limited,Technology,14.0,0.8542452830188679,0.015509901301862408,1257.5,243709111494.88354,1300762504.6022766,2026-06-12,1.0.0
SEC3FF4377F,MAHABANK,Bank of Maharashtra,Financial Services,21.0,0.8450920245398773,0.013794299673215875,86.30000305175781,659473904982.0659,1050737736.3119464,2026-06-12,1.0.0
SEC6E162A52,AETHER,Aether Industries Limited,Basic Materials,31.0,0.8342412451361868,0.013489740959906708,1151.800048828125,153424754893.93665,405966353.5218506,2026-06-12,1.0.0
