Security_ID,Symbol,Company_Name,Sector,Rank,Alpha_Adjusted,Weight,Last_Close,Market_Cap,ADV_20D,Portfolio_Date,Engine_Version,Target_Weight,Drift
SECE38F61AD,JSWSTEEL,JSW Steel Limited,Basic Materials,5.0,0.8836575875486381,0.0213423248739583,1297.0999755859375,3165996605790.6978,2056179374.2716308,2026-06-12,1.0.0,0.02,0.0013423248739583005
SEC2FE15581,NYKAA,FSN E-Commerce Ventures Limited,Consumer Cyclical,23.0,0.8439922480620154,0.021201270135853,271.0,771227796787.0096,1879164541.978723,2026-06-12,1.0.0,0.02,0.0012012701358529998
SEC1317061B,HINDALCO,Hindalco Industries Limited,Basic Materials,17.0,0.8519455252918289,0.0210850195258961,1024.0999755859375,2295858389466.432,6406327533.871887,2026-06-12,1.0.0,0.02,0.0010850195258961005
SEC3069B975,APARINDS,APAR Industries Limited,Industrials,24.0,0.8430599369085173,0.0210343348602527,15300.0,612255341400.0,1849503312.0,2026-06-12,1.0.0,0.02,0.0010343348602527003
SECBC710BBF,PHOENIXLTD,The Phoenix Mills Limited,Real Estate,4.0,0.8892857142857142,0.0209886656963214,1751.0,623331592608.9569,765248267.053009,2026-06-12,1.0.0,0.02,0.0009886656963213995
SEC17154FBC,FEDERALBNK,The Federal Bank Limited,Financial Services,3.0,0.9012269938650308,0.0206536566336229,315.95001220703125,778449810214.7582,5735660901.565318,2026-06-12,1.0.0,0.02,0.0006536566336228997
SEC262E8C48,KEI,KEI Industries Limited,Industrials,15.0,0.8534700315457413,0.0204306940716267,5309.5,507782560342.5,1303086957.135327,2026-06-12,1.0.0,0.02,0.0004306940716266999
SEC910FE0F6,GRASIM,Grasim Industries Limited,Basic Materials,37.0,0.8295719844357976,0.0199667510582008,3107.5,2101928744185.5864,2760642338.060632,2026-06-12,1.0.0,0.02,-3.324894179920074e-05
SEC06DCFAD7,SAIL,Steel Authority of India Limited,Basic Materials,20.0,0.8464980544747083,0.0199604255004073,183.8999938964844,754275225545.3625,4376503251.329583,2026-06-12,1.0.0,0.02,-3.9574499592701096e-05
SECD3E0F146,NATIONALUM,National Aluminium Company Limited,Basic Materials,25.0,0.8418287937743191,0.019846743819672,376.2000122070313,692685667257.1392,5481602198.980354,2026-06-12,1.0.0,0.02,-0.00015325618032799998
SEC5E2FCDD9,WAAREEENER,WAAREE ENERGIES LIMITED,Technology,50.0,0.8099056603773584,0.0197982093465519,3023.60009765625,872676634168.4753,3060762629.659045,2026-06-12,1.0.0,0.02,-0.0002017906534481015
SEC9BFC6369,MARICO,Marico Limited,Consumer Defensive,45.0,0.8161111111111111,0.0188589092234991,818.5,1061839224929.95,1345999925.6837585,2026-06-12,1.0.0,0.02,-0.0011410907765008992
