Symbol,Sector,Weight,Optimization_Score,Alpha_Z,Risk_Z,Liquidity_Z,Capacity_Z,Current_Holding
ATHERENERG,Consumer Cyclical,0.05000424270180268,3.7350983466955343,3.0,-0.6508223746981533,1.7318479943228455,0.42211706987925796,True
CUPID,Consumer Defensive,0.045655714088496516,3.292936273282608,3.0,-0.11440649887058836,1.4042335957029852,-0.30075796862188836,True
SYRMA,Technology,0.039767729227527526,2.8682630574033974,2.5289158859780705,-0.3992869545202904,1.1578197313756586,-0.6124016807329978,True
ADANIPOWER,Utilities,0.03259312472119098,2.3507918953145053,1.625017552651688,0.0980256337618174,2.1078305463716647,2.3548070017959533,True
LAURUSLABS,Healthcare,0.031860837214167735,2.297975371852087,1.6709633125233891,-0.7876225784312327,1.4437773270450016,-0.3703646353061277,True
POWERINDIA,Industrials,0.031223320345576025,2.6112814628890995,1.870223465756631,-0.19276849541917365,2.010212603111151,1.6175415253376784,True
FEDERALBNK,Financial Services,0.030956194254841727,2.2327276438380173,0.7656082660139264,-1.7638695226752559,1.8994964015814815,1.3685689078011118,True
ANANDRATHI,Financial Services,0.03020834214102946,2.17878851701043,1.035671186550567,-1.8732003033249842,1.2204556103667963,-0.250492955173255,True
ACUTAAS,Basic Materials,0.02950777472012685,3.1465038784281076,3.0,-0.031731649392676996,1.1691834529581246,-0.6879909123990391,True
GVT&D,Industrials,0.02831845175541573,2.3683403080836616,2.000107054252008,0.18654852183580695,1.8046223725850403,0.6705536015503263,True
BSE,Financial Services,0.027229229463779092,1.9639188475075375,0.9748320752596129,-0.21707773354318396,2.4036385212000617,2.6654680082421343,True
SBIN,Financial Services,0.026735341563956804,1.9282969891546535,0.20299405741884416,-1.798563476712144,2.3425515812211564,2.383405847570041,True
APARINDS,Industrials,0.024271642219529377,2.0298958823164908,1.9699870734097418,0.24241540985652968,1.3337556503741825,-0.5708974415988154,True
TORNTPHARM,Healthcare,0.02339130998093303,1.687107400543747,0.5701043452918203,-1.7690183339058352,1.4544857211965878,-0.38935503960205653,True
ADANIENSOL,Utilities,0.022507505679150816,1.6233626688726865,1.377416448101098,0.6597426468518698,1.8403549626288667,1.3849770111449997,True
POLYCAB,Industrials,0.022478336067570392,1.8799173707403198,0.9731064962090876,-1.3803245363883192,1.4462462866042975,-0.48400433989191366,True
APOLLOHOSP,Healthcare,0.02204447993670238,1.589966755716742,0.39147374639467736,-1.6387756642207654,1.7041371786781,0.25518494317374724,True
BHARATFORG,Consumer Cyclical,0.020887884377935036,1.5065468477157375,0.7896798651599363,-1.119285548637511,1.3067031998435394,-0.6941095448777476,True
MARICO,Consumer Defensive,0.02046279553134148,1.4758871480426035,0.2074173951922545,-2.2890032761535553,1.1749084054107353,-0.7400904420571707,True
NATIONALUM,Basic Materials,0.02026856717445803,2.161299041676385,1.4219533429767603,-0.32201108363330355,1.876849716502953,1.3531347572158814,True
NESTLEIND,Consumer Defensive,0.020227101828930553,1.4588876473766228,0.21340175862760852,-1.9325545276576312,1.5412816473677258,-0.19365136368897784,True
BELRISE,Consumer Cyclical,0.019989299265431432,2.402893407130155,1.7893617110360251,-1.031830579161458,1.0942327831803305,-0.8082010008177689,True
BHEL,Industrials,0.01911180106252627,1.5983659420152019,0.9235163018047466,-0.5319316697245806,1.7429821379681667,0.4019158516968777,True
MAHABANK,Financial Services,0.0185948075248058,1.7882103745569464,1.240141218224177,-0.8830021321757419,1.0511193773577574,-0.6910385681776866,True
WELCORP,Basic Materials,0.017836782520766294,1.901990438539873,1.4439750764099388,-0.7155011599868519,1.0983396033808934,-0.7960209235978044,True
BAJAJ-AUTO,Consumer Cyclical,0.017823811475482208,1.2855493886701572,0.2736107896930084,-1.3625817177207173,1.6366678121470386,0.02209451791588287,True
CGPOWER,Industrials,0.01702668492857806,1.4239826589983007,0.7076696075412701,-0.7319677240313491,1.6540599295313787,0.13011469023386954,True
RRKABEL,Industrials,0.01691619996081649,1.4147425351085112,1.3064656465860602,0.015763549094086667,1.145645344813964,-0.7531360392886562,True
HINDALCO,Basic Materials,0.016455704182497165,1.7547218495326236,0.7477811086575248,-0.741301311403841,1.9547731302109346,1.635569727539942,True
ADANIPORTS,Industrials,0.016043270029805143,1.3417373030568869,0.4669421658619046,-1.1053544781615336,1.6342168002375792,-0.0315030795553354,True
HINDCOPPER,Basic Materials,0.015854280664868027,1.6905902283329,1.2717561928152854,-0.3001045271582702,1.4584694069103714,-0.15274739629063255,True
TITAN,Consumer Cyclical,0.015851947640653334,1.1433279367157303,0.10135569339698716,-1.399171782764017,1.6419433277628186,0.09331790922780535,True
MOTHERSON,Consumer Cyclical,0.015791592490939397,1.1389747978865534,0.6237996091765274,-0.2789719291240795,1.6940883714767017,0.24581033235097222,True
TATASTEEL,Basic Materials,0.015246311852398026,1.6257606624119092,0.33204113581691924,-1.3068271613405493,1.9713283906044352,1.6402684520255215,True
JSWSTEEL,Basic Materials,0.013949503004226243,1.4874779857596032,0.41644010605349685,-1.7328626118435344,1.3867076392675908,-0.4848996937945265,True
