Sector,Weight,Holdings
Basic Materials,0.20035638695142471,14
Communication Services,0.01178163773075236,1
Consumer Cyclical,0.17302126841957977,9
Consumer Defensive,0.08634561144876855,3
Financial Services,0.13372391494841288,5
Healthcare,0.07729662713180314,3
Industrials,0.20042171356625096,10
Real Estate,0.010380351529688017,1
Technology,0.05157185787297779,2
Utilities,0.0551006304003418,2
