Risk_Target,Expected_Return,Expected_Volatility,Expected_Sharpe
0.5,0.4939645522560927,0.17903951461087023,2.758969456154357
0.5416666666666666,0.5351282649441004,0.19395947416177606,2.758969456154357
0.5833333333333334,0.5762919776321082,0.20887943371268194,2.758969456154357
0.625,0.6174556903201158,0.22379939326358778,2.758969456154357
0.6666666666666666,0.6586194030081236,0.23871935281449363,2.758969456154357
0.7083333333333333,0.6997831156961313,0.25363931236539944,2.7589694561543574
0.75,0.7409468283841391,0.26855927191630535,2.758969456154357
0.7916666666666666,0.7821105410721467,0.28347923146721116,2.7589694561543574
0.8333333333333333,0.8232742537601544,0.298399191018117,2.758969456154357
0.875,0.8644379664481623,0.3133191505690229,2.7589694561543574
0.9166666666666666,0.90560167913617,0.32823911011992873,2.7589694561543574
0.9583333333333333,0.9467653918241776,0.3431590696708346,2.758969456154357
1.0,0.9879291045121854,0.35807902922174045,2.758969456154357
1.0416666666666665,1.029092817200193,0.37299898877264626,2.758969456154357
1.0833333333333333,1.0702565298882007,0.3879189483235521,2.758969456154357
1.125,1.1114202425762085,0.40283890787445803,2.758969456154357
1.1666666666666665,1.152583955264216,0.41775886742536383,2.758969456154357
1.2083333333333333,1.1937476679522239,0.4326788269762697,2.758969456154357
1.25,1.2349113806402316,0.44759878652717555,2.758969456154357
1.2916666666666665,1.2760750933282394,0.46251874607808136,2.7589694561543574
1.3333333333333333,1.3172388060162472,0.47743870562898727,2.758969456154357
1.375,1.358402518704255,0.49235866517989313,2.7589694561543574
1.4166666666666665,1.3995662313922625,0.5072786247307989,2.7589694561543574
1.4583333333333333,1.4407299440802703,0.5221985842817048,2.758969456154357
1.5,1.4818936567682781,0.5371185438326107,2.758969456154357
