Security_ID,Symbol,Company_Name,Sector,Rank,Alpha_Adjusted,Weight,Last_Close,Market_Cap,ADV_20D,Portfolio_Date,Engine_Version,Current_Weight,Optimized_Weight,Weight_Change
SEC39245F03,POLYCAB,Polycab India Limited,Industrials,2.0,0.9127760252365932,0.0240201377534145,9523.0,1428950146682.0,2316271807.35,2026-06-12,1.0.0,0.0240201377534145,0.05,0.0259798622465855
SECD1C4E177,BHEL,Bharat Heavy Electricals Limited,Industrials,19.0,0.8473186119873817,0.0229016950155881,376.8999938964844,1296720372149.172,4193728750.906015,2026-06-12,1.0.0,0.0229016950155881,0.05,0.027098304984411903
SECCDFD81E7,WELCORP,Welspun Corp Limited,Basic Materials,18.0,0.8494163424124513,0.0175242701555916,1396.5,366284755992.0,1154836042.343451,2026-06-12,1.0.0,0.0175242701555916,0.05,0.0324757298444084
SEC1317061B,HINDALCO,Hindalco Industries Limited,Basic Materials,17.0,0.8519455252918289,0.0210850195258961,1024.0999755859375,2295858389466.432,6406327533.871887,2026-06-12,1.0.0,0.0210850195258961,0.05,0.028914980474103902
SEC59D35B99,TATASTEEL,Tata Steel Limited,Basic Materials,9.0,0.8655642023346303,0.0217621045600958,197.4499969482422,2461693342554.2534,6622054083.466818,2026-06-12,1.0.0,0.0217621045600958,0.04999999999999999,0.02823789543990419
SEC458C7E09,BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,16.0,0.8525193798449612,0.0232284236961244,10073.0,2812545623043.0,3390252519.075879,2026-06-12,1.0.0,0.0232284236961244,0.04999999999999999,0.02677157630387559
SEC98541475,ATHERENERG,Ather Energy Limited,Consumer Cyclical,10.0,0.8651162790697674,0.0221580263123085,1034.1500244140625,401338390830.5786,4101349137.936835,2026-06-12,1.0.0,0.0221580263123085,0.049999999999999975,0.027841973687691476
SEC262E8C48,KEI,KEI Industries Limited,Industrials,15.0,0.8534700315457413,0.0204306940716267,5309.5,507782560342.5,1303086957.135327,2026-06-12,1.0.0,0.0204306940716267,0.049999999999999975,0.029569305928373275
SEC7FE71EB3,BHARATFORG,Bharat Forge Limited,Consumer Cyclical,1.0,0.9193798449612404,0.0230926270847158,1941.199951171875,921802679687.1144,1752069513.2322204,2026-06-12,1.0.0,0.0230926270847158,0.049999999999999975,0.026907372915284174
SECACB85887,SYRMA,Syrma SGS Technology Limited,Technology,14.0,0.8542452830188679,0.0155099013018624,1257.5,243709111494.88354,1300762504.6022766,2026-06-12,1.0.0,0.0155099013018624,0.04999999999999997,0.03449009869813757
