Symbol,Current_Weight,Target_Weight,Holding_Status,Weight_Change
SAIL,0.0199604255004073,0.01935685979463265,RETAIN,-0.0006035657057746509
AETHER,0.0134897409599067,0.0,EXIT,-0.0134897409599067
ADANIGREEN,0.0,0.024244047044785774,NEW,0.024244047044785774
BAJAJ-AUTO,0.0232284236961244,0.022526039874602263,RETAIN,-0.0007023838215221359
POWERINDIA,0.0236957234556814,0.019395237635828618,RETAIN,-0.004300485819852783
FEDERALBNK,0.0206536566336229,0.024244047044785774,RETAIN,0.0035903904111628734
HFCL,0.0,0.024244047044785774,NEW,0.024244047044785774
PHOENIXLTD,0.0209886656963214,0.0,EXIT,-0.0209886656963214
TORNTPHARM,0.0222795389954635,0.0,EXIT,-0.0222795389954635
KEI,0.0204306940716267,0.019395237635828618,RETAIN,-0.0010354564357980822
KIRLOSENG,0.0165293663568896,0.019395237635828618,RETAIN,0.0028658712789390167
POLYCAB,0.0240201377534145,0.019395237635828618,RETAIN,-0.004624900117585883
BSE,0.0216850799531143,0.024244047044785774,RETAIN,0.0025589670916714748
GPIL,0.0160770207770766,0.024244047044785774,RETAIN,0.008167026267709175
APARINDS,0.0210343348602527,0.019395237635828618,RETAIN,-0.0016390972244240826
CGPOWER,0.022426706882935,0.019395237635828618,RETAIN,-0.0030314692471063824
INDUSTOWER,0.0225853370204692,0.0,EXIT,-0.0225853370204692
GAYAPROJ,0.0,0.019395237635828618,NEW,0.019395237635828618
TATASTEEL,0.0217621045600958,0.0,EXIT,-0.0217621045600958
CRAFTSMAN,0.0162708392703216,0.0,EXIT,-0.0162708392703216
APOLLOHOSP,0.0229921229331528,0.022296884402034173,RETAIN,-0.0006952385311186256
MAHABANK,0.0137942996732158,0.024244047044785774,RETAIN,0.010449747371569973
TITAN,0.0224050247823875,0.0,EXIT,-0.0224050247823875
LAURUSLABS,0.0214305474044527,0.024244047044785774,RETAIN,0.002813499640333072
SBIN,0.0232725996848592,0.0,EXIT,-0.0232725996848592
NESTLEIND,0.0224387385352618,0.0,EXIT,-0.0224387385352618
GRASIM,0.0199667510582008,0.0,EXIT,-0.0199667510582008
STLTECH,0.0,0.024244047044785774,NEW,0.024244047044785774
NYKAA,0.021201270135853,0.024244047044785774,RETAIN,0.0030427769089327733
ANANDRATHI,0.0123609172207041,0.024244047044785774,RETAIN,0.011883129824081674
WELCORP,0.0175242701555916,0.024244047044785774,RETAIN,0.006719776889194173
ACUTAAS,0.0174012092902968,0.024244047044785774,RETAIN,0.006842837754488972
NATIONALUM,0.019846743819672,0.0,EXIT,-0.019846743819672
NAVINFLUOR,0.0177534669117742,0.024244047044785774,RETAIN,0.006490580133011573
ADANIPORTS,0.0239763587470696,0.019395237635828618,RETAIN,-0.004581121111240982
MOTHERSON,0.0226576847906215,0.024244047044785774,RETAIN,0.0015863622541642738
BHARATFORG,0.0230926270847158,0.024244047044785774,RETAIN,0.0011514199600699722
HINDALCO,0.0210850195258961,0.024244047044785774,RETAIN,0.0031590275188896726
SONACOMS,0.0182001045682118,0.024244047044785774,RETAIN,0.006043942476573975
HONASA,0.0,0.024244047044785774,NEW,0.024244047044785774
UFBL,0.0,0.024244047044785774,NEW,0.024244047044785774
BHEL,0.0229016950155881,0.019395237635828618,RETAIN,-0.003506457379759482
SYRMA,0.0155099013018624,0.024244047044785774,RETAIN,0.008734145742923374
CUPID,0.0186212549529847,0.024244047044785774,RETAIN,0.005622792091801075
HINDCOPPER,0.0184223106968242,0.0,EXIT,-0.0184223106968242
JINDALSTEL,0.0179788581627996,0.0,EXIT,-0.0179788581627996
RRKABEL,0.0181104834288384,0.019395237635828618,RETAIN,0.0012847542069902192
JNKINDIA,0.0,0.019395237635828618,NEW,0.019395237635828618
BELRISE,0.0177010186579581,0.024244047044785774,RETAIN,0.006543028386827673
JSWSTEEL,0.0213423248739583,0.0,EXIT,-0.0213423248739583
BALAMINES,0.0,0.024244047044785774,NEW,0.024244047044785774
ADANIENSOL,0.0182435733252108,0.038790475271657236,RETAIN,0.020546901946446438
PAISALO,0.0,0.038790475271657236,NEW,0.038790475271657236
SHYAMMETL,0.0159280904807013,0.0,EXIT,-0.0159280904807013
GVT&D,0.0226551674540102,0.019395237635828618,RETAIN,-0.003259929818181583
ATHERENERG,0.0221580263123085,0.024244047044785774,RETAIN,0.002086020732477274
MARICO,0.0188589092234991,0.0,EXIT,-0.0188589092234991
GVPIL,0.0,0.019395237635828618,NEW,0.019395237635828618
WAAREEENER,0.0197982093465519,0.0,EXIT,-0.0197982093465519
ADANIPOWER,0.0232526240012415,0.024244047044785774,RETAIN,0.000991423043544274
