Symbol,First_Date,Last_Date,History_Days,Last_Close
NSLNISP.NS,2023-02-20,2026-06-19,822,46.880001068115234
NTPC.NS,2020-01-01,2026-06-19,1603,365.79998779296875
NTPCGREEN.NS,2024-11-27,2026-06-19,389,96.04000091552734
NUCLEUS.NS,2020-01-01,2026-06-19,1602,785.3499755859375
NURECA.NS,2021-02-25,2026-06-19,1313,237.0500030517578
NUVAMA.NS,2023-09-26,2026-06-19,675,1739.5999755859375
NUVOCO.NS,2021-08-23,2026-06-19,1195,312.75
NYKAA.NS,2021-11-10,2026-06-19,1141,302.29998779296875
OAL.NS,2020-04-15,2026-06-19,1533,343.29998779296875
OBEROIRLTY.NS,2020-01-01,2026-06-19,1602,1683.5
OCCLLTD.NS,2024-10-29,2026-06-19,405,129.0500030517578
OFSS.NS,2020-01-01,2026-06-19,1603,9638.5
OIL.NS,2020-01-01,2026-06-19,1603,418.1499938964844
OLAELEC.NS,2024-08-09,2026-06-19,463,42.25
OLECTRA.NS,2020-01-01,2026-06-19,1603,1520.300048828125
OMAXAUTO.NS,2020-01-01,2026-06-19,1602,226.25999450683594
OMAXE.NS,2020-01-01,2026-06-19,1602,78.1500015258789
OMINFRAL.NS,2020-01-01,2026-06-19,1602,87.97000122070312
ONEPOINT.NS,2020-01-01,2026-06-19,1602,58.31999969482422
ONESOURCE.NS,2025-01-24,2026-06-19,348,1608.5999755859375
ONGC.NS,2020-01-01,2026-06-19,1603,246.25
ONMOBILE.NS,2020-01-01,2026-06-19,1603,52.529998779296875
ONWARDTEC.NS,2020-01-01,2026-06-19,1601,256.79998779296875
OPTIEMUS.NS,2020-01-01,2026-06-19,1602,440.8500061035156
ORBTEXP.NS,2020-01-01,2026-06-19,1601,216.97999572753906
ORCHPHARMA.NS,2020-01-01,2026-06-19,1603,979.0499877929688
ORICONENT.NS,2020-01-01,2026-06-19,1602,56.41999816894531
ORIENTCEM.NS,2020-01-01,2026-06-19,1602,135.50999450683594
ORIENTELEC.NS,2020-01-01,2026-06-19,1603,180.52999877929688
ORIENTHOT.NS,2020-01-01,2026-06-19,1603,121.30999755859375
ORIENTTECH.NS,2024-08-28,2026-06-19,451,254.6999969482422
ORISSAMINE.NS,2020-01-01,2026-06-19,1603,4118.2001953125
OSWALGREEN.NS,2020-01-01,2026-06-19,1603,23.81999969482422
PAGEIND.NS,2020-01-01,2026-06-19,1601,39975.0
PAISALO.NS,2020-01-01,2026-06-19,1603,58.810001373291016
PAKKA.NS,2023-07-11,2026-06-19,727,80.87999725341797
PANACEABIO.NS,2020-01-01,2026-06-19,1603,536.4000244140625
PANAMAPET.NS,2020-01-01,2026-06-19,1602,483.25
PARACABLES.NS,2020-01-01,2026-06-19,1603,73.05999755859375
PARADEEP.NS,2022-05-27,2026-06-19,1006,136.22000122070312
PARAGMILK.NS,2020-01-01,2026-06-19,1603,229.61000061035156
PARAS.NS,2021-10-01,2026-06-19,1167,1408.6500244140625
PARKHOTELS.NS,2024-02-12,2026-06-19,583,120.98999786376953
PASUPTAC.NS,2021-10-12,2026-06-19,1159,67.44999694824219
PATANJALI.NS,2020-01-01,2026-06-19,1603,421.70001220703125
PATELENG.NS,2020-01-01,2026-06-19,1603,31.020000457763672
PAYTM.NS,2021-11-18,2026-06-19,1135,1090.0999755859375
PCBL.NS,2020-01-01,2026-06-19,1603,309.5
PDMJEPAPER.NS,2020-01-01,2026-06-19,1602,82.7300033569336
PDSL.NS,2020-01-01,2026-06-19,1602,338.75
PENIND.NS,2020-01-01,2026-06-19,1602,160.89999389648438
PERSISTENT.NS,2020-01-01,2026-06-19,1603,4829.0
PETRONET.NS,2020-01-01,2026-06-19,1603,288.70001220703125
PFC.NS,2020-01-01,2026-06-19,1603,431.0
PFIZER.NS,2020-01-01,2026-06-19,1602,4533.7001953125
PFOCUS.NS,2020-01-01,2026-06-19,1602,231.72000122070312
PFS.NS,2020-01-01,2026-06-19,1603,31.049999237060547
PGEL.NS,2020-01-01,2026-06-19,1603,560.5
PGHH.NS,2020-01-01,2026-06-19,1602,9274.5
PGHL.NS,2020-01-01,2026-06-19,1601,6244.0
PGIL.NS,2020-01-01,2026-06-19,1602,1793.5
PHOENIXLTD.NS,2020-01-01,2026-06-19,1601,1881.0999755859375
PIDILITIND.NS,2020-01-01,2026-06-19,1603,1579.9000244140625
PIIND.NS,2020-01-01,2026-06-19,1603,2803.60009765625
PILANIINVS.NS,2020-01-01,2026-06-19,1601,4424.39990234375
PITTIENG.NS,2020-01-01,2026-06-19,1601,1009.4500122070312
PIXTRANS.NS,2022-04-28,2026-06-19,1024,1640.5999755859375
PLATIND.NS,2024-03-05,2026-06-19,567,228.3000030517578
PNB.NS,2020-01-01,2026-06-19,1603,108.7699966430664
PNBHOUSING.NS,2020-01-01,2026-06-19,1603,1003.0
PNCINFRA.NS,2020-01-01,2026-06-19,1603,226.00999450683594
PNGJL.NS,2024-09-17,2026-06-19,437,552.7999877929688
POCL.NS,2020-01-01,2026-06-19,1602,1343.0
POKARNA.NS,2020-01-01,2026-06-19,1603,951.2999877929688
POLICYBZR.NS,2021-11-15,2026-06-19,1137,1636.699951171875
POLYCAB.NS,2020-01-01,2026-06-19,1603,10083.0
POLYMED.NS,2020-01-01,2026-06-19,1603,1563.300048828125
POLYPLEX.NS,2020-01-01,2026-06-19,1603,951.0999755859375
PONNIERODE.NS,2020-01-01,2026-06-19,1601,315.20001220703125
POONAWALLA.NS,2020-01-01,2026-06-19,1603,426.70001220703125
POWERGRID.NS,2020-01-01,2026-06-19,1603,292.25
POWERINDIA.NS,2020-03-30,2026-06-19,1542,36880.0
POWERMECH.NS,2020-01-01,2026-06-19,1602,2839.89990234375
PPL.NS,2020-01-01,2026-06-19,1602,259.6300048828125
PPLPHARMA.NS,2022-10-19,2026-06-19,907,158.89999389648438
PRABHA.NS,2025-03-19,2026-06-19,310,156.5
PRAJIND.NS,2020-01-01,2026-06-19,1603,340.5
PRAKASH.NS,2020-01-01,2026-06-19,1603,145.60000610351562
PRECAM.NS,2020-01-01,2026-06-19,1603,152.32000732421875
PRECWIRE.NS,2020-01-01,2026-06-19,1603,408.25
PREMEXPLN.NS,2020-01-01,2026-06-19,1603,775.2999877929688
PREMIERENE.NS,2024-09-03,2026-06-19,447,1079.5999755859375
PREMIERPOL.NS,2020-01-01,2026-06-19,1602,63.33000183105469
PRESTIGE.NS,2020-01-01,2026-06-19,1603,1497.300048828125
PRICOLLTD.NS,2020-01-01,2026-06-19,1602,559.1500244140625
PRIMESECU.NS,2020-01-01,2026-06-19,1601,299.8999938964844
PRINCEPIPE.NS,2020-01-01,2026-06-19,1602,281.95001220703125
PRIVISCL.NS,2020-01-01,2026-06-19,1602,3493.89990234375
