Symbol,Yahoo_Symbol,Company_Name,Sector,Industry,Last_Updated,Market_Cap,Last_Close,Avg_Volume,ADV,History_Days,Missing_Close,Exchange,Country,Currency,Asset_Class,Metadata_Source,Market_Cap_Category,Liquidity_Category
ITC,ITC.NS,ITC Limited,Consumer Defensive,Tobacco,2026-06-20,3564633711719.5,284.6000061035156,16949983.717514124,4823965469.45901,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
NTPC,NTPC.NS,NTPC Limited,Utilities,Utilities - Regulated Electric,2026-06-20,3423892871099.1533,354.1499938964844,14077371.014527844,4985500858.873582,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
ULTRACEMCO,ULTRACEMCO.NS,UltraTech Cement Limited,Basic Materials,Building Materials,2026-06-20,3228217574490.0,11081.0,348329.2736077482,3859836680.847458,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
JSWSTEEL,JSWSTEEL.NS,JSW Steel Limited,Basic Materials,Steel,2026-06-20,3165996605790.6978,1297.0999755859375,2880873.506860371,3736780955.4147615,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
ONGC,ONGC.NS,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,2026-06-20,3094748684676.0,245.6499938964844,16882597.543987088,4147209983.6372304,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
HCLTECH,HCLTECH.NS,HCL Technologies Limited,Technology,Information Technology Services,2026-06-20,2995283752398.0,1108.4000244140625,3251656.800645682,3604136477.2218266,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
BEL,BEL.NS,Bharat Electronics Limited,Industrials,Aerospace & Defense,2026-06-20,2957170936041.2515,405.75,21974482.926553678,8916146447.449154,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
BAJAJ-AUTO,BAJAJ-AUTO.NS,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,2026-06-20,2812545623043.0,10073.0,427876.44390637614,4309999419.468926,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
HAL,HAL.NS,Hindustan Aeronautics Limited,Industrials,Aerospace & Defense,2026-06-20,2798488987500.0,4192.60009765625,1951307.372881356,8181051482.099733,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
NESTLEIND,NESTLEIND.NS,Nestlé India Limited,Consumer Defensive,Packaged Foods,2026-06-20,2739749080011.9727,1383.0,1477711.7336561745,2043675327.646489,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
COALINDIA,COALINDIA.NS,Coal India Limited,Energy,Thermal Coal,2026-06-20,2723309610086.991,444.25,10756848.411622277,4778729906.863196,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,2026-06-20,2658958766870.2817,1684.0,2010238.6933010493,3385241959.518967,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
POWERGRID,POWERGRID.NS,Power Grid Corporation of India Limited,Utilities,Utilities - Regulated Electric,2026-06-20,2641836401254.1885,284.29998779296875,15157405.619854722,4309250232.697773,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
ASIANPAINT,ASIANPAINT.NS,Asian Paints Limited,Basic Materials,Specialty Chemicals,2026-06-20,2621316866630.393,2746.800048828125,1185269.731234867,3255698955.630431,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
DMART,DMART.NS,Avenue Supermarts Limited,Consumer Defensive,Discount Stores,2026-06-20,2597376186068.2754,4000.199951171875,477626.1646489104,1910600160.5069811,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
TATASTEEL,TATASTEEL.NS,Tata Steel Limited,Basic Materials,Steel,2026-06-20,2461693342554.2534,197.4499969482422,51432425.06053269,10155332171.242874,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Limited,Utilities,Utilities - Renewable,2026-06-20,2422666769202.5234,1483.0999755859375,2523670.283292978,3742855335.538772,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
HINDZINC,HINDZINC.NS,Hindustan Zinc Limited,Basic Materials,Other Industrial Metals & Mining,2026-06-20,2358995546121.399,559.7999877929688,2842294.556900726,1591116458.257048,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
