Symbol,Yahoo_Symbol,Company_Name,Sector,Industry,Market_Cap
AMDIND,AMDIND.NS,,,,0
AMEYA,AMEYA.NS,,,,0
AMIABLE,AMIABLE.NS,,,,0
AMIRCHAND,AMIRCHAND.NS,,,,0
AMJLAND,AMJLAND.NS,,,,0
AMNPLST,AMNPLST.NS,,,,0
AMRUTANJAN,AMRUTANJAN.NS,,,,0
ANANDRATHI,ANANDRATHI.NS,,,,0
ANANTRAJ,ANANTRAJ.NS,,,,0
ANDHRAPAP,ANDHRAPAP.NS,,,,0
ANDHRSUGAR,ANDHRSUGAR.NS,,,,0
ANGELONE,ANGELONE.NS,,,,0
ANIKINDS,ANIKINDS.NS,,,,0
ANKITMETAL,ANKITMETAL.NS,,,,0
ANLON,ANLON.NS,,,,0
ANMOL,ANMOL.NS,,,,0
ANNAPURNA,ANNAPURNA.NS,,,,0
ANSALAPI,ANSALAPI.NS,,,,0
ANTELOPUS,ANTELOPUS.NS,,,,0
ANTGRAPHIC,ANTGRAPHIC.NS,,,,0
ANTHEM,ANTHEM.NS,,,,0
ANUHPHR,ANUHPHR.NS,,,,0
ANUP,ANUP.NS,,,,0
ANURAS,ANURAS.NS,,,,0
AONETMMQ50,AONETMMQ50.NS,,,,0
AONETOTAL,AONETOTAL.NS,,,,0
APARINDS,APARINDS.NS,,,,0
APCL,APCL.NS,,,,0
APCOTEXIND,APCOTEXIND.NS,,,,0
APEX,APEX.NS,,,,0
APLAPOLLO,APLAPOLLO.NS,,,,0
APLLTD,APLLTD.NS,,,,0
APOLLO,APOLLO.NS,,,,0
APOLLOHOSP,APOLLOHOSP.NS,,,,0
APOLLOPIPE,APOLLOPIPE.NS,,,,0
APOLLOTYRE,APOLLOTYRE.NS,,,,0
APOLSINHOT,APOLSINHOT.NS,,,,0
APS,APS.NS,,,,0
APTECHT,APTECHT.NS,,,,0
APTUS,APTUS.NS,,,,0
AQYLON,AQYLON.NS,,,,0
ARABIAN,ARABIAN.NS,,,,0
ARCHIDPLY,ARCHIDPLY.NS,,,,0
ARCHIES,ARCHIES.NS,,,,0
ARE&M,ARE&M.NS,,,,0
ARENTERP,ARENTERP.NS,,,,0
ARFIN,ARFIN.NS,,,,0
ARIES,ARIES.NS,,,,0
ARIHANT,ARIHANT.NS,,,,0
ARIHANTACA,ARIHANTACA.NS,,,,0
ARIHANTCAP,ARIHANTCAP.NS,,,,0
ARIHANTSUP,ARIHANTSUP.NS,,,,0
ARIS,ARIS.NS,,,,0
ARISTO,ARISTO.NS,,,,0
ARKADE,ARKADE.NS,,,,0
ARMANFIN,ARMANFIN.NS,,,,0
AROGRANITE,AROGRANITE.NS,,,,0
ARROWGREEN,ARROWGREEN.NS,,,,0
ARSHIYA,ARSHIYA.NS,,,,0
ARSSBL,ARSSBL.NS,,,,0
ARTEMISMED,ARTEMISMED.NS,,,,0
ARTNIRMAN,ARTNIRMAN.NS,,,,0
ARVEE,ARVEE.NS,,,,0
ARVIND,ARVIND.NS,,,,0
ARVINDFASN,ARVINDFASN.NS,,,,0
ARVSMART,ARVSMART.NS,,,,0
ASAHIINDIA,ASAHIINDIA.NS,,,,0
ASAHISONG,ASAHISONG.NS,,,,0
ASAL,ASAL.NS,,,,0
ASALCBR,ASALCBR.NS,,,,0
ASCOM,ASCOM.NS,,,,0
ASHAPURMIN,ASHAPURMIN.NS,,,,0
ASHIANA,ASHIANA.NS,,,,0
ASHIKA,ASHIKA.NS,,,,0
ASHIMASYN,ASHIMASYN.NS,,,,0
ASHOKA,ASHOKA.NS,,,,0
ASHOKAMET,ASHOKAMET.NS,,,,0
ASHOKLEY,ASHOKLEY.NS,,,,0
ASIANENE,ASIANENE.NS,,,,0
ASIANHOTNR,ASIANHOTNR.NS,,,,0
ASIANPAINT,ASIANPAINT.NS,,,,0
ASIANTILES,ASIANTILES.NS,,,,0
ASKAUTOLTD,ASKAUTOLTD.NS,,,,0
ASMS,ASMS.NS,,,,0
ASPINWALL,ASPINWALL.NS,,,,0
ASPIRE,ASPIRE.NS,,,,0
ASTAR,ASTAR.NS,,,,0
ASTEC,ASTEC.NS,,,,0
ASTERDM,ASTERDM.NS,,,,0
ASTRAL,ASTRAL.NS,,,,0
ASTRAMICRO,ASTRAMICRO.NS,,,,0
ASTRAZEN,ASTRAZEN.NS,,,,0
ASTRON,ASTRON.NS,,,,0
ATALREAL,ATALREAL.NS,,,,0
ATAM,ATAM.NS,,,,0
ATGL,ATGL.NS,,,,0
ATHERENERG,ATHERENERG.NS,,,,0
ATL,ATL.NS,,,,0
ATLANTAA,ATLANTAA.NS,,,,0
ATLANTAELE,ATLANTAELE.NS,,,,0
ATLASCYCLE,ATLASCYCLE.NS,,,,0
ATMASTCO,ATMASTCO.NS,,,,0
ATUL,ATUL.NS,,,,0
ATULAUTO,ATULAUTO.NS,,,,0
AUBANK,AUBANK.NS,,,,0
AURIGROW,AURIGROW.NS,,,,0
AURIONPRO,AURIONPRO.NS,,,,0
AUROIMPEX,AUROIMPEX.NS,,,,0
AUROPHARMA,AUROPHARMA.NS,,,,0
AURUM,AURUM.NS,,,,0
AUSOMENT,AUSOMENT.NS,,,,0
AUTOAXLES,AUTOAXLES.NS,,,,0
AUTOIND,AUTOIND.NS,,,,0
AVADHSUGAR,AVADHSUGAR.NS,,,,0
AVAILFC,AVAILFC.NS,,,,0
AVALON,AVALON.NS,,,,0
AVANTEL,AVANTEL.NS,,,,0
AVANTIFEED,AVANTIFEED.NS,,,,0
AVG,AVG.NS,,,,0
AVL,AVL.NS,,,,0
AVONMORE,AVONMORE.NS,,,,0
AVPINFRA,AVPINFRA.NS,,,,0
AVROIND,AVROIND.NS,,,,0
AVSL,AVSL.NS,,,,0
AVTNPL,AVTNPL.NS,,,,0
AWFIS,AWFIS.NS,,,,0
AWHCL,AWHCL.NS,,,,0
AWL,AWL.NS,,,,0
AXISBANK,AXISBANK.NS,,,,0
AXISCADES,AXISCADES.NS,,,,0
AXITA,AXITA.NS,,,,0
AYE,AYE.NS,,,,0
AYMSYNTEX,AYMSYNTEX.NS,,,,0
AZAD,AZAD.NS,,,,0
BABAFP,BABAFP.NS,,,,0
BAFNAPH,BAFNAPH.NS,,,,0
BAGFILMS,BAGFILMS.NS,,,,0
BAHETI,BAHETI.NS,,,,0
BAIDFIN,BAIDFIN.NS,,,,0
BAJAJ-AUTO,BAJAJ-AUTO.NS,,,,0
BAJAJCON,BAJAJCON.NS,,,,0
BAJAJELEC,BAJAJELEC.NS,,,,0
BAJAJFINSV,BAJAJFINSV.NS,,,,0
BAJAJHCARE,BAJAJHCARE.NS,,,,0
BAJAJHFL,BAJAJHFL.NS,,,,0
BAJAJHIND,BAJAJHIND.NS,,,,0
BAJAJHLDNG,BAJAJHLDNG.NS,,,,0
BAJAJINDEF,BAJAJINDEF.NS,,,,0
BAJAJST,BAJAJST.NS,,,,0
BAJEL,BAJEL.NS,,,,0
BAJFINANCE,BAJFINANCE.NS,,,,0
BALAJEE,BALAJEE.NS,,,,0
BALAJITELE,BALAJITELE.NS,,,,0
BALAMINES,BALAMINES.NS,,,,0
BALAXI,BALAXI.NS,,,,0
BALKRISHNA,BALKRISHNA.NS,,,,0
