Symbol,Company_Name,Sector,Signal,Signal_Score,In_Portfolio
PRECAM,Precision Camshafts Limited,Consumer Cyclical,REDUCE,37.54672897196262,False
NDTV,New Delhi Television Limited,Communication Services,REDUCE,37.53004005340454,False
LYKALABS,Lyka Labs Limited,Healthcare,REDUCE,37.526702269692926,False
JKCEMENT,J.K. Cement Limited,Basic Materials,REDUCE,37.42990654205608,False
PIIND,PI Industries Limited,Basic Materials,REDUCE,37.41989319092123,False
MOIL,MOIL Limited,Basic Materials,REDUCE,37.41989319092123,False
JAIBALAJI,Jai Balaji Industries Limited,Basic Materials,REDUCE,37.41989319092123,False
SPIC,Southern Petrochemical Industries Corporation Limited,Basic Materials,REDUCE,37.37650200267023,False
AFCONS,AFCONS INFRASTRUCTURE LTD,Industrials,REDUCE,37.36982643524699,False
IKIO,IKIO Technologies Limited,Technology,REDUCE,37.25634178905207,False
AFFLE,Affle 3i Limited,Communication Services,REDUCE,37.23965287049399,False
COCHINSHIP,Cochin Shipyard Limited,Industrials,REDUCE,37.22963951935915,False
MONTECARLO,Monte Carlo Fashions Limited,Consumer Cyclical,REDUCE,37.21628838451269,False
SESHAPAPER,Seshasayee Paper and Boards Limited,Basic Materials,REDUCE,37.206275033377835,False
AWHCL,Antony Waste Handling Cell Limited,Industrials,REDUCE,37.189586114819754,False
JUBLCPL,Jubilant Agri and Consumer Products Limited,Basic Materials,REDUCE,37.169559412550065,False
HDFCBANK,HDFC Bank Limited,Financial Services,REDUCE,37.126168224299064,False
MSUMI,Motherson Sumi Wiring India Limited,Consumer Cyclical,REDUCE,37.07610146862483,False
WIPRO,Wipro Limited,Technology,REDUCE,37.05607476635514,False
MAGADSUGAR,Magadh Sugar & Energy Limited,Consumer Defensive,REDUCE,37.04939919893191,False
KKCL,Kewal Kiran Clothing Limited,Consumer Cyclical,REDUCE,37.04606141522029,False
THOMASCOOK,Thomas Cook (India) Limited,Consumer Cyclical,REDUCE,37.04272363150868,False
BLUEDART,Blue Dart Express Limited,Industrials,REDUCE,36.98598130841121,False
PATANJALI,Patanjali Foods Limited,Consumer Defensive,REDUCE,36.98598130841121,False
LODHA,Lodha Developers Limited,Real Estate,REDUCE,36.935914552736975,False
APOLLOTYRE,Apollo Tyres Limited,Consumer Cyclical,REDUCE,36.90587449933245,False
PURVA,Puravankara Limited,Real Estate,REDUCE,36.895861148197596,False
JINDALPHOT,Jindal Photo Limited,Financial Services,REDUCE,36.889185580774374,False
KOTHARIPET,Kothari Petrochemicals Limited,Basic Materials,REDUCE,36.88918558077437,False
SALZERELEC,Salzer Electronics Limited,Industrials,REDUCE,36.8758344459279,False
ELECTCAST,Electrosteel Castings Limited,Industrials,REDUCE,36.85914552736983,False
BSOFT,Birlasoft Limited,Technology,REDUCE,36.83911882510014,False
LAXMIDENTL,LAXMI DENTAL LIMITED,Healthcare,REDUCE,36.8324432576769,False
LAOPALA,La Opala RG Limited,Consumer Cyclical,REDUCE,36.8324432576769,False
LTTS,L&T Technology Services Limited,Technology,REDUCE,36.822429906542055,False
SBFC,SBFC Finance Limited,Financial Services,REDUCE,36.815754339118826,False
MADRASFERT,Madras Fertilizers Limited,Basic Materials,REDUCE,36.81241655540721,False
SUNDARMFIN,Sundaram Finance Limited,Financial Services,REDUCE,36.75901201602136,False
SKFINDIA,SKF India Limited,Industrials,REDUCE,36.71895861148198,False
STARPAPER,Star Paper Mills Limited,Basic Materials,REDUCE,36.66555407209613,False
VINATIORGA,Vinati Organics Limited,Basic Materials,REDUCE,36.66555407209613,False
ETHOSLTD,Ethos Limited,Consumer Cyclical,REDUCE,36.648865153538054,False
HEXT,Hexaware Technologies Limited,Technology,REDUCE,36.62883845126836,False
PROTEAN,Protean eGov Technologies Limited,Technology,REDUCE,36.62883845126836,False
CEATLTD,CEAT Limited,Consumer Cyclical,REDUCE,36.625500667556736,False
ONWARDTEC,Onward Technologies Limited,Technology,REDUCE,36.59879839786382,False
VRLLOG,VRL Logistics Limited,Industrials,REDUCE,36.56875834445928,False
EIMCOELECO,Eimco Elecon (India) Limited,Industrials,REDUCE,36.53204272363151,False
MIRZAINT,Mirza International Limited,Consumer Cyclical,REDUCE,36.47863818424566,False
ACCELYA,Accelya Solutions India Limited,Technology,REDUCE,36.451935914552735,False
FIVESTAR,Five-Star Business Finance Limited,Financial Services,REDUCE,36.401869158878505,False
MEDICO,Medico Remedies Limited,Healthcare,REDUCE,36.39853137516689,False
SANATHAN,SANATHAN TEXTILES LIMITED,Consumer Cyclical,REDUCE,36.388518024032045,False
EXPLEOSOL,Expleo Solutions Limited,Technology,REDUCE,36.37516688918558,False
AARTISURF,Aarti Surfactants Limited,Basic Materials,REDUCE,36.36849132176235,False
MAHSCOOTER,Maharashtra Scooters Ltd.,Financial Services,REDUCE,36.34846461949266,False
SHANKARA,Shankara Building Products Limited,Consumer Cyclical,REDUCE,36.265020026702274,False
GOPAL,Gopal Snacks Limited,Consumer Defensive,REDUCE,36.24499332443258,False
DVL,Dhunseri Ventures Limited,Financial Services,REDUCE,36.22496662216288,False
ATL,Allcargo Terminals Limited,Industrials,REDUCE,36.22496662216288,False
DYCL,Dynamic Cables Limited,Industrials,REDUCE,36.21829105473966,False
ACC,ACC Limited,Basic Materials,REDUCE,36.21495327102804,False
RAMCOCEM,The Ramco Cements Limited,Basic Materials,REDUCE,36.208277703604814,False
JUSTDIAL,Just Dial Limited,Communication Services,REDUCE,36.111481975967955,False
NSIL,Nalwa Sons Investments Limited,Financial Services,REDUCE,36.098130841121495,False
GLOBUSSPR,Globus Spirits Limited,Consumer Defensive,REDUCE,36.08811748998665,False
PLATIND,Platinum Industries Limited,Basic Materials,REDUCE,36.08811748998665,False
ASALCBR,Associated Alcohols & Breweries Limited,Consumer Defensive,REDUCE,36.054739652870495,False
RUCHIRA,Ruchira Papers Limited,Basic Materials,REDUCE,35.95460614152203,False
DDEVPLSTIK,Ddev Plastiks Industries Limited,Basic Materials,REDUCE,35.91455273698264,False
PGEL,PG Electroplast Limited,Technology,REDUCE,35.851134846461946,False
HPL,HPL Electric & Power Limited,Industrials,REDUCE,35.79105473965287,False
MTNL,Mahanagar Telephone Nigam Limited,Communication Services,REDUCE,35.78771695594126,False
TIMETECHNO,Time Technoplast Limited,Consumer Cyclical,REDUCE,35.77436582109479,False
JTEKTINDIA,JTEKT India Limited,Consumer Cyclical,REDUCE,35.764352469959945,False
MANYAVAR,Vedant Fashions Limited,Consumer Cyclical,REDUCE,35.72763684913218,False
