Symbol,Current_Weight,Target_Weight,Trade_Weight,Abs_Trade,Trade_Action,Position_Type
POLYCAB,0.02402013775341455,0.0,-0.02402013775341455,0.02402013775341455,SELL,EXIT
ADANIPORTS,0.02397635874706965,0.0,-0.02397635874706965,0.02397635874706965,SELL,EXIT
POWERINDIA,0.02369572345568145,0.0,-0.02369572345568145,0.02369572345568145,SELL,EXIT
SBIN,0.023272599684859244,0.0,-0.023272599684859244,0.023272599684859244,SELL,EXIT
ADANIPOWER,0.023252624001241545,0.0,-0.023252624001241545,0.023252624001241545,SELL,EXIT
BAJAJ-AUTO,0.023228423696124444,0.0,-0.023228423696124444,0.023228423696124444,SELL,EXIT
BHARATFORG,0.023092627084715846,0.0,-0.023092627084715846,0.023092627084715846,SELL,EXIT
APOLLOHOSP,0.022992122933152843,0.0,-0.022992122933152843,0.022992122933152843,SELL,EXIT
BHEL,0.022901695015588145,0.0,-0.022901695015588145,0.022901695015588145,SELL,EXIT
MOTHERSON,0.022657684790621545,0.0,-0.022657684790621545,0.022657684790621545,SELL,EXIT
GVT&D,0.022655167454010246,0.0,-0.022655167454010246,0.022655167454010246,SELL,EXIT
INDUSTOWER,0.022585337020469245,0.0,-0.022585337020469245,0.022585337020469245,SELL,EXIT
NESTLEIND,0.022438738535261845,0.0,-0.022438738535261845,0.022438738535261845,SELL,EXIT
CGPOWER,0.022426706882935046,0.0,-0.022426706882935046,0.022426706882935046,SELL,EXIT
TITAN,0.022405024782387546,0.0,-0.022405024782387546,0.022405024782387546,SELL,EXIT
TORNTPHARM,0.022279538995463546,0.0,-0.022279538995463546,0.022279538995463546,SELL,EXIT
ATHERENERG,0.022158026312308544,0.0,-0.022158026312308544,0.022158026312308544,SELL,EXIT
TATASTEEL,0.021762104560095846,0.0,-0.021762104560095846,0.021762104560095846,SELL,EXIT
BSE,0.02168507995311434,0.0,-0.02168507995311434,0.02168507995311434,SELL,EXIT
LAURUSLABS,0.021430547404452743,0.0,-0.021430547404452743,0.021430547404452743,SELL,EXIT
JSWSTEEL,0.021342324873958343,0.0,-0.021342324873958343,0.021342324873958343,SELL,EXIT
NYKAA,0.021201270135853042,0.0,-0.021201270135853042,0.021201270135853042,SELL,EXIT
HINDALCO,0.021085019525896143,0.0,-0.021085019525896143,0.021085019525896143,SELL,EXIT
APARINDS,0.021034334860252742,0.0,-0.021034334860252742,0.021034334860252742,SELL,EXIT
PHOENIXLTD,0.02098866569632144,0.0,-0.02098866569632144,0.02098866569632144,SELL,EXIT
FEDERALBNK,0.02065365663362294,0.0,-0.02065365663362294,0.02065365663362294,SELL,EXIT
KEI,0.020430694071626742,0.0,-0.020430694071626742,0.020430694071626742,SELL,EXIT
GRASIM,0.01996675105820084,0.0,-0.01996675105820084,0.01996675105820084,SELL,EXIT
SAIL,0.019960425500407337,0.0,-0.019960425500407337,0.019960425500407337,SELL,EXIT
NATIONALUM,0.01984674381967204,0.0,-0.01984674381967204,0.01984674381967204,SELL,EXIT
WAAREEENER,0.019798209346551937,0.0,-0.019798209346551937,0.019798209346551937,SELL,EXIT
MARICO,0.01885890922349914,0.0,-0.01885890922349914,0.01885890922349914,SELL,EXIT
CUPID,0.018621254952984737,0.0,-0.018621254952984737,0.018621254952984737,SELL,EXIT
HINDCOPPER,0.018422310696824238,0.0,-0.018422310696824238,0.018422310696824238,SELL,EXIT
ADANIENSOL,0.018243573325210836,0.0,-0.018243573325210836,0.018243573325210836,SELL,EXIT
SONACOMS,0.018200104568211833,0.0,-0.018200104568211833,0.018200104568211833,SELL,EXIT
RRKABEL,0.018110483428838434,0.0,-0.018110483428838434,0.018110483428838434,SELL,EXIT
JINDALSTEL,0.017978858162799635,0.0,-0.017978858162799635,0.017978858162799635,SELL,EXIT
NAVINFLUOR,0.017753466911774235,0.0,-0.017753466911774235,0.017753466911774235,SELL,EXIT
BELRISE,0.017701018657958135,0.0,-0.017701018657958135,0.017701018657958135,SELL,EXIT
WELCORP,0.017524270155591635,0.0,-0.017524270155591635,0.017524270155591635,SELL,EXIT
ACUTAAS,0.017401209290296836,0.0,-0.017401209290296836,0.017401209290296836,SELL,EXIT
KIRLOSENG,0.016529366356889636,0.0,-0.016529366356889636,0.016529366356889636,SELL,EXIT
CRAFTSMAN,0.016270839270321632,0.0,-0.016270839270321632,0.016270839270321632,SELL,EXIT
GPIL,0.01607702077707663,0.0,-0.01607702077707663,0.01607702077707663,SELL,EXIT
SHYAMMETL,0.015928090480701332,0.0,-0.015928090480701332,0.015928090480701332,SELL,EXIT
SYRMA,0.01550990130186243,0.0,-0.01550990130186243,0.01550990130186243,SELL,EXIT
MAHABANK,0.013794299673215828,0.0,-0.013794299673215828,0.013794299673215828,SELL,EXIT
AETHER,0.013489740959906727,0.0,-0.013489740959906727,0.013489740959906727,SELL,EXIT
ANANDRATHI,0.012360917220704124,0.0,-0.012360917220704124,0.012360917220704124,SELL,EXIT
