Security_ID,Symbol,Company_Name,Sector,Industry,Last_Close,Market_Cap,Log_Market_Cap,Momentum_1M,Momentum_3M,Momentum_6M,Momentum_12M,Volatility_20D,Volatility_60D,ATR_14,Max_Drawdown_252D,SMA_50,SMA_200,Distance_SMA50,Distance_SMA200,Price_52W_High,Distance_52W_High,ADV_20D,Dollar_Volume,Turnover_Ratio,Factor_Date,Engine_Version
SECDB5ED21A,RELIANCE,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1284.199951171875,17274201318577.5,30.48023525114605,-0.034617235444331484,-0.0733101412008178,-0.16055858997133898,-0.09955487728419077,0.17751737583655458,0.2506361872885734,23.14474451856555,-0.27175751213160115,1345.4933715820312,1417.3876782226562,-0.04555460599414718,-0.09396704169024028,1584.9718017578125,-0.18976479597451923,20897594558.711555,20897594558.711555,15972961.35,2026-06-12,1.0.0
SEC6ED3E973,HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,770.2999877929688,11779119316350.0,30.097349530436198,0.0036481925641287383,-0.074992509405021,-0.22176197485053073,-0.20550341104364922,0.19937012854387123,0.3092010376054563,14.964281354631696,-0.27776683763419574,773.0710021972657,903.3307498168946,-0.0035844241944413824,-0.1472669474064635,1012.9000244140625,-0.2395103472935859,27071768163.59373,27071768163.59373,35864718.95,2026-06-12,1.0.0
SEC3536398B,BHARTIARTL,Bharti Airtel Limited,Communication Services,Telecom Services,1817.0,11056629986929.332,30.034051362782122,-0.04639447007525188,0.008715900042354896,-0.12094823415578138,-0.013413392182199058,0.15422817186252138,0.24128151839108936,34.200003487723215,-0.18768202316914562,1839.6199975585937,1953.0025024414062,-0.012296016345013205,-0.06963764883628798,2162.699951171875,-0.15984646921758838,16385545345.777441,16385545345.777441,8893065.8,2026-06-12,1.0.0
SECABC5313E,ICICIBANK,ICICI Bank Limited,Financial Services,Banks - Regional,1339.5999755859375,9573305787285.0,29.889999694063587,0.07641621180067304,0.05771810152857282,-0.017600469660970175,-0.05127808558447966,0.19570150600051842,0.24725467199516793,25.921465192522323,-0.2232980430768734,1281.7880029296875,1347.4515014648437,0.04510260083891682,-0.005826945066572442,1477.2017822265625,-0.09315031182349376,21452338861.545593,21452338861.545593,16955825.5,2026-06-12,1.0.0
SEC10D35CD2,SBIN,State Bank of India,Financial Services,Banks - Regional,1014.5,9329385306848.637,29.864190245107057,0.053259953429010354,-0.04829847582946245,0.07609940019268269,0.2640431297675674,0.1649426421103073,0.2952104406314916,18.225006103515625,-0.2394412752766395,1011.0622521972656,976.4309408569336,0.003400134655668685,0.03898796888764733,1206.0606689453125,-0.15883170215046505,13916173138.691809,13916173138.691809,14325789.35,2026-06-12,1.0.0
SECB0B6FC80,TCS,Tata Consultancy Services Limited,Technology,Information Technology Services,2153.60009765625,7798787645049.0,29.684989407421657,-0.03586530449145331,-0.10628851033900999,-0.3031224825903981,-0.3536222676777281,0.42023364445410244,0.3318599127604283,69.36429268973214,-0.4972855831037649,2357.520107421875,2772.233538818359,-0.08649767572444023,-0.22315343657006492,3382.21435546875,-0.36325736002685227,12460669867.526196,12460669867.526196,5497534.1,2026-06-12,1.0.0
SEC47F7A3D4,BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,906.2000122070312,5546034873797.011,29.344104351201356,-0.004668021245556986,0.04993632005589399,-0.10303867845564074,-0.045854159297677,0.26201235436573395,0.35358782104850406,21.750008719308035,-0.33362355840996727,912.55,963.6102496337891,-0.006958509443831806,-0.05957827601831345,1094.1500244140625,-0.17177718595553837,8811316370.824093,8811316370.824093,9778081.2,2026-06-12,1.0.0
SECC5626071,LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,4020.0,5464841809297.5,29.32935629098943,0.038440719384470246,0.09134689470665025,0.017028233510471003,0.10312101154263043,0.2013619922566685,0.3213308586813174,70.29281180245536,-0.28877934523189963,3946.4862451171875,3873.4201611328126,0.018627647562123872,0.03784248358544162,4375.3642578125,-0.08121935383504897,7088024244.232788,7088024244.232788,1787781.8,2026-06-12,1.0.0
SEC3300AE36,HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,2163.0,5059844782717.0,29.252356923405053,-0.04805912926613509,0.01221400105247028,-0.06025978803243148,-0.08027360767252534,0.19770604486586857,0.24837754209785445,41.535714285714285,-0.3045577929355058,2210.0839990234376,2352.0144177246093,-0.021304167191944945,-0.0803627802194623,2671.5986328125,-0.19037239597516853,4690859951.773462,4690859951.773462,2179073.0,2026-06-12,1.0.0
SECF63D70F8,LICI,Life Insurance Corporation of India,Financial Services,Insurance - Life,398.04998779296875,5006868025692.711,29.241831690968667,-0.003816616073260226,-0.0006904522830204485,-0.07317077330216637,-0.14860313899223132,0.2439047272931412,0.3121948970402687,8.460715157645089,-0.39175860694253506,402.427001953125,423.7000010681152,-0.01087654192912757,-0.06053814777079247,480.0348815917969,-0.17078945081441999,2382697811.100244,2382697811.100244,5846249.1,2026-06-12,1.0.0
SECBA2E8C5E,INFY,Infosys Limited,Technology,Information Technology Services,1114.800048828125,4524720842451.505,29.14057699890148,0.0178048153924939,-0.10023420168222053,-0.281345515453432,-0.2754641362981801,0.36108955056652087,0.33762973959069525,32.0527445468144,-0.4362125024986081,1182.6533618164062,1388.4850677490235,-0.057373796227211615,-0.19711052374844018,1654.00830078125,-0.3260009346376538,17540014093.072742,17540014093.072742,15050760.4,2026-06-12,1.0.0
SEC5189EE84,SUNPHARMA,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1807.199951171875,4341596628215.0,29.09926328307263,-0.03780215197838788,-0.009916231398706565,0.018728200458891342,0.08060560000887573,0.15103512064445002,0.25392906143607424,31.107151576450892,-0.19128605173775526,1780.4580004882812,1719.2122204589843,0.01501970317539647,0.051179097999547896,1905.800048828125,-0.051736853358188895,4854277302.598303,4854277302.598303,2671038.45,2026-06-12,1.0.0
SEC23029172,ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,220.47000122070312,4205798997590.7886,29.067485402621262,-0.003885603412265848,0.4785728678039962,0.561623549074767,0.8494254082199704,0.3954793030590997,0.386219957637859,7.751427786690848,-0.6778034585059722,214.71160095214844,162.25910022735596,0.02681923213752202,0.35875276586510463,248.91000366210938,-0.11425817372938141,8701394964.536728,8701394964.536728,37328442.8,2026-06-12,1.0.0
SEC69C34B0A,AXISBANK,Axis Bank Limited,Financial Services,Banks - Regional,1349.800048828125,4179866654206.567,29.061300461048848,0.08435089643420945,0.09339817645048609,0.055685964806591715,0.0958416819665755,0.1939631215629783,0.28937741204522954,26.035714285714285,-0.2802702662846881,1294.4060009765626,1252.086001586914,0.04279495599508221,0.07804100286830651,1403.0,-0.03791871074260511,8679716365.34673,8679716365.34673,6782903.6,2026-06-12,1.0.0
SECD0A85045,MARUTI,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,13365.0,4169606936388.0,29.058842887437525,0.010891763104152519,0.027207747290753925,-0.16567825706972972,0.07904587208044034,0.15463166425472738,0.2595354578006727,267.85714285714283,-0.2883414295628036,13217.9,14879.3,0.011128848001573655,-0.10177226079183832,17292.0,-0.22709923664122134,4718134342.4,4718134342.4,360635.8,2026-06-12,1.0.0
SEC6ACA80F1,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,1804.0999755859375,4125469104629.799,29.048200851583793,0.005013648332908183,0.29651453509589465,0.20425873105052084,0.2300700421101607,0.156122326279746,0.31552289021384167,38.107151576450896,-0.5233702489921606,1686.8200073242188,1505.9565020751952,0.06952725705913254,0.19797615209994657,1826.4000244140625,-0.012209838222751457,3373669639.0795164,3373669639.0795164,1871410.25,2026-06-12,1.0.0
SEC7850A2C2,KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,403.45001220703125,3987537737746.596,29.014195048006414,0.04237185100451368,0.07500672882939519,-0.05271186196567457,-0.06114273953936078,0.20759768576364196,0.2414391702538512,7.867856706891741,-0.2994389800786392,379.99299987792966,405.6502508544922,0.061730116966988824,-0.005423979506548271,445.3465270996094,-0.09407621333759109,5491612031.47521,5491612031.47521,14265530.85,2026-06-12,1.0.0
SECFF5B2699,ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,2920.199951171875,3787316140402.608,28.962678741797657,0.07518407627830448,0.45864133425168574,0.32040143887973493,0.11807714652005918,0.3054093534464421,0.4146223033805787,82.39995465959821,-0.7134659815505571,2538.3139965820315,2335.1729583740234,0.15044866596649276,0.2505283348284424,3048.199951171875,-0.041991995948556626,6671811556.09524,6671811556.09524,2297002.45,2026-06-12,1.0.0
SEC8084428B,TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,4124.0,3657287606980.0,28.927742897609075,-0.010817705643863973,-0.0013560871570659216,0.07236655286726679,0.17371635855973921,0.2282593090211035,0.33858544961240533,93.89280482700893,-0.2862777689891812,4265.436025390625,3982.891513671875,-0.033158632446649516,0.03542865424371944,4525.89990234375,-0.08879999801489757,3426222277.4719973,3426222277.4719973,829804.0,2026-06-12,1.0.0
SEC74B4A6F9,M&M,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,3032.800048828125,3604087935396.0,28.91308985476544,-0.028913594186715685,0.0005278759837770153,-0.164517892884814,-0.0033689707301813865,0.2113665180993658,0.3409457628929783,72.37855747767857,-0.28090183738384467,3119.188017578125,3417.838508300781,-0.027695659339277423,-0.11265554488239482,3802.39990234375,-0.2023984518412315,8716613396.70641,8716613396.70641,2869249.35,2026-06-12,1.0.0
SECB4F1594C,ITC,ITC Limited,Consumer Defensive,Tobacco,284.6000061035156,3564633711719.5,28.902082418855382,-0.05524825106249165,-0.03862727973348934,-0.2596291831651806,-0.3009824860594106,0.18433037528677454,0.1995502796191366,5.200893292042346,-0.4029519383051249,293.7734582519531,339.7529899597168,-0.031226279606818452,-0.16233259304867464,407.14288330078125,-0.3009824860594106,5483121454.811528,5483121454.811528,19013139.2,2026-06-12,1.0.0
SECF3AF7C83,NTPC,NTPC Limited,Utilities,Utilities - Regulated Electric,354.1499938964844,3423892871099.1533,28.8617992860723,-0.10398483517651014,-0.09320188204891222,0.10952657673265254,0.07162848225625851,0.20570107409207783,0.20205468017716968,8.721429007393974,-0.32302301818800483,386.04599853515623,352.6550230407715,-0.08262229050346492,0.004239187755848528,410.20001220703125,-0.13664070366301695,4133620396.151187,4133620396.151187,11031568.5,2026-06-12,1.0.0
SEC4E2D95D7,ULTRACEMCO,UltraTech Cement Limited,Basic Materials,Building Materials,11081.0,3228217574490.0,28.802951266323184,-0.03534430225472274,-0.0007214356569573699,-0.020853583105063134,-0.02104829878371095,0.16996225127844292,0.29319956173705763,210.5,-0.3697019341503889,11538.02,11941.65,-0.03960991573944228,-0.07207127993200269,13052.0,-0.1510113392583512,4130346219.8,4130346219.8,366375.7,2026-06-12,1.0.0
SECE38F61AD,JSWSTEEL,JSW Steel Limited,Basic Materials,Steel,1297.0999755859375,3165996605790.6978,28.783489005305523,0.01431023307715873,0.10617431570198388,0.18262209868774426,0.29657348001937445,0.1680333851513237,0.25427051441491993,26.335728236607142,-0.31177956908548643,1262.6080053710937,1184.897503051758,0.027318035422012388,0.09469382140243954,1312.9000244140625,-0.012034464570275571,2056179374.2716308,2056179374.2716308,1598094.95,2026-06-12,1.0.0
SECB56AA8A0,ONGC,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated,245.64999389648438,3094748684676.0,28.76072781834039,-0.17938871258436428,-0.09203472563280413,0.05073573740858239,0.058303630363470305,0.2420553796405437,0.2779228304260742,6.771429879324777,-0.35303558748579345,282.6729974365234,253.42661514282227,-0.13097467347709035,-0.030685890043377073,301.3999938964844,-0.18497014309544846,4187983575.7932253,4187983575.7932253,15455442.5,2026-06-12,1.0.0
SEC1F404E6B,HCLTECH,HCL Technologies Limited,Technology,Information Technology Services,1108.4000244140625,2995283752398.0,28.728060085044277,-0.021366724080455146,-0.16823488060660874,-0.31704474854797005,-0.3070728831602926,0.29307314571321436,0.352313263086369,29.00714111328125,-0.408015253364871,1233.0998486328126,1426.0689624023437,-0.10112711015009035,-0.222758468463642,1697.1090087890625,-0.3468893166709788,3630883701.291583,3630883701.291583,3082582.7,2026-06-12,1.0.0
SEC6B3C549D,BEL,Bharat Electronics Limited,Industrials,Aerospace & Defense,405.75,2957170936041.2515,28.71525416237913,-0.04225184504749013,-0.1053907817869636,0.051961649446916836,0.027736944615854853,0.1654713781553011,0.24580284106375644,7.360715593610491,-0.26896408632575486,428.19500122070315,416.22996658325195,-0.052417709587259775,-0.025178308686613526,468.45001220703125,-0.13384568379372996,4838799895.685148,4838799895.685148,11687075.9,2026-06-12,1.0.0
SEC458C7E09,BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Auto Manufacturers,10073.0,2812545623043.0,28.66511110485392,-0.01568199895315292,0.11490511026854988,0.1361095238116219,0.2141946117656226,0.19664101791308666,0.2663497369106786,203.6288199644297,-0.42313526174411853,9958.31515625,9285.547109375,0.011516490686481307,0.08480414577079265,10658.5,-0.05493268283529573,3390252519.075879,3390252519.075879,328083.65,2026-06-12,1.0.0
SECEE465B6F,HAL,Hindustan Aeronautics Limited,Industrials,Aerospace & Defense,4192.60009765625,2798488987500.0,28.660100740126257,-0.044138454478924394,0.044624417006664974,-0.015525028399931529,-0.17026800906338102,0.1517207566574651,0.3111298367054036,88.757080078125,-0.44518621717679696,4322.0559912109375,4373.728104248047,-0.029952386969983924,-0.04141272668867413,5052.95703125,-0.17026800906338102,4490979301.856616,4490979301.856616,1042186.8,2026-06-12,1.0.0
SEC8467BBC9,NESTLEIND,Nestlé India Limited,Consumer Defensive,Packaged Foods,1383.0,2739749080011.9727,28.638887455497166,-0.03320517301642778,0.13286365062614025,0.14981144552745618,0.14856733926672572,0.18720041306675692,0.24054420692597372,29.421412876674108,-0.21977869031110886,1388.292001953125,1279.3700634765626,-0.0038118795942639894,0.08100075144937602,1486.0999755859375,-0.06937620434674141,2801292064.615503,2801292064.615503,1980273.2,2026-06-12,1.0.0
SEC49A300CF,COALINDIA,Coal India Limited,Energy,Thermal Coal,444.25,2723309610086.991,28.63286902498804,-0.038836027115877636,-0.05498831263112869,0.17786947409848652,0.19004628017342728,0.2223414236059345,0.24935290778069485,14.635713849748884,-0.3084014082185026,458.8319995117188,413.30735931396487,-0.03178069430039032,0.07486593206904368,481.6499938964844,-0.0776497339778277,9940661689.529076,9940661689.529076,21444851.85,2026-06-12,1.0.0
SEC37129F1E,BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,1684.0,2658958766870.2817,28.60895572106291,-0.025519342751558538,-0.0490174194910189,-0.1848194596784477,-0.15678870721514993,0.197452716733223,0.2698304926280676,31.314296177455358,-0.4267470477284515,1762.7839916992189,1942.4830017089844,-0.04469293575968758,-0.1330683467920042,2176.60009765625,-0.22631630779888268,1211609205.0444093,1211609205.0444093,697579.5,2026-06-12,1.0.0
SECBD364AD2,POWERGRID,Power Grid Corporation of India Limited,Utilities,Utilities - Regulated Electric,284.29998779296875,2641836401254.1885,28.60249539780036,-0.07045943397252452,-0.06357054651694027,0.08283092075722842,-0.024773687149931556,0.23369383334237837,0.19854990261169014,6.717854091099331,-0.29559042650491074,302.9189990234375,283.13217018127443,-0.06146531346826534,0.004124637659318697,320.8999938964844,-0.11405424368852446,3830941020.093408,3830941020.093408,13182420.0,2026-06-12,1.0.0
SECFC1C7E1F,ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals,2746.800048828125,2621316866630.393,28.5946979282813,0.054190952517573665,0.23662889843795942,-0.020574059965011604,0.23984269242925071,0.15312354813686077,0.28933428801379624,58.778616768973215,-0.39041574509193544,2533.650009765625,2549.1684985351562,0.08412765703271607,0.07752784894624853,2968.5,-0.07468416748252482,3302710973.0736694,3302710973.0736694,1240512.8,2026-06-12,1.0.0
SEC54AF0D0A,DMART,Avenue Supermarts Limited,Consumer Defensive,Discount Stores,4000.199951171875,2597376186068.2754,28.58552289220749,-0.0822493468410993,0.011786688679831236,0.048188009326001646,-0.019558835497089477,0.17769973357990498,0.3091687675931763,99.27141462053571,-0.39317208778469126,4321.090009765625,4135.679996337891,-0.07426136874458555,-0.03275883174858363,4829.2998046875,-0.17168117264346883,1824361820.2332642,1824361820.2332642,444909.65,2026-06-12,1.0.0
SEC59D35B99,TATASTEEL,Tata Steel Limited,Basic Materials,Steel,197.4499969482422,2461693342554.2534,28.531870579699998,-0.08942076977087754,0.020571642644478194,0.21709919341830086,0.26830682321170873,0.21911435405562923,0.2682307011670779,4.710716247558594,-0.4186365786157207,209.43700073242186,187.84870010375977,-0.05723441293687337,0.051111862042053424,221.1300048828125,-0.1070863628258838,6622054083.466818,6622054083.466818,31926299.65,2026-06-12,1.0.0
SECC30DDEE8,ADANIGREEN,Adani Green Energy Limited,Utilities,Utilities - Renewable,1483.0999755859375,2422666769202.5234,28.515890020117915,0.07548946742997642,0.7114996208854272,0.49838350563422074,0.3984912546779231,0.3902318093733212,0.47840530552007804,51.00714111328125,-0.8444032949984746,1297.1130029296876,1060.66625,0.14338532744346533,0.3982720536134128,1534.5,-0.03349626876120071,5636902939.339948,5636902939.339948,3884912.1,2026-06-12,1.0.0
SECFF753FFE,HINDZINC,Hindustan Zinc Limited,Basic Materials,Other Industrial Metals & Mining,559.7999877929688,2358995546121.399,28.489257028315592,-0.12229539274516099,-0.022250349182483364,0.11192434500150594,0.08859055925945447,0.2962384334162872,0.3907678313338676,17.939283098493302,-0.4797485567542742,599.3374719238282,545.4208880615234,-0.06596865035644617,0.026363309594815698,714.1517944335938,-0.21613305160570817,2534356915.762372,2534356915.762372,4178374.85,2026-06-12,1.0.0
SEC1317061B,HINDALCO,Hindalco Industries Limited,Basic Materials,Aluminum,1024.0999755859375,2295858389466.432,28.4621279154221,-0.040655760575234234,0.05604534734306532,0.24624274485663222,0.5669632084035308,0.3119604389229015,0.31464757964078083,30.742863246372767,-0.4987327596310567,1053.9770007324219,899.1075021362304,-0.028346942225231153,0.139018385624335,1149.699951171875,-0.1092458736367824,6406327533.871887,6406327533.871887,5853241.0,2026-06-12,1.0.0
SEC7922F517,ETERNAL,Eternal Limited,Consumer Cyclical,Internet Retail,242.10000610351562,2208832596004.75,28.423485254789917,0.0038146341142448748,0.09463312432901727,-0.14527800139976832,-0.05311321558697757,0.290974661273477,0.37867222694705593,7.424284798758371,-0.740174667916688,247.68760131835938,282.5383006286621,-0.022559042863279477,-0.14312500087658642,354.3500061035156,-0.31677719222956247,6562441052.224879,6562441052.224879,26476887.25,2026-06-12,1.0.0
SEC94B9E8A5,SHRIRAMFIN,Shriram Finance Limited,Financial Services,Credit Services,939.9500122070312,2187975834971.417,28.413997956081506,0.002185721014613895,-0.08893083581193151,0.12266349621622119,0.3562536636127167,0.32449334345183184,0.46669283046664994,24.414280482700892,-0.3835336122810272,959.8730041503907,877.0100979614258,-0.0207558623455546,0.0717664647099352,1104.5999755859375,-0.14905845284992636,4872807599.10914,4872807599.10914,5255619.95,2026-06-12,1.0.0
SEC910FE0F6,GRASIM,Grasim Industries Limited,Basic Materials,Building Materials,3107.5,2101928744185.5864,28.37387648875334,0.05920647224791531,0.16250790710180585,0.13131642083877249,0.151700307751776,0.24858902988888443,0.2640950555263587,53.0,-0.3302496223087197,2916.536015625,2823.365,0.06547629905886065,0.10063700584231938,3171.60009765625,-0.020210649414350468,2760642338.060632,2760642338.060632,890571.5,2026-06-12,1.0.0
SEC0194116D,EICHERMOT,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers,7297.0,1992028575210.0,28.320174619973006,0.04027371872549712,0.04608988602967523,0.009476378225081294,0.37454519098621386,0.28903967600514524,0.3437370262731165,149.28571428571428,-0.25920353651114225,7127.34,7109.9975,0.023804112053023907,0.026301345394284636,8190.0,-0.10903540903540898,3497896838.775,3497896838.775,489270.8,2026-06-12,1.0.0
