Symbol,Yahoo_Symbol,PE,PB,ROE,ROCE,Debt_To_Equity,Revenue_Growth,EPS_Growth,Profit_Growth,Operating_Margin,Net_Margin,Market_Cap,Factor_Date
ADANIGREEN,ADANIGREEN.NS,157.93568,13.000598,0.07576,0.08718362702619788,346.548,0.143,2.098,0.1440443213296399,0.59686,0.12715,2507825741824.0,2026-06-19
HINDZINC,HINDZINC.NS,17.183014,10.502531,0.76941,0.7095446425520967,39.034,0.408,0.675,0.33603786342123054,0.52458,0.35292998,2376319369216.0,2026-06-19
HINDALCO,HINDALCO.NS,16.745268,1.6387849,0.10288,0.15222711408040263,72.598,0.204,-0.509,-0.1631148053246672,0.09979,0.048699997,2254936735744.0,2026-06-19
ETERNAL,ETERNAL.NS,679.7368,7.635461,0.01194,0.034451289071412275,14.826,1.965,3.75,-0.3055028462998102,0.00104,0.0067299996,2374782156800.0,2026-06-19
SHRIRAMFIN,SHRIRAMFIN.NS,18.909775,2.8707013,0.16382,,274.993,0.167,0.409,0.0492305695522838,0.70207,0.48407,2367032655872.0,2026-06-19
GRASIM,GRASIM.NS,43.122868,2.0679252,0.06287,0.08066571147019314,134.138,0.105,0.608,0.3402344508970014,0.17288,0.02831,2139838611456.0,2026-06-19
EICHERMOT,EICHERMOT.NS,37.908657,8.300274,0.23774,0.21315989332185686,2.048,0.191,0.115,0.16491707572595704,0.21086,0.23562,2084808818688.0,2026-06-19
IOC,IOC.NS,4.7059207,0.9023849,0.20969999,0.24254144685952908,58.446,0.067,0.781,2.0958049219581936,0.09243,0.05367,2031481389056.0,2026-06-19
WIPRO,WIPRO.NS,14.1129675,2.0991597,0.15439999,0.16845860352942335,22.853,0.077,-0.016,0.004720069430698723,0.1718,0.14248,1861122392064.0,2026-06-19
INDIGO,INDIGO.NS,,27.632666,,0.11644118394247072,866.462,0.062,-0.776,-1.3295354348065689,0.15758,0.03793,1927023558656.0,2026-06-19
ADANIENSOL,ADANIENSOL.NS,81.9206,7.21406,0.096599996,0.11690552519336171,194.5,0.168,0.035,1.153400567940602,0.22225,0.08274,1834358669312.0,2026-06-19
DIVISLAB,DIVISLAB.NS,69.847916,10.685645,0.16187,0.1912729315397443,0.042,0.095,0.136,0.17206754906435417,0.28753,0.24318,1792311033856.0,2026-06-19
VBL,VBL.NS,56.764084,9.226824,,0.24123676515018164,12.705,0.181,0.2,0.17029614592892328,0.18491,0.14024,1806653587456.0,2026-06-19
SBILIFE,SBILIFE.NS,73.695564,9.518277,0.13697,,,-0.822,-0.011,0.02361911076119836,0.21172,0.022,1816442568704.0,2026-06-19
BSE,BSE.NS,66.84176,20.83669,0.36003,0.5100926856414035,0.0,1.051,0.64,0.8832482332621862,0.67699,0.48729,1638284132352.0,2026-06-19
HYUNDAI,HYUNDAI.NS,29.556318,8.033669,0.29916,0.3806595737484317,5.484,0.048,-0.222,-0.03700107832787905,0.07308,0.07676,1607612628992.0,2026-06-19
PIDILITIND,PIDILITIND.NS,66.11065,14.93689,0.23523001,0.2970242013856064,3.776,0.141,0.37,0.17949755326937156,0.20533001,0.16771999,1617550376960.0,2026-06-19
TVSMOTOR,TVSMOTOR.NS,53.89553,48.719296,0.31619,0.3444260139958597,306.09,0.313,0.191,0.35014493012936354,0.12477,0.05381,1627935080448.0,2026-06-19
CUMMINSIND,CUMMINSIND.NS,68.937614,19.228064,0.29455,0.3510910313598834,0.431,0.219,0.227,0.1809104273128194,0.24435,0.19449,1629658808320.0,2026-06-19
SOLARINDS,SOLARINDS.NS,97.609,26.010868,0.31332,0.3095549941024439,23.271,0.409,0.7,0.387046897737796,0.26174,0.17052001,1632802570240.0,2026-06-19
TORNTPHARM,TORNTPHARM.NS,69.44888,17.78071,0.16986,0.1250156038748209,85.446,0.418,-0.217,0.1319136690647482,0.20196,0.15475,1501242458112.0,2026-06-19
JIOFIN,JIOFIN.NS,101.48347,1.1615335,0.012130001,,16.286,0.394,-0.14,-0.032054024891633955,0.43075,0.57768,1621665513472.0,2026-06-19
POWERINDIA,POWERINDIA.NS,164.70271,31.535067,0.21040002,0.2347813092886576,1.663,0.462,0.718,1.5726339913537164,0.15284,0.12124,1632240009216.0,2026-06-19
MOTHERSON,MOTHERSON.NS,39.450817,4.122837,0.10114,0.1941323190217349,43.908,0.149,0.43,0.014898685781300125,0.07129,0.030869998,1520604413952.0,2026-06-19
TRENT,TRENT.NS,97.998146,24.067854,0.27126,0.3247186004491881,36.034,0.192,0.258,0.11180433433329885,0.11116,0.08566,1681068130304.0,2026-06-19
ABB,ABB.NS,99.2057,19.58992,,0.2375253354383222,1.082,0.008,2.76,-0.10866405932764849,0.11496,0.22257,1535064276992.0,2026-06-19
POLYCAB,POLYCAB.NS,55.966682,12.382717,0.24580999,0.32578217301873097,2.558,0.269,0.08,0.3227951623522889,0.12951,0.09251001,1486987460608.0,2026-06-19
CGPOWER,CGPOWER.NS,124.46822,18.967665,0.19561,0.19193769753655024,1.444,0.25,0.305,0.237707777549764,0.121190004,0.09714,1511428849664.0,2026-06-19
DLF,DLF.NS,35.502525,3.4451382,0.10031,0.029394132912068043,0.673,-0.42,-0.011,0.010774746887320783,0.19984,0.53876996,1565139533824.0,2026-06-19
TMPV,TMPV.NS,,1.1742796,-0.01118,0.1207028825578884,65.31,-0.118,-0.329,1.9604743083003953,0.084300004,0.24551001,1316470784000.0,2026-06-19
BANKBARODA,BANKBARODA.NS,7.299374,0.873438,0.12738,,,-0.076,0.071,-0.04199117237379134,0.38452998,0.31175,1448757166080.0,2026-06-19
PFC,PFC.NS,5.4828644,1.0688553,0.20466,,586.017,-0.154,0.108,0.12657840241383406,0.93324995,0.54304004,1420198805504.0,2026-06-19
BHEL,BHEL.NS,91.2039,5.5933967,0.06292,0.05337299477274224,31.312,0.369,1.564,1.9973028657051883,0.13527,0.04737,1464033607680.0,2026-06-19
CHOLAFIN,CHOLAFIN.NS,27.359314,4.7277474,0.19334999,,693.261,0.241,0.291,0.227534191944073,0.56111,0.39784,1442325331968.0,2026-06-19
UNIONBANK,UNIONBANK.NS,6.9088407,1.0057602,0.15708,,,,,0.07784118897473562,-8.87682,0.35658002,1342216863744.0,2026-06-19
TECHM,TECHM.NS,25.428572,4.129708,0.16608,0.25906531954955136,7.269,0.126,0.159,0.1315770904386687,0.13825,0.084680006,1221991858176.0,2026-06-19
SIEMENS,SIEMENS.NS,79.56853,9.673016,,0.171691630235724,2.213,0.146,-0.364,-0.22542884487962894,0.08015,0.0921,1339725316096.0,2026-06-19
BPCL,BPCL.NS,5.118221,1.3207579,0.28469,0.2992969349571445,54.332,0.067,0.28,0.9377912578590415,0.08165,0.05677,1322578608128.0,2026-06-19
TATAPOWER,TATAPOWER.NS,34.265583,3.2444694,0.11336,0.09733958034512917,168.051,-0.128,-0.046,-0.05636111810627046,0.115550004,0.06002,1282129920000.0,2026-06-19
GVT&D,GVT&D.NS,112.32379,66.47895,0.55261004,0.5912701678677287,0.892,0.42,0.887,1.027271382308944,0.26439,0.19871001,1387388076032.0,2026-06-19
BRITANNIA,BRITANNIA.NS,49.449665,24.583822,0.53314,0.6384117620655806,26.875,0.079,0.211,0.16282880393623808,0.16267,0.13229,1255285063680.0,2026-06-19
IRFC,IRFC.NS,18.626865,2.297126,0.12812,,773.347,0.005,0.0,0.0780021531836358,0.96275,0.97231,1304759631872.0,2026-06-19
APOLLOHOSP,APOLLOHOSP.NS,62.499077,12.802706,0.21503,0.23984449672936445,85.146,0.181,0.356,0.3429006155335777,0.11908,0.07696,1213973790720.0,2026-06-19
PNB,PNB.NS,6.79125,0.83270115,0.12985,,,0.152,0.019,-0.004740185354234159,0.29405,0.31221,1248823214080.0,2026-06-19
MUTHOOTFIN,MUTHOOTFIN.NS,11.747537,3.179528,0.30406,,379.707,0.537,1.267,0.9858495377749442,0.78154,0.55206,1244150759424.0,2026-06-19
VEDL,VEDL.NS,16.8534,2.3782368,0.20403999,0.14294146052246562,48.044,-0.413,0.922,0.16032826261008806,0.2624,0.22681999,1180616884224.0,2026-06-19
HDFCLIFE,HDFCLIFE.NS,66.418076,7.132024,0.11281,,17.46,-0.177,0.041,0.056051954363216666,0.0269,0.01915,1276663562240.0,2026-06-19
CANBK,CANBK.NS,6.1629086,1.0320272,0.15935999,,,-0.467,-0.098,0.12350808590019896,-0.32213002,0.37035,1214741610496.0,2026-06-19
