Security_ID,Symbol,Company_Name,Sector,Industry,Last_Close,Market_Cap,Log_Market_Cap,Momentum_1M,Momentum_3M,Momentum_6M,Momentum_12M,Volatility_20D,Volatility_60D,ATR_14,Max_Drawdown_252D,SMA_50,SMA_200,Distance_SMA50,Distance_SMA200,Price_52W_High,Distance_52W_High,ADV_20D,Dollar_Volume,Turnover_Ratio,Factor_Date,Engine_Version,Momentum_1M_Rank,Momentum_3M_Rank,Momentum_6M_Rank,Momentum_12M_Rank,ADV_20D_Rank,Dollar_Volume_Rank,Market_Cap_Rank,Log_Market_Cap_Rank,Distance_SMA50_Rank,Distance_SMA200_Rank,Distance_52W_High_Rank,Volatility_20D_Rank,Volatility_60D_Rank,ATR_14_Rank,Max_Drawdown_252D_Rank,Alpha_Score,Liquidity_Penalty,Alpha_Adjusted,Rank,Ranking_Date
SEC2C25A7D8,SANGHVIMOV,Sanghvi Movers Limited,Industrials,Rental & Leasing Services,385.7000122070313,33323101871.58203,24.229516743296948,0.2741988657180241,0.5947901694157722,0.2777869948916294,0.3070024210110376,0.5331472760352446,0.6332059225234526,16.732140677315847,-0.7060591875965311,330.00020080566406,326.1983325195313,0.1687872045695166,0.1824095151802693,407.0499877929688,-0.0524505004942941,289683863.3812149,289683863.3812149,808831.35,2026-06-12,2.0.0,0.9589905362776026,0.9337539432176656,0.7917981072555205,0.8454258675078864,0.6466876971608833,0.6466876971608833,0.4353312302839117,0.4353312302839117,0.9022082018927445,0.7823343848580442,0.8643533123028391,0.19242902208201895,0.11041009463722395,0.526813880126183,0.8422712933753943,0.6678233438485804,0.35331230283911674,0.6324921135646687,327.0,2026-06-12
SEC22F86EA1,MANKIND,Mankind Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2379.60009765625,992553254093.2192,27.623546504585395,-0.049300799977527,0.0605223486375487,0.0913594772676225,0.0101150981958266,0.2573260632353007,0.2783324947851055,56.978567940848215,-0.356937099965813,2301.025986328125,2282.9479992675783,0.0341474245814625,0.0423365308450651,2695.4375,-0.1171748194286641,1883125156.394873,1883125156.394873,765756.65,2026-06-12,2.0.0,0.18253968253968253,0.3492063492063492,0.5634920634920635,0.47619047619047616,0.8888888888888888,0.8888888888888888,0.9365079365079365,0.9365079365079365,0.4523809523809524,0.47619047619047616,0.5714285714285714,0.6825396825396826,0.8174603174603174,0.23015873015873012,0.2142857142857143,0.642063492063492,0.11111111111111116,0.6309523809523809,328.0,2026-06-12
SEC1DA4AF72,DIVGIITTS,Divgi TorqTransfer Systems Limited,Consumer Cyclical,Auto Parts,816.0,24831807950.976746,23.935391246984352,0.2289156626506023,0.128552677928605,0.3588676103247294,0.3579264491853107,0.3881037937581036,0.50539380050176,40.53928484235491,-0.6245229839296662,730.9110021972656,665.5763027954101,0.1164149910822791,0.22600518764387,816.0,0.0,53985854.4874176,53985854.4874176,69406.45,2026-06-12,2.0.0,0.9224806201550387,0.5813953488372093,0.9108527131782945,0.8643410852713178,0.3643410852713178,0.3643410852713178,0.3875968992248062,0.3875968992248062,0.8178294573643411,0.8798449612403101,0.9883720930232558,0.4031007751937985,0.3023255813953488,0.2093023255813954,0.6705426356589148,0.6941860465116279,0.6356589147286822,0.6306201550387597,329.0,2026-06-12
SEC7D5B6E0E,SAREGAMA,Saregama India Limited,Communication Services,Entertainment,459.25,88224582775.62775,25.20315147740195,0.1046301864101022,0.3213926517919188,0.2705768003597435,-0.1774692204884974,0.5273988451683914,0.5362105497826215,21.817858014787948,-0.529714535517835,378.7669982910156,389.6947091674805,0.212486837744896,0.1784866183611091,558.3377685546875,-0.1774692204884974,1506192743.0285385,1506192743.0285385,3500356.0,2026-06-12,2.0.0,0.8947368421052632,0.9473684210526315,1.0,0.5263157894736842,0.868421052631579,0.868421052631579,0.631578947368421,0.631578947368421,0.9736842105263158,1.0,0.7631578947368421,0.10526315789473684,0.23684210526315785,0.26315789473684215,0.3157894736842105,0.643421052631579,0.13157894736842102,0.6302631578947369,330.0,2026-06-12
SEC91916541,ACMESOLAR,ACME SOLAR HOLDINGS LTD,Utilities,Utilities - Renewable,336.04998779296875,237070782144.0,26.19162459232731,0.2175724195397419,0.3997416912277789,0.5542081540951278,0.3312733390525397,0.4368456424742177,0.442009990258133,15.935714721679688,-0.3810964695694745,301.0940002441406,263.8243692779541,0.1160965928264403,0.2737640147219335,356.6499938964844,-0.0577597264995177,975025193.237288,975025193.237288,2996055.8,2026-06-12,2.0.0,1.0,0.8888888888888888,0.9629629629629629,0.8518518518518519,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.9629629629629629,0.8888888888888888,0.9259259259259259,0.03703703703703709,0.37037037037037035,0.2222222222222222,0.18518518518518523,0.6740740740740739,0.4444444444444444,0.6296296296296295,331.0,2026-06-12
SEC6A5BE181,IPCALAB,Ipca Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1597.699951171875,405977477255.6987,26.729563520269704,-0.0045483170268691,0.0236416588860661,0.1011026541501549,0.1684196797271429,0.2918692012692107,0.2670213269787902,52.342860630580354,-0.4837951476970989,1544.7560034179687,1451.0790020751954,0.0342733400205346,0.1010427060738914,1656.199951171875,-0.0353218220774654,454038009.3819946,454038009.3819946,284496.35,2026-06-12,2.0.0,0.3968253968253968,0.21428571428571427,0.5714285714285714,0.6349206349206349,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.4603174603174603,0.6031746031746031,0.8253968253968254,0.5952380952380952,0.8333333333333334,0.26190476190476186,0.39682539682539686,0.6623015873015873,0.33333333333333337,0.628968253968254,332.0,2026-06-12
SEC879F4B93,MANAPPURAM,Manappuram Finance Limited,Financial Services,Credit Services,303.95001220703125,283209834753.0,26.36945392539817,-0.0113839644203467,0.1912803522899577,0.0977286887467376,0.1535881068180162,0.4090401847664682,0.3949919008082574,9.682146344866071,-0.6209322154541316,297.55855682373044,287.76163131713867,0.0214796558080063,0.0562562173970009,330.25,-0.0796366019469152,1004113593.968808,1004113593.968808,3214548.35,2026-06-12,2.0.0,0.4049079754601227,0.803680981595092,0.7730061349693251,0.7668711656441718,0.7300613496932515,0.7300613496932515,0.6134969325153374,0.6134969325153374,0.6441717791411042,0.7177914110429447,0.8098159509202454,0.1288343558282209,0.48466257668711654,0.5214723926380368,0.7730061349693251,0.6558282208588957,0.26993865030674846,0.6288343558282209,333.0,2026-06-12
SEC638B5660,KIMS,Krishna Institute of Medical Sciences Limited,Healthcare,Medical Care Facilities,785.5,314789305049.0085,26.4751693791165,0.0313135624255842,0.1822696735942117,0.1844089046168326,0.2072542388780751,0.3925808129883388,0.3755146234288857,25.864288330078125,-0.2625578088428488,717.0640014648437,690.452000427246,0.0954391775285787,0.1376605463000164,801.2000122070312,-0.0195956215274923,434174115.3976135,434174115.3976135,561540.85,2026-06-12,2.0.0,0.5396825396825397,0.6031746031746031,0.6825396825396826,0.6746031746031746,0.6507936507936508,0.6507936507936508,0.7857142857142857,0.7857142857142857,0.6904761904761905,0.6507936507936508,0.873015873015873,0.39682539682539686,0.5714285714285714,0.5,0.03968253968253965,0.661904761904762,0.3492063492063492,0.6269841269841271,334.0,2026-06-12
SEC6307C5A4,COLPAL,Colgate-Palmolive (India) Limited,Consumer Defensive,Household & Personal Products,2075.89990234375,559800818618.2515,27.050846876367267,-0.0276058209030155,0.0630485773955185,-0.0198919757320017,-0.1333978749770811,0.1904917415414533,0.2749895273316685,40.95219786983132,-0.5200485986060825,2051.1132568359376,2117.582763061524,0.0120844840845348,-0.0196841707653069,2410.603271484375,-0.1388463100087493,909728713.034662,909728713.034662,442345.7,2026-06-12,2.0.0,0.4666666666666667,0.4888888888888889,0.5,0.45555555555555555,0.8333333333333334,0.8333333333333334,0.8777777777777778,0.8777777777777778,0.6333333333333333,0.5222222222222223,0.6888888888888889,0.8333333333333334,0.8888888888888888,0.16666666666666663,0.4555555555555556,0.6433333333333333,0.16666666666666663,0.6266666666666667,335.0,2026-06-12
SEC312DBE7B,SAKAR,Sakar Healthcare Limited,Healthcare,Drug Manufacturers - Specialty & Generic,830.0,18210743367.386475,23.625277551785,0.1913305374729308,0.4906609522208061,1.0980788351727582,1.6158210902345091,0.6419451139242244,0.6622769023208565,44.853585379464285,-0.5210496390289217,678.422998046875,476.0179995727539,0.2234255064900554,0.743631544909982,839.0,-0.0107270560190703,178430540.41661987,178430540.41661987,223469.65,2026-06-12,2.0.0,0.8333333333333334,0.8888888888888888,0.9682539682539683,0.9603174603174603,0.4444444444444444,0.4444444444444444,0.21428571428571427,0.21428571428571427,0.9126984126984127,0.9761904761904762,0.8968253968253969,0.1507936507936508,0.07936507936507942,0.30952380952380953,0.4920634920634921,0.6821428571428572,0.5555555555555556,0.6265873015873016,336.0,2026-06-12
