Security_ID,Symbol,Company_Name,Sector,Rank,Alpha_Adjusted,Weight,Last_Close,Market_Cap,ADV_20D,Portfolio_Date,Engine_Version,Max_Daily_Trade,Position_Capacity,Implied_Fund_Capacity,MarketCap_Limit,Effective_Capacity,Days_To_Exit,Participation_Rate,Capacity_Score,Capacity_Class,Liquidity_Breach
SEC39245F03,POLYCAB,Polycab India Limited,Industrials,2.0,0.9127760252365932,0.0240201377534145,9523.0,1428950146682.0,2316271807.35,2026-08-04,1.0.0,231627180.735,3474407711.025,144645619716.77734,14289501466.82,14289501466.82,1.4818459240037296,0.148184592400373,51.6,LIMITED,False
SEC6ACA80F1,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,8.0,0.8703470031545743,0.0239763587470696,1804.0999755859373,4125469104629.799,3373669639.0795164,2026-08-04,1.0.0,337366963.90795165,5060504458.619275,211062259786.95667,41254691046.29799,41254691046.29799,2.9319328160283065,0.29319328160283065,64.4,SCALABLE,False
SEC0BE45679,POWERINDIA,Hitachi Energy India Limited,Industrials,26.0,0.8406940063091483,0.0236957234556814,34185.0,1518803269225.0,7157744736.0,2026-08-04,1.0.0,715774473.6,10736617104.0,453103578967.7794,15188032692.25,15188032692.25,0.502800024009412,0.05028000240094121,81.6,INSTITUTIONAL,False
SEC10D35CD2,SBIN,State Bank of India,Financial Services,36.0,0.8302147239263803,0.0232725996848592,1014.5,4126793239582.544,8773996818.526707,2026-08-04,1.0.0,877399681.8526707,13160995227.79006,565514614009.8995,41267932395.82544,41267932395.82544,1.0946118289465556,0.10946118289465556,84.4,INSTITUTIONAL,False
SEC23029172,ADANIPOWER,Adani Power Limited,Utilities,29.0,0.835185185185185,0.0232526240012415,220.47000122070312,4126793239582.544,8701394964.536728,2026-08-04,1.0.0,870139496.4536729,13052092446.805094,561316969908.7819,41267932395.82544,41267932395.82544,1.1027975620227137,0.11027975620227139,82.80000000000001,INSTITUTIONAL,False
SEC458C7E09,BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,16.0,0.8525193798449612,0.0232284236961244,10073.0,2812545623043.0,3390252519.075879,2026-08-04,1.0.0,339025251.90758795,5085378778.613819,218929138074.15616,28125456230.43,28125456230.43,1.9270246398793627,0.19270246398793628,64.4,SCALABLE,False
SEC7FE71EB3,BHARATFORG,Bharat Forge Limited,Consumer Cyclical,1.0,0.9193798449612404,0.0230926270847158,1941.199951171875,921802679687.1144,1752069513.2322204,2026-08-04,1.0.0,175206951.32322204,2628104269.8483305,113807071850.5553,9218026796.871143,9218026796.871143,1.2149543934724516,0.12149543934724516,41.2,LIMITED,False
SECC2E751BE,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,38.0,0.8277777777777777,0.0229921229331528,8511.0,1224398246683.5,3880171828.7,2026-08-04,1.0.0,388017182.87,5820257743.05,253141380635.95923,12243982466.835001,12243982466.835001,0.725522380185817,0.07255223801858171,63.6,SCALABLE,False
SECD1C4E177,BHEL,Bharat Heavy Electricals Limited,Industrials,19.0,0.8473186119873817,0.0229016950155881,376.8999938964844,1296720372149.172,4193728750.906015,2026-08-04,1.0.0,419372875.0906015,6290593126.359022,274678058636.15393,12967203721.491722,12967203721.491722,0.7081310272402446,0.07081310272402445,67.2,SCALABLE,False
SEC0BDD67BA,MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,27.0,0.837984496124031,0.0226576847906215,143.4499969482422,1494697571482.7888,3802947477.0305176,2026-08-04,1.0.0,380294747.7030518,5704421215.545777,251765406230.16165,14946975714.827888,14946975714.827888,0.8905299543713026,0.08905299543713027,63.99999999999999,SCALABLE,False
SEC31D4BC12,GVT&D,GE Vernova T&D India Ltd,Industrials,33.0,0.832807570977918,0.0226551674540102,4890.0,1253219765557.5,4744110174.789648,2026-08-04,1.0.0,474411017.4789648,7116165262.184472,314107820064.9025,12532197655.575,12532197655.575,0.5984663635397012,0.05984663635397012,71.2,SCALABLE,False
SECE103320D,INDUSTOWER,Indus Towers Limited,Communication Services,7.0,0.8710526315789474,0.0225853370204692,420.8999938964844,1108015280054.4707,2733181575.117189,2026-08-04,1.0.0,273318157.5117189,4099772362.675784,181523630086.19888,11080152800.544706,11080152800.544706,0.9155959030196084,0.09155959030196084,51.2,LIMITED,False
SEC8467BBC9,NESTLEIND,Nestlé India Limited,Consumer Defensive,43.0,0.821111111111111,0.0224387385352618,1383.0,2739749080011.9727,2801292064.615503,2026-08-04,1.0.0,280129206.4615503,4201938096.9232545,187262670328.81708,27397490800.119728,27397490800.119728,2.1945770680305983,0.21945770680305984,60.400000000000006,SCALABLE,False
SECA8D30DA3,CGPOWER,CG Power and Industrial Solutions Limited,Industrials,34.0,0.8324921135646688,0.022426706882935,909.5999755859376,1425337215345.0,3510287698.27728,2026-08-04,1.0.0,351028769.82772803,5265431547.41592,234783982102.2724,14253372153.45,14253372153.45,0.910626782914935,0.09106267829149352,61.20000000000001,SCALABLE,False
SEC8084428B,TITAN,Titan Company Limited,Consumer Cyclical,48.0,0.8125968992248063,0.0224050247823875,4124.0,3657287606980.0,3426222277.4719973,2026-08-04,1.0.0,342622227.7471998,5139333416.207996,229383072151.20804,36572876069.8,36572876069.8,2.391602553327782,0.23916025533277824,65.60000000000001,SCALABLE,False
SECBFB674BF,TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,28.0,0.8361111111111111,0.0222795389954635,4569.2998046875,1548083320155.3125,2354768015.4289308,2026-08-04,1.0.0,235476801.54289308,3532152023.1433964,158537931321.76584,15480833201.553125,15480833201.553125,1.464712552303981,0.1464712552303981,55.2,LIMITED,False
SEC98541475,ATHERENERG,Ather Energy Limited,Consumer Cyclical,10.0,0.8651162790697674,0.0221580263123085,1034.1500244140625,401338390830.5786,4101349137.936835,2026-08-04,1.0.0,410134913.7936835,6152023706.905252,277643126702.48444,4013383908.305786,4013383908.305786,0.2168278370135791,0.021682783701357913,61.20000000000001,SCALABLE,False
SEC59D35B99,TATASTEEL,Tata Steel Limited,Basic Materials,9.0,0.8655642023346303,0.0217621045600958,197.4499969482422,2461693342554.2534,6622054083.466818,2026-08-04,1.0.0,662205408.3466818,9933081125.200228,456439362184.3944,24616933425.542534,24616933425.542534,0.8089880759099938,0.08089880759099939,79.2,SCALABLE,False
SECD98B2F18,BSE,BSE Limited,Financial Services,49.0,0.8115030674846625,0.0216850799531143,4019.0,1613632028905.879,8773996818.526707,2026-08-04,1.0.0,877399681.8526707,13160995227.79006,606914766108.5725,16136320289.05879,16136320289.05879,0.3988118560499512,0.03988118560499512,85.60000000000001,INSTITUTIONAL,False
