Date,Portfolio_NAV,Cumulative_Return
2020-01-03,100.34996578346824,0.0034996578346824236
2020-01-10,102.54077984717797,0.025407798471779763
2020-01-21,103.71603342896275,0.037160334289627395
2020-01-23,103.49912636446746,0.03499126364467453
2020-01-27,103.4542355352561,0.034542355352561005
2020-01-29,104.08784169052822,0.04087841690528227
2020-01-31,102.33070993961444,0.023307099396144393
2020-02-04,102.66789267458654,0.02667892674586536
2020-02-06,104.16805596725334,0.04168055967253337
2020-02-13,103.55761624646355,0.035576162464635575
2020-02-17,102.07282492840564,0.020728249284056366
2020-02-28,95.87710663284096,-0.04122893367159042
2020-03-05,95.8468957026677,-0.04153104297332311
2020-03-13,84.27969030715332,-0.1572030969284668
2020-03-26,68.92020514138761,-0.31079794858612386
2020-04-01,67.38683300103824,-0.3261316699896176
2020-04-07,71.25413752972966,-0.28745862470270334
2020-04-21,73.85375826115232,-0.26146241738847675
2020-04-23,74.87325290901566,-0.25126747090984336
2020-04-28,75.24523032097885,-0.2475476967902115
2020-05-05,74.3980712920054,-0.25601928707994603
2020-05-11,74.8217911060938,-0.25178208893906207
2020-05-14,77.08552246554147,-0.22914477534458522
2020-05-19,75.05984502962586,-0.2494015497037414
2020-05-22,75.13501004026483,-0.24864989959735173
2020-05-28,78.52072211198599,-0.21479277888014014
2020-06-02,83.39547804681578,-0.16604521953184215
2020-06-04,84.11654140695664,-0.15883458593043354
2020-06-08,86.69492806874814,-0.13305071931251855
2020-06-15,85.27914992021749,-0.1472085007978251
2020-06-17,85.38715600768715,-0.14612843992312852
2020-06-22,90.5554736846803,-0.09444526315319701
2020-06-25,89.51689693820374,-0.10483103061796262
2020-07-02,90.05513845963851,-0.09944861540361483
2020-07-08,92.29329314569188,-0.07706706854308121
2020-07-14,91.60414719543655,-0.08395852804563442
2020-07-24,93.5406184647275,-0.06459381535272501
2020-07-30,94.20877261329719,-0.05791227386702813
2020-08-05,98.72295014809875,-0.012770498519012574
2020-08-07,99.85358499331033,-0.0014641500668965968
2020-08-11,101.79587490389352,0.01795874903893524
2020-08-13,103.41501675175286,0.03415016751752864
2020-08-17,104.94478305638286,0.04944783056382862
2020-08-20,106.51987006977124,0.06519870069771239
2020-08-25,108.45480100650826,0.08454801006508261
2020-08-28,108.66496392164701,0.08664963921647018
2020-09-02,106.92420834417055,0.06924208344170557
2020-09-08,103.47848268746525,0.03478482687465245
2020-09-21,102.34686633225236,0.02346866332252362
2020-09-24,96.49060248821469,-0.03509397511785306
2020-09-30,100.96007181952096,0.009600718195209579
2020-10-05,102.75310374931304,0.02753103749313035
2020-10-12,102.13176057468533,0.021317605746853374
2020-10-19,103.37107273322377,0.03371072733223768
2020-10-30,103.54679130299573,0.03546791302995733
2020-11-09,104.9504115528181,0.049504115528181014
2020-11-11,106.82963459513499,0.06829634595134992
2020-11-18,111.11177665948777,0.11111776659487771
2020-11-26,115.61127876218858,0.15611278762188574
2020-12-04,124.27407491155674,0.2427407491155673
2020-12-09,125.11479001354012,0.2511479001354011
2020-12-11,125.27668741975543,0.2527668741975544
2020-12-18,126.23253431047424,0.2623253431047423
2020-12-23,124.16234533781095,0.24162345337810942
2020-12-31,126.74039160679223,0.26740391606792224
2021-01-05,130.83434228592054,0.30834342285920546
2021-01-07,134.51668754456622,0.34516687544566227
2021-01-12,134.6632215451345,0.3466322154513448
2021-01-15,133.35685776732376,0.33356857767323755
2021-01-21,133.83929609419926,0.33839296094199245
2021-01-25,130.78479595254058,0.3078479595254058
2021-01-29,127.51625682746356,0.2751625682746357
2021-02-04,136.778806246261,0.3677880624626102
2021-02-10,137.373541515331,0.3737354151533099
2021-02-16,140.29377739415904,0.40293777394159047
2021-02-18,143.06749650295717,0.4306749650295716
2021-02-23,141.22346246728935,0.4122346246728936
2021-02-26,142.89578491955282,0.42895784919552815
2021-03-04,148.1004006833251,0.48100400683325084
2021-03-12,145.78744529780747,0.4578744529780747
2021-03-17,142.88315396214497,0.4288315396214497
2021-03-25,140.7371980218938,0.40737198021893795
2021-03-30,145.1680436182588,0.4516804361825879
2021-04-05,147.74234534634635,0.4774234534634636
2021-04-08,155.15172633682715,0.5515172633682714
2021-04-16,152.9292131197843,0.5292921311978429
2021-04-23,152.1016374695189,0.521016374695189
2021-05-05,161.28172730654018,0.6128172730654018
2021-05-06,163.27933691679272,0.6327933691679271
2021-05-12,165.87482834710707,0.6587482834710707
2021-05-25,169.43882824321375,0.6943882824321375
2021-05-26,168.86677691026046,0.6886677691026046
2021-05-31,170.62757684359775,0.7062757684359775
2021-06-01,170.0621242167517,0.7006212421675171
2021-06-08,177.71200802051013,0.7771200802051013
2021-06-10,177.23692863155148,0.7723692863155147
2021-06-24,172.7283375474579,0.7272833754745789
2021-07-01,176.35036212404918,0.7635036212404918
2021-07-05,177.6895726983033,0.776895726983033
2021-07-07,178.86595209229114,0.7886595209229115
2021-07-09,178.4060414896232,0.784060414896232
2021-07-15,179.0295616436461,0.790295616436461
2021-07-26,176.5093143861393,0.765093143861393
2021-07-30,176.83755577964314,0.7683755577964313
2021-08-04,176.07031578176668,0.7607031578176668
2021-08-11,174.63334912147295,0.7463334912147295
2021-08-20,169.8078365869233,0.6980783658692329
2021-08-26,170.29410248422846,0.7029410248422847
2021-09-02,177.14068239885023,0.7714068239885024
2021-09-06,178.98749968446424,0.7898749968446424
2021-09-09,179.46359003956246,0.7946359003956247
2021-09-16,183.5598145731488,0.835598145731488
2021-09-24,182.9217789818098,0.8292177898180981
2021-10-01,186.27053308587668,0.8627053308587669
2021-10-05,189.33392876102798,0.8933392876102797
2021-10-08,188.8311566728061,0.8883115667280608
2021-10-18,196.25805943305366,0.9625805943305366
2021-10-21,185.7155880647003,0.8571558806470032
2021-10-27,186.55380893729756,0.8655380893729756
2021-10-29,182.5132948586818,0.825132948586818
2021-11-17,186.75944206196894,0.8675944206196895
2021-11-25,187.41831793498207,0.8741831793498207
2021-12-03,183.37815417049094,0.8337815417049095
2021-12-08,187.1403992810054,0.8714039928100539
2021-12-14,188.5187193534746,0.8851871935347462
2021-12-17,182.10857681806536,0.8210857681806536
2021-12-27,182.13428328563623,0.8213428328563623
2021-12-30,182.68059417742296,0.8268059417742295
2022-01-03,186.88029847998217,0.8688029847998218
2022-01-07,188.01462813134438,0.8801462813134437
2022-01-18,191.61321265050248,0.9161321265050248
2022-01-21,187.4999083845883,0.874999083845883
2022-01-28,184.89991495548938,0.8489991495548939
2022-02-03,191.18300176527404,0.9118300176527405
2022-02-09,189.3396612078034,0.8933966120780341
2022-02-22,179.63670555220446,0.7963670555220446
2022-02-28,179.5741603798079,0.7957416037980789
2022-03-03,181.07933156747754,0.8107933156747753
2022-03-07,175.0936661964984,0.750936661964984
2022-03-15,181.4685419194467,0.814685419194467
2022-03-17,187.66765157536537,0.8766765157536538
2022-03-28,190.48554867517973,0.9048554867517973
2022-04-01,195.48932688737895,0.9548932688737894
2022-04-05,199.75307903638682,0.9975307903638682
2022-04-13,200.33835380002392,1.0033835380002394
2022-04-25,196.4040404777367,0.964040404777367
2022-05-04,194.87250816663757,0.9487250816663757
2022-05-10,183.22305348106306,0.8322305348106307
2022-05-13,178.67635734150645,0.7867635734150644
2022-05-19,184.87954388369562,0.8487954388369561
2022-05-23,186.34928945791313,0.8634928945791314
2022-06-02,190.42233977541042,0.9042233977541043
2022-06-08,187.41938764045113,0.8741938764045114
2022-06-22,172.56101980095252,0.7256101980095253
2022-06-27,179.19077592758137,0.7919077592758137
2022-07-04,178.58324057045957,0.7858324057045956
2022-07-08,182.4393181302191,0.824393181302191
2022-07-19,187.368829297363,0.8736882929736298
2022-07-25,189.5152198102036,0.8951521981020361
2022-08-05,196.69702855604382,0.9669702855604383
2022-08-11,197.94390432191267,0.9794390432191267
2022-09-01,204.0102417144603,1.040102417144603
2022-09-07,206.01613645194442,1.0601613645194443
2022-09-16,205.15803889783055,1.0515803889783055
2022-09-23,204.02147551357314,1.0402147551357315
2022-09-28,195.325730962541,0.95325730962541
2022-10-07,205.91495353190433,1.0591495353190434
2022-10-13,201.34628987649447,1.0134628987649448
2022-10-19,203.64088233243356,1.0364088233243356
2022-10-25,204.67893917713081,1.0467893917713083
2022-11-02,208.94448161083687,1.0894448161083687
2022-11-07,213.02384941466062,1.1302384941466062
2022-11-10,212.15489124714804,1.1215489124714804
2022-11-16,212.8288769826868,1.128288769826868
2022-11-22,212.52008160689527,1.1252008160689528
2022-11-25,214.51963263453808,1.1451963263453808
2022-12-01,216.12830697506604,1.1612830697506604
2022-12-06,217.7977209124779,1.177977209124779
2022-12-12,216.04326282493017,1.1604326282493016
2022-12-20,214.307657237653,1.14307657237653
2022-12-23,200.62330367227142,1.0062330367227141
2022-12-27,211.06432472358,1.1106432472357999
2023-01-06,212.29289700666828,1.122928970066683
2023-01-10,212.42599050152208,1.1242599050152209
2023-01-12,212.82505007950192,1.1282505007950192
2023-01-16,213.67249556805064,1.1367249556805064
2023-01-23,213.05883257233313,1.1305883257233313
2023-01-27,203.69823333806028,1.0369823333806027
2023-01-31,208.45646811294264,1.0845646811294265
2023-02-06,206.96101344856288,1.0696101344856288
2023-02-09,207.9360549734835,1.0793605497348349
2023-02-14,204.59798902642373,1.0459798902642374
2023-02-16,206.69901788399727,1.0669901788399727
2023-02-21,204.3599444188988,1.0435994441889882
2023-02-24,201.69562534490944,1.0169562534490946
2023-03-03,206.87388365617244,1.0687388365617245
2023-03-15,200.6782211182255,1.006782211182255
2023-03-24,198.35121257999916,0.9835121257999915
2023-04-03,201.995090863472,1.01995090863472
2023-04-11,206.2996445830794,1.0629964458307941
2023-04-17,209.85794427140019,1.0985794427140019
2023-04-24,212.51929446633713,1.1251929446633713
2023-05-02,219.94543885000644,1.1994543885000644
2023-05-10,218.53477941053282,1.1853477941053283
2023-05-18,216.13323137061053,1.1613323137061053
2023-05-26,221.5793078411656,1.215793078411656
2023-06-01,224.57980078823843,1.2457980078823843
2023-06-05,227.44039138730324,1.2744039138730323
2023-06-12,230.05747247175194,1.3005747247175194
2023-06-20,233.655041820004,1.3365504182000398
2023-06-22,232.2010576148328,1.3220105761483278
2023-06-27,231.43387432491872,1.3143387432491873
2023-06-30,234.09529473547389,1.3409529473547388
2023-07-05,237.99953712948337,1.3799953712948336
2023-07-12,241.51666964115134,1.4151666964115135
2023-07-17,246.57798406414946,1.4657798406414946
2023-07-21,250.92139435558326,1.5092139435558325
2023-07-25,252.70806735232156,1.5270806735232156
2023-07-28,254.98112412591198,1.5498112412591198
2023-08-04,258.41571371371003,1.5841571371371002
2023-08-08,260.1229823552222,1.601229823552222
2023-08-11,264.29861973099946,1.6429861973099946
2023-08-24,269.9455777367743,1.699455777367743
2023-08-30,277.0273332956708,1.770273332956708
2023-09-01,281.57268673103016,1.8157268673103015
2023-09-05,284.00217048591594,1.8400217048591596
2023-09-08,289.25375241094804,1.8925375241094802
2023-09-12,282.58581409705357,1.825858140970536
2023-09-22,286.53530416074125,1.8653530416074124
2023-09-26,289.4103917517983,1.8941039175179828
2023-10-03,294.0665952449812,1.940665952449812
2023-10-17,300.80546741229443,2.008054674122944
2023-10-23,287.47009034381625,1.8747009034381623
2023-10-30,288.4227460352754,1.8842274603527538
2023-11-02,295.0735608643291,1.9507356086432912
2023-11-08,301.4353137871963,2.014353137871963
2023-11-10,304.5624001352041,2.045624001352041
2023-11-15,313.24631067699477,2.1324631067699475
2023-11-20,318.41827919459666,2.1841827919459664
2023-11-23,321.11969348961514,2.2111969348961513
2023-11-29,326.4171653258404,2.264171653258404
2023-12-01,330.2732920866395,2.3027329208663954
2023-12-05,339.1431151826343,2.391431151826343
2023-12-12,343.4791333692538,2.434791333692538
2023-12-14,348.6494089485089,2.486494089485089
2023-12-29,361.3637681402791,2.613637681402791
2024-01-03,363.1160703280544,2.631160703280544
2024-01-05,369.4004009653419,2.6940040096534186
2024-01-15,369.07867668496436,2.6907867668496435
2024-01-23,361.4164600503611,2.614164600503611
2024-02-01,373.1233142781555,2.7312331427815546
2024-02-05,380.7618344673673,2.807618344673673
2024-02-07,385.8550341595831,2.8585503415958313
2024-02-12,370.97515406029305,2.7097515406029307
2024-02-14,374.46494834321226,2.7446494834321227
2024-02-26,391.0541791744999,2.9105417917449987
2024-03-01,395.97425670239176,2.9597425670239175
2024-03-05,402.5519669681343,3.0255196696813433
2024-03-19,378.0298559584191,2.7802985595841907
2024-03-26,395.22336927729765,2.9522336927729764
2024-04-03,412.67994347978333,3.1267994347978334
2024-04-16,421.315267222862,3.2131526722286203
2024-04-22,421.78478608275395,3.21784786082754
2024-05-07,424.3735889246393,3.243735889246393
2024-05-15,433.25760484778834,3.3325760484778835
2024-05-21,445.4687831086855,3.454687831086855
2024-05-24,451.81009620161905,3.5181009620161907
2024-06-03,456.1190080987551,3.5611900809875507
2024-06-05,434.88228244313166,3.3488228244313163
2024-06-12,457.9386392093173,3.5793863920931726
2024-06-14,463.1705224312008,3.6317052243120083
2024-06-19,458.8576987810367,3.5885769878103666
2024-06-21,463.2288919780268,3.632288919780268
2024-07-04,470.84791194495193,3.7084791194495192
2024-07-11,475.5535694829942,3.755535694829942
2024-07-22,461.81656582518366,3.6181656582518364
2024-07-25,459.66354731520494,3.596635473152049
2024-08-07,458.128428701822,3.58128428701822
2024-08-16,459.9632180959033,3.5996321809590333
2024-08-20,466.3508111883484,3.663508111883484
2024-08-22,472.93636884843187,3.7293636884843187
2024-08-27,472.8350974713037,3.7283509747130372
2024-09-05,469.59245116285126,3.6959245116285127
2024-09-19,460.50135670855246,3.605013567085525
2024-10-04,466.1992834702464,3.661992834702464
2024-10-11,467.5892000094313,3.675892000094313
2024-10-17,456.98664166003056,3.5698664166003056
2024-10-24,440.414365099915,3.40414365099915
2024-11-08,457.35472257022536,3.573547225702254
2024-11-18,439.92471836983145,3.3992471836983142
2024-11-26,456.4350332429159,3.564350332429159
2024-12-03,474.2585018358244,3.742585018358244
2024-12-05,475.88319695978305,3.7588319695978303
2024-12-11,479.0213083375111,3.790213083375111
2024-12-24,453.9127732786721,3.5391277327867208
2024-12-30,451.38471026091366,3.5138471026091365
2025-01-03,457.94598352416045,3.5794598352416047
2025-01-08,448.27536047948485,3.4827536047948486
2025-01-14,433.5871005682103,3.335871005682103
2025-01-20,447.1589934744827,3.471589934744827
2025-01-24,432.7312637823128,3.3273126378231277
2025-02-01,438.72241885552603,3.38722418855526
2025-02-03,437.9118067882383,3.3791180678823833
2025-02-07,446.7271344768119,3.467271344768119
2025-02-12,430.43045432657897,3.30430454326579
2025-02-27,413.87991341333515,3.138799134133351
2025-03-05,422.4312808465178,3.2243128084651778
2025-03-11,423.57481304470986,3.2357481304470985
2025-03-13,418.67401355768027,3.1867401355768026
2025-03-18,421.12920342981175,3.2112920342981175
2025-03-25,441.54499984240306,3.4154499984240303
2025-04-03,438.7121370601678,3.387121370601678
2025-04-07,405.61894363195387,3.0561894363195385
2025-04-16,439.97710135364076,3.399771013536408
2025-04-21,448.0193675300084,3.480193675300084
2025-04-28,451.75456920239066,3.5175456920239068
2025-05-05,452.86629819636283,3.5286629819636284
2025-05-08,446.44062204404236,3.4644062204404236
2025-05-12,463.78488567915326,3.637848856791533
2025-05-21,476.2786889343671,3.762786889343671
2025-05-26,484.1425739602259,3.8414257396022586
2025-05-29,489.354822531115,3.89354822531115
2025-06-11,497.6618365971706,3.9766183659717056
2025-06-25,504.2193748708046,4.042193748708046
2025-07-01,516.2034530657421,4.162034530657421
2025-07-04,518.6208648414433,4.186208648414433
2025-07-08,516.6083804113292,4.166083804113292
2025-07-10,517.4355605815202,4.174355605815203
2025-07-16,529.7072675856822,4.297072675856822
2025-07-23,536.162952991911,4.36162952991911
2025-07-28,531.7413851374561,4.31741385137456
2025-08-01,522.000487960553,4.220004879605529
2025-08-05,532.6092827695649,4.326092827695649
2025-08-11,526.9753882686176,4.269753882686176
2025-08-13,531.6631156405406,4.316631156405406
2025-08-19,543.7143492078632,4.437143492078632
2025-08-28,531.9857743745036,4.319857743745036
2025-09-02,544.3817933910212,4.443817933910212
2025-09-04,549.3961936978825,4.493961936978825
