Date,Portfolio_Return
2020-01-03,-0.005751596535020943
2020-01-10,0.004893245238603905
2020-01-21,-0.006271920572848754
2020-01-23,0.009325634355849622
2020-01-27,-0.006832465830445406
2020-01-29,0.010342609377807744
2020-01-31,-0.006743084128900788
2020-02-04,0.017935352950135406
2020-02-06,0.004806489986016977
2020-02-13,0.0017557573482632097
2020-02-17,-0.00806329401066636
2020-02-28,-0.04336671960905838
2020-03-05,0.000872414870742275
2020-03-13,0.02541826203170778
2020-03-26,0.04447830710585318
2020-04-01,-0.012111419387721202
2020-04-07,0.054527354418317575
2020-04-21,-0.02541985987852361
2020-04-23,0.009565024807741095
2020-04-28,0.005143337678968764
2020-05-05,-0.00683124263080714
2020-05-11,0.008656418792985841
2020-05-14,0.0014204420002657356
2020-05-19,0.009559701582896955
2020-05-22,-0.014540711868222514
2020-05-28,0.01953774771620245
2020-06-02,0.016464853660164015
2020-06-04,0.0015672386637190577
2020-06-08,0.002554557383909763
2020-06-15,-0.007799252000616874
2020-06-17,-0.002461995688487908
2020-06-22,0.019793188576138526
2020-06-25,-0.0064070386042031115
2020-07-02,0.006132492723705193
2020-07-08,0.0013503459045669229
2020-07-14,-0.022048641860115153
2020-07-24,-0.0060015847563633365
2020-07-30,-0.008169475655928588
2020-08-05,0.018712915117520962
2020-08-07,0.008954337004451305
2020-08-11,0.00021492120325352802
2020-08-13,0.015768353335066772
2020-08-17,0.016790934596571074
2020-08-20,-0.00045044477865147694
2020-08-25,-0.00983065278583788
2020-08-28,0.0018789281857407643
2020-09-02,0.010712472584296803
2020-09-08,-0.019094648395726475
2020-09-21,-0.03395862475646727
2020-09-24,-0.02708253603205162
2020-09-30,-0.0017275485456405711
2020-10-05,0.011390376461556273
2020-10-12,-0.0029866032063190443
2020-10-19,0.007808929150460304
2020-10-30,0.00019244784227374044
2020-11-09,0.0037075644740093387
2020-11-11,0.008290469561320023
2020-11-18,0.01065506610123383
2020-11-26,0.015302892545028106
2020-12-04,0.012438120494783083
2020-12-09,0.0017899207883686982
2020-12-11,0.004405010890140406
2020-12-18,-0.003267283241110324
2020-12-23,0.01895582596833578
2020-12-31,0.00013611369828886455
2021-01-05,0.001668682579319878
2021-01-07,0.022541885698230582
2021-01-12,0.004353589312218058
2021-01-15,-0.006284426565274184
2021-01-21,-0.007215193440503062
2021-01-25,-0.010741055140344227
2021-01-29,-0.011042989030341071
2021-02-04,0.011973317085071695
2021-02-10,-0.0009612920832231072
2021-02-16,0.012486347869082577
2021-02-18,0.00948687503464144
2021-02-23,0.01254998366022347
2021-02-26,-0.018411360995526618
2021-03-04,0.0021584615801132495
2021-03-12,-0.009244246512911823
2021-03-17,-0.019495146579727996
2021-03-25,-0.012251826134465744
2021-03-30,0.01618392561479342
2021-04-05,-0.010824507189278852
2021-04-08,0.018761349378236893
2021-04-16,0.007356334800113107
2021-04-23,0.0003395430390675875
2021-05-05,0.004721940485794892
2021-05-06,0.012385839633623216
2021-05-12,-0.009342273512441658
2021-05-25,0.005595500733105111
2021-05-26,-0.0033761525553762644
2021-05-31,0.0046861825129080326
2021-06-01,-0.00331395802077389
2021-06-08,0.001349322199240818
2021-06-10,0.00521831206566858
2021-06-24,0.0002696464625814311
2021-07-01,0.004021557510954837
2021-07-05,0.007485327852710839
2021-07-07,0.011649500876631691
2021-07-09,0.003793910303623594
2021-07-15,-0.0014995653729303982
2021-07-26,-0.0022346335633676314
2021-07-30,0.002643950407088166
2021-08-04,-0.014553822410022796
2021-08-11,0.0044932454524751995
2021-08-20,-0.0269192478960487
2021-08-26,-0.007732843387886674
2021-09-02,0.005258229123052922
2021-09-06,0.0027298090059256447
2021-09-09,0.0025059861763706056
2021-09-16,0.008342860643171069
2021-09-24,0.0037791539043683844
2021-10-01,0.0029077748664842673
2021-10-05,0.005042639015047598
2021-10-08,0.004606974289844157
2021-10-18,0.007450276510631407
2021-10-21,-0.01713598268899961
2021-10-27,-0.007807111437630593
2021-10-29,-0.0004987466523420779
2021-11-17,0.0004575461474107846
2021-11-25,0.012308876406556365
2021-12-03,-0.0014491123635260645
2021-12-08,0.01828766308305426
2021-12-14,-3.6243929677750675e-05
2021-12-17,-0.020117437041469753
2021-12-27,0.0054972303685770696
2021-12-30,-0.0076740143621568495
2022-01-03,0.009926689535024298
2022-01-07,-0.003172001074382366
2022-01-18,-0.02093979698422512
2022-01-21,-0.01962224240660045
2022-01-28,0.007150346473033906
2022-02-03,-0.0017639840220291592
2022-02-09,0.010705241728696191
2022-02-22,-0.006016323906703279
2022-02-28,0.01582793979798127
2022-03-03,0.0004741466555165388
2022-03-07,-0.013223885288326765
2022-03-15,-0.008293685001490423
2022-03-17,0.01646208617758788
2022-03-28,0.0009527037462708402
2022-04-01,0.01520570417475062
2022-04-05,0.007684422589564736
2022-04-13,0.008369769303805735
2022-04-25,-0.017331967322625718
2022-05-04,-0.01238219143752229
2022-05-10,-0.02349287964813272
2022-05-13,0.003983756127166457
2022-05-19,-0.02204490891996069
2022-05-23,-0.02709820540653935
2022-06-02,0.004304527189871686
2022-06-08,-0.0021610785344297868
2022-06-22,-0.016091144651680836
2022-06-27,0.011763309047203676
2022-07-04,0.0019155327136876153
2022-07-08,-0.004394469038893149
2022-07-19,0.008430350871056987
2022-07-25,0.004029335768308758
2022-08-05,-0.002714535122664923
2022-08-11,0.003113406866232662
2022-09-01,0.0019419100119679642
2022-09-07,0.0015826222603793543
2022-09-16,-0.02034758044127749
2022-09-23,-0.020210169514144734
2022-09-28,-0.009480734584177326
2022-10-07,-0.0005126501082332967
2022-10-13,-0.005786414391239928
2022-10-19,-0.0006508921301197121
2022-10-25,0.004915765171318703
2022-11-02,-0.001466920987570267
2022-11-07,0.005977240989933347
2022-11-10,-0.0007976519527476183
2022-11-16,-0.009011081881968386
2022-11-22,-0.0006172282346657107
2022-11-25,0.008938129841332625
2022-12-01,0.006461866073892085
2022-12-06,-0.004555348668506001
2022-12-12,-0.0015547025058147723
2022-12-20,-0.005170228759273251
2022-12-23,-0.03714809293148232
2022-12-27,0.020471403820596555
2023-01-06,-0.008604516152568957
2023-01-10,-0.006801012269771387
2023-01-12,0.002391918450193775
2023-01-16,-0.0006535437752167009
2023-01-23,-0.002021967883360048
2023-01-27,-0.023832054603575032
2023-01-31,0.01549153829736163
2023-02-06,0.0158461690984856
2023-02-09,-0.0015625040373414478
2023-02-14,-0.0069617456562217645
2023-02-16,0.007808321883234239
2023-02-21,-0.0028983653819566577
2023-02-24,-0.006097698964874542
2023-03-03,0.015573968000797897
2023-03-15,0.0037115573106572385
2023-03-24,-0.01212983163857248
2023-04-03,0.009081727615013687
2023-04-11,0.01321853956931032
2023-04-17,0.0055371037172159115
2023-04-24,0.008367434835559713
2023-05-02,0.01025867269854143
2023-05-10,-0.003690270757338428
2023-05-18,-0.009501019415163972
2023-05-26,0.010696063947933133
2023-06-01,0.007500210377548487
