Regime,Days,Annual_Return,Annual_Volatility,Sharpe,Hit_Ratio,Benchmark_Return,Benchmark_Volatility,Excess_Return,Tracking_Error,Information_Ratio,Alpha,Beta,Max_Drawdown,Current_Drawdown
BULL,68,0.5696755927356396,0.18677615872565762,2.728804341052255,0.6176470588235294,0.21397289915062667,0.13421747472096365,0.35570269358501294,0.11207786277046454,3.173710532948795,0.3372852793818236,1.1196146484529865,-0.05851588733755486,-0.021600976733946675
BEAR,97,0.15834215090488055,0.1823223632798547,0.539386113342173,0.5876288659793815,-0.1349518445863454,0.10923386182586427,0.2932939954912259,0.1338456532074185,2.191285174100595,0.3210265840200499,1.1422535323411163,-0.10603254320181399,-0.029421868074841817
SIDEWAYS,223,0.3001360593784377,0.20643774152207406,1.1632371949426714,0.6143497757847534,-0.02112190727046158,0.20279789269658988,0.3212579666488993,0.13648147990472614,2.353857584729887,0.30435619384859014,0.7916497112924337,-0.1364784957317955,-0.06945330052275023
