Attribution_Rank,Sector,Portfolio_Weight,Benchmark_Weight,Active_Weight,Portfolio_Return,Benchmark_Return,Active_Return,Allocation_Effect,Selection_Effect,Interaction_Effect,Total_Effect,Contribution_Pct
1,Consumer Defensive,0.05991890271174572,0.0753543845676591,-0.015435481855913376,2.2521847204803014,-0.0495375425789288,2.3017222630592302,0.0014199000749102993,0.17344486457850783,-0.03552819222880262,0.1393365724246155,22.142679715839044
2,Basic Materials,0.2585383367732018,0.08860773515979366,0.16993060161340817,0.5551906096644493,0.1644136925977476,0.3907769170667017,0.0207250550682494,0.034625857574006956,0.06640495661377753,0.12175586925603388,19.34884122342348
3,Industrials,0.21578066802630666,0.10995245597833479,0.10582821204797187,0.6422519264342491,0.23648174903988953,0.4057701773943596,0.020533840899948783,0.04461542756727443,0.04294193237603345,0.10809120084325666,17.177319627749327
4,Consumer Cyclical,0.18691501929850257,0.10141226851083673,0.08550275078766584,0.6303418698642307,0.07225074468075064,0.55809112518348,0.0025478903747895494,0.05659728704062207,0.04771832639337111,0.10686350380878273,16.98222008030532
5,Financial Services,0.09176655316551648,0.2757770124150817,-0.18401045924956522,0.4514734807023045,-0.010535708649277328,0.4620091893515818,0.00975025874077807,0.127411513947693,-0.0850145231101039,0.052147249578367166,8.286983276414503
6,Technology,0.03530811064841437,0.07326354121854858,-0.037955430570134216,0.6246757567655276,-0.2982431798800367,0.9229189366455642,0.012931225260802488,0.06761630955631133,-0.035029785621712814,0.04551774919540101,7.233455827722082
7,Healthcare,0.06670220933306914,0.04943188868248766,0.017270320650581483,0.5764690306616588,0.11318894837140597,0.4632800822902528,0.0012216529583728784,0.022900809456585496,0.008000995572180442,0.032123457987138816,5.104901241626687
8,Utilities,0.04149619732645238,0.06295975764470474,-0.02146356031825236,0.7533572175567491,0.33736058611583875,0.41599663144091037,-0.006329792176280016,0.026191047096533276,-0.008928768791121776,0.010932486129131485,1.737336685141869
9,Energy,0.0,0.112473123842853,-0.112473123842853,0.0,-0.016142134379967865,0.016142134379967865,0.006590244634818451,0.0018155562792061008,-0.0018155562792061008,0.006590244634818452,1.0472891191346119
10,Real Estate,0.02098866569632144,0.005298340089696528,0.015690325606624915,0.09743474237253281,-0.32313810826667455,0.42057285063920735,-0.005736224949867462,0.0022283379951796626,0.006598924967835591,0.0030910380131477914,0.4912124901855529
11,Communication Services,0.022585337020469245,0.04546949189000345,-0.022884154869534202,0.0700393729896589,-0.00581210690475813,0.07585147989441703,0.0011044790858124277,0.0034489282499039543,-0.001735797012987199,0.0028176103227291836,0.4477607124575166
