Date,Portfolio_Return,Holdings,Portfolio_NAV,Cumulative_Return,Benchmark_Return,Benchmark_NAV,Benchmark_Cumulative_Return,Excess_Return,Excess_Cumulative_Return,Rolling_Return,Rolling_Volatility,Rolling_Tracking_Error,Rolling_Sharpe,Rolling_Information_Ratio,Rolling_Beta,Rolling_Alpha,Rolling_Max_Drawdown,Rolling_Current_Drawdown,Rolling_Hit_Ratio,Rolling_Recovery_Score,Rolling_Risk_Grade,Rolling_Performance_Score
2020-01-03,-0.005751596535020943,29,100.34996578346824,0.0034996578346824236,-0.004522789386603554,97.8577818363207,-0.021422181636792992,-0.0012288071484173888,-0.0012288071484174434,,,,,,,,,,,,UNKNOWN,
2020-01-10,0.004893245238603905,29,102.54077984717797,0.025407798471779763,0.0033480474426501594,98.18541433254121,-0.0181458566745879,0.0015451977959537455,0.0003144918974389288,,,,,,,,,,,,UNKNOWN,
2020-01-21,-0.006271920572848754,29,103.71603342896275,0.037160334289627395,-0.004474618385662321,97.74607207236495,-0.022539279276350466,-0.0017973021871864328,-0.001483375526722619,,,,,,,,,,,,UNKNOWN,
2020-01-23,0.009325634355849622,29,103.49912636446746,0.03499126364467453,0.0060667236352978104,98.33907047806389,-0.016609295219361164,0.003258910720551811,0.001770701005422648,,,,,,,,,,,,UNKNOWN,
2020-01-27,-0.006832465830445406,29,103.4542355352561,0.034542355352561005,-0.010552527912150667,97.30134469198917,-0.026986553080108333,0.0037200620817052603,0.0054973502047961365,,,,,,,,,,,,UNKNOWN,
2020-01-29,0.010342609377807744,29,104.08784169052822,0.04087841690528227,0.006113256399948197,97.89617276015105,-0.021038272398489544,0.004229352977859547,0.00974995341711482,,,,,,,,,,,,UNKNOWN,
2020-01-31,-0.006743084128900788,29,102.33070993961444,0.023307099396144393,-0.006123414854723341,97.29671388165097,-0.027032861183490242,-0.000619669274177447,0.009124242396380211,,,,,,,,,,,,UNKNOWN,
2020-02-04,0.017935352950135406,29,102.66789267458654,0.02667892674586536,0.02321082268667074,99.55505065555371,-0.004449493444462882,-0.005275469736535334,0.003800637995214018,,,,,,,,,,,,UNKNOWN,
2020-02-06,0.004806489986016977,29,104.16805596725334,0.04168055967253337,0.004036661230167438,99.95692066880234,-0.0004307933119765961,0.0007698287558495394,0.004573392591482817,,,,,,,,,,,,UNKNOWN,
2020-02-13,0.0017557573482632097,29,103.55761624646355,0.035576162464635575,-0.0021759994314084485,99.73941446626169,-0.0026058553373831117,0.003931756779671659,0.008523130838482107,,,,,,,,,,,,UNKNOWN,
2020-02-17,-0.00806329401066636,29,102.07282492840564,0.020728249284056366,-0.00558473346026378,99.18239642098484,-0.008176035790151581,-0.0024785605504025806,0.006023445192217203,,,,,,,,,,,,UNKNOWN,
2020-02-28,-0.04336671960905838,29,95.87710663284096,-0.04122893367159042,-0.03709607866493836,95.50311844117488,-0.044968815588251276,-0.006270640944120019,-0.000284966613949722,,,,,,,,,,,,UNKNOWN,
2020-03-05,0.000872414870742275,29,95.8468957026677,-0.04153104297332311,0.0015998577904186018,95.65590984922227,-0.04344090150777735,-0.0007274429196763268,-0.001012202236680415,,,,,,,,,,,,UNKNOWN,
2020-03-13,0.02541826203170778,29,84.27969030715332,-0.1572030969284668,0.03806507612689369,99.29705933962019,-0.007029406603798138,-0.012646814095185914,-0.013646215198352296,,,,,,,,,,,,UNKNOWN,
2020-03-26,0.04447830710585318,29,68.92020514138761,-0.31079794858612386,0.038904356430389475,103.1601475286583,0.03160147528658297,0.005573950675463707,-0.008148327853310988,,,,,,,,,,,,UNKNOWN,
2020-04-01,-0.012111419387721202,30,67.38683300103824,-0.3261316699896176,-0.04000467509668226,99.03325934384851,-0.00966740656151488,0.027893255708961062,0.019517644463237227,,,,,,,,,,,,UNKNOWN,
2020-04-07,0.054527354418317575,30,71.25413752972966,-0.28745862470270334,0.08763210467115035,107.71175229259381,0.07711752292593821,-0.03310475025283277,-0.01423323253507458,,,,,,,,,,,,UNKNOWN,
2020-04-21,-0.02541985987852361,30,73.85375826115232,-0.26146241738847675,-0.030274667144095657,104.45081484442827,0.044508148444282636,0.004854807265572046,-0.009447524870226376,,,,,,,,,,,,UNKNOWN,
2020-04-23,0.009565024807741095,30,74.87325290901566,-0.25126747090984336,0.01377995587701486,105.89014246430273,0.05890142464302728,-0.004214931069273765,-0.0136226352733968,,,,,,,,,,,,UNKNOWN,
2020-04-28,0.005143337678968764,30,75.24523032097885,-0.2475476967902115,0.010622430648890235,107.0149531590309,0.0701495315903089,-0.005479092969921472,-0.019027088558159932,,,,,,,,,,,,UNKNOWN,
2020-05-05,-0.00683124263080714,30,74.3980712920054,-0.25601928707994603,-0.009458265521601117,106.00277731727108,0.0600277731727108,0.0026270228907939765,-0.016450050264553262,,,,,,,,,,,,UNKNOWN,
2020-05-11,0.008656418792985841,30,74.8217911060938,-0.25178208893906207,-0.0013294930214019507,105.86184736457854,0.05861847364578532,0.009985911814387792,-0.006628407201449638,,,,,,,,,,,,UNKNOWN,
2020-05-14,0.0014204420002657356,30,77.08552246554147,-0.22914477534458522,-0.025661909373274727,103.14523023142128,0.03145230231421281,0.027082351373540463,0.020274431319214248,,,,,,,,,,,,UNKNOWN,
2020-05-19,0.009559701582896955,30,75.05984502962586,-0.2494015497037414,0.00632982284022332,103.79812126560022,0.03798121265600218,0.0032298787426736347,0.023569794016625734,,,,,,,,,,,,UNKNOWN,
2020-05-22,-0.014540711868222514,30,75.13501004026483,-0.24864989959735173,-0.0073575840768702605,103.0344178613674,0.030344178613674,-0.007183127791352254,0.01621736138283625,,,,,,,,,,,,UNKNOWN,
2020-05-28,0.01953774771620245,30,78.52072211198599,-0.21479277888014014,0.018803043536468778,104.97177850616941,0.04971778506169411,0.0007347041797336716,0.0169639805257622,,,,,,,,,,,,UNKNOWN,
2020-06-02,0.016464853660164015,30,83.39547804681578,-0.16604521953184215,0.015565527970742954,106.60571966064583,0.06605719660645826,0.0008993256894210613,0.017878562358664807,,,,,,,,,,,,UNKNOWN,
2020-06-04,0.0015672386637190577,30,84.11654140695664,-0.15883458593043354,-0.003225168681009971,106.26189823237979,0.06261898232379792,0.004792407344729029,0.02275665105695457,,,,,,,,,,,,UNKNOWN,
2020-06-08,0.002554557383909763,30,86.69492806874814,-0.13305071931251855,0.002494520758722585,106.52697074338174,0.06526970743381733,6.003662518717836e-05,0.022818053914671843,,,,,,,,,,,,UNKNOWN,
2020-06-15,-0.007799252000616874,30,85.27914992021749,-0.1472085007978251,-0.015963279394844432,104.8264509463187,0.048264509463187055,0.008164027394227558,0.03116836852614191,,,,,,,,,,,,UNKNOWN,
2020-06-17,-0.002461995688487908,30,85.38715600768715,-0.14612843992312852,-0.0033134566648174157,104.47911304378148,0.0447911304378148,0.0008514609763295078,0.03204636815196715,,,,,,,,,,,,UNKNOWN,
2020-06-22,0.019793188576138526,30,90.5554736846803,-0.09444526315319701,0.006520616350433883,105.16038125657359,0.051603812565735874,0.013272572225704642,0.045744278113540204,,,,,,,,,,,,UNKNOWN,
2020-06-25,-0.0064070386042031115,30,89.51689693820374,-0.10483103061796262,-0.001591357298992957,104.99303351629605,0.049930335162960526,-0.0048156813052101545,0.04070830694339844,,,,,,,,,,,,UNKNOWN,
2020-07-02,0.006132492723705193,30,90.05513845963851,-0.09944861540361483,0.011663452514898642,106.21761477710854,0.06217614777108538,-0.0055309597911934495,0.03495219114333348,,,,,,,,,,,,UNKNOWN,
2020-07-08,0.0013503459045669229,30,92.29329314569188,-0.07706706854308121,-0.00869476207364206,105.29407788859181,0.052940778885918194,0.010045107978208982,0.04534839765565213,,,,,,,,,,,,UNKNOWN,
2020-07-14,-0.022048641860115153,30,91.60414719543655,-0.08395852804563442,-0.01808349601540049,103.3899928506482,0.03389992850648205,-0.003965145844714663,0.041203438800408776,,,,,,,,,,,,UNKNOWN,
2020-07-24,-0.0060015847563633365,30,93.5406184647275,-0.06459381535272501,-0.0018991484351116306,103.19363990751968,0.03193639907519685,-0.004102436321251706,0.03693196799526177,,,,,,,,,,,,UNKNOWN,
2020-07-30,-0.008169475655928588,30,94.20877261329719,-0.05791227386702813,-0.008988714680747911,102.26606172152314,0.022660617215231493,0.0008192390248193231,0.03778146312952635,,,,,,,,,,,,UNKNOWN,
2020-08-05,0.018712915117520962,30,98.72295014809875,-0.012770498519012574,0.0005768586219327965,102.32505478095833,0.023250547809583244,0.018136056495588165,0.05660272637491759,,,,,,,,,,,,UNKNOWN,
2020-08-07,0.008954337004451305,30,99.85358499331033,-0.0014641500668965968,0.0012410024488720417,102.45204042452245,0.024520404245224503,0.007713334555579264,0.06475265669578456,,,,,,,,,,,,UNKNOWN,
2020-08-11,0.00021492120325352802,30,101.79587490389352,0.01795874903893524,0.004644978776729314,102.92792797792698,0.029279279779269807,-0.004430057573475785,0.0600357411251109,,,,,,,,,,,,UNKNOWN,
2020-08-13,0.015768353335066772,30,103.41501675175286,0.03415016751752864,-0.0007030344733010008,102.85556609629305,0.028555660962930496,0.016471387808367773,0.07749600090791309,,,,,,,,,,,,UNKNOWN,
2020-08-17,0.016790934596571074,30,104.94478305638286,0.04944783056382862,0.0061457110453491115,103.48768668492667,0.03487686684926672,0.010645223551221963,0.0889661867131255,,,,,,,,,,,,UNKNOWN,
