Metric,Value
Governance_Score,30.69
Risk_Level,CRITICAL
Executive_Action,REDUCE_EXPOSURE
Overall_Status,CRITICAL
Pack_Score,69.16
Recommendation,OVERWEIGHT
Forecast_Regime,BULL
