Terminal_Value,CAGR,Max_Drawdown
1619049.430351484,0.10116404292881809,-0.24737248116279908
2805057.2674379963,0.2291031916747781,-0.15597265134817373
1315084.5152554328,0.05630839856606129,-0.4087281683085412
2486987.742539198,0.19987147541752592,-0.1940005027223327
4074000.377253622,0.32435438234419856,-0.2593886554489808
1244802.80960363,0.0447686008491015,-0.4252146198179161
2290885.662105811,0.18032249143125956,-0.2791844236406952
3422612.4251713892,0.2790029451572653,-0.19332681442872657
4331218.927926811,0.34067041962456224,-0.13071831257941957
6208865.022024878,0.44079583282744417,-0.14531902355591275
1653192.1690641572,0.10576965553943851,-0.2779347243024014
3461476.103126778,0.2818944508757306,-0.18246285348126456
2778574.452943342,0.22677356107194857,-0.36846772177253384
2346288.8053198005,0.18597707370271999,-0.33546979708836133
3258328.7645323416,0.26648187973528903,-0.1377094114959848
970779.7514727555,-0.005913578139289055,-0.4781384053021903
1075319.154690424,0.014629479600607675,-0.3494524955140017
2202226.8203599523,0.17104183271723428,-0.22905607346237356
1623262.5170025947,0.1017365366426135,-0.2270333331774107
2056771.8797575226,0.155146921917243,-0.2967142340625658
2200312.1846775953,0.17083813902030487,-0.23633214102025446
2135528.193244732,0.16386085603785006,-0.3071651780377921
4433035.459863005,0.3469151598985951,-0.24395912860965507
2810719.47045725,0.229598997549475,-0.34685766696917664
2511269.5910921386,0.20220538113926656,-0.23406704724944627
2371249.826624326,0.18848980985913655,-0.2728547216451247
3984145.364609761,0.31846023255690237,-0.10865665076780728
2232364.6133682905,0.1742296055205239,-0.2179976683297653
2710304.540311483,0.22068502981968474,-0.2434310694620948
2692287.0810608775,0.2190577322067382,-0.15633385857704418
2300764.391475806,0.18133869458284457,-0.2799503304844384
3004077.3861796833,0.24606937741440293,-0.15397688085924432
1849899.5832897197,0.13091413155198017,-0.3242899017248405
2372038.9940429316,0.18856890676336513,-0.23987842820782257
1440669.1957099356,0.07575371375348605,-0.3175938311303145
3466777.8107840037,0.28228688864023965,-0.11174612948128326
2708809.4367076596,0.2205503251472467,-0.22897713543018472
1142060.649676962,0.026922888215417995,-0.39554715493268644
3817078.53874313,0.3072125815920477,-0.11728332295276311
1029486.0634738879,0.005828864145649204,-0.3750530449362004
3608590.501025699,0.2926100264629632,-0.2621840690888846
4229102.915913752,0.3342882168806014,-0.14531902355591264
3375351.6351860636,0.2754510763556903,-0.13971412116969273
4047296.685189061,0.3226136735910228,-0.11728332295276311
2665998.6284589022,0.2166677160830981,-0.23790537851815363
1908601.4285911773,0.13800206182621122,-0.2770133642406819
2755893.405881623,0.22476419924826407,-0.15437795203135185
2091545.1700608514,0.15902672379943716,-0.29533902009517576
1127183.8615939028,0.02423344354716872,-0.44648506676436495
2628362.931487873,0.21321303195128127,-0.1501691310039316
3071155.65742896,0.2515850465599412,-0.1336458246883826
2667850.585507401,0.216836702706229,-0.25942033107774864
1295871.306194294,0.053203696532763356,-0.2926390680769705
2393628.7154391534,0.190724685397905,-0.14310449103393907
3286369.828326114,0.2686542741154734,-0.15667034051563522
2473355.981912352,0.19855322683420362,-0.12572043318420034
3654479.8738878886,0.29588097773065414,-0.16093561452140737
3200586.5042326776,0.2619609429636369,-0.14207904770201596
1448900.6730905331,0.07698020955852414,-0.24278548033196712
2921777.0896037244,0.2391657918333281,-0.34284204079190284
2354535.2363616605,0.18680956777233382,-0.22081126806268414
2534590.09150249,0.20442995048506551,-0.3470138105820394
2655524.369865907,0.21571019370403666,-0.2426513239759861
2425426.555326448,0.19387161206474612,-0.21846448283815212
3028370.876752516,0.24807824225666808,-0.1377094114959848
3352163.698378919,0.2736938262360302,-0.2719454450884089
3123252.7813015473,0.25580274225709343,-0.240592419795032
1118480.8376059097,0.022646907994934073,-0.42765943270697837
2117250.5950873755,0.16186174550270294,-0.26737843164778485
2121720.8847713596,0.16235195461469676,-0.20404635296131413
2518355.381415982,0.20288304451223382,-0.09120731587155673
2780196.076034145,0.22691672081946512,-0.18334027150298793
4045244.6653284314,0.3224795307138959,-0.10053996390828268
2305315.6016808646,0.18180569342919006,-0.2291659432045814
1577337.6637127872,0.09543076714808629,-0.37279554714787577
2465824.237047491,0.19782238072992642,-0.1377094114959847
4665167.147608334,0.36073464324392557,-0.1377094114959847
4495006.374414889,0.3506600747387598,-0.09082370653710747
2521114.876104593,0.20314654151334888,-0.26283982735703526
3918770.711319181,0.31410470638739674,-0.12981032161014006
1597182.483715258,0.09817336896491446,-0.22729332100417166
2492734.2829809864,0.20042545851981197,-0.25645494097739885
2649884.5335752065,0.2151933663180905,-0.16480938402892165
3731569.369374619,0.3013026191617423,-0.17327541723015705
2137658.0215827078,0.16409291436878104,-0.30144830087535923
746776.1490200163,-0.056725513800652716,-0.4289405643219649
2465390.3622806016,0.1977802251309837,-0.2623107947234763
3531872.402850727,0.2870665429628041,-0.21623312536020034
2215132.014511306,0.17241110330872833,-0.30173453891984514
4313786.992495624,0.33958951397055603,-0.11174612948128326
2830732.837674469,0.2313450718942831,-0.18698566385976656
2104615.833446152,0.16047173402049797,-0.21221959962155512
2630968.7052171263,0.2134534938508572,-0.22530321850682355
2375525.2066329345,0.18891807219298062,-0.20226372852747743
1798961.1044520864,0.12461625052120251,-0.2792935877412953
7088113.39849393,0.4794698917543385,-0.14087413591634024
2031205.6407477437,0.1522607771285185,-0.1615197708317696
1252146.9111487796,0.04599848931631478,-0.4619861954521668
3264862.0199068272,0.2669893559206822,-0.1969762643495505
4539227.298399226,0.3533071802162917,-0.16557723609385055
3839788.1949093137,0.3087643417509971,-0.21144399667196023
2155987.8022153717,0.16608245212526485,-0.20138629633242178
3156821.9864878054,0.25849072315197397,-0.13971412116969284
3171232.2335587507,0.25963758156943806,-0.16311894738381105
1270838.3797226413,0.0491028442000474,-0.29950079947078956
1435236.160922152,0.07494111307941886,-0.3112119167420301
3354858.9218313927,0.2738985767351849,-0.12875830689430168
5165823.540693243,0.3887622839397249,-0.1377094114959847
5062785.212510781,0.3831774518617699,-0.1377094114959847
3281974.643373097,0.26831475325930976,-0.21701888987782425
2929287.082354438,0.23980215611120026,-0.2224962516151482
1843609.4287089843,0.1301440011245638,-0.32201520414036533
2620527.508161982,0.2124888250095145,-0.19914991236729973
1580367.3960297934,0.09585126240085784,-0.21100506150851883
2240148.7665808443,0.17504736269784282,-0.2003457771538052
3260357.370396658,0.2666395404976265,-0.1377094114959848
1558772.0633646052,0.092839849299164,-0.25787029940538764
3254055.0017270846,0.2661494709723464,-0.23708994243423454
3507880.787467795,0.2853131924421217,-0.14240151659513645
3033127.759956457,0.24847008565583661,-0.16370225586397857
2909159.6333634406,0.23809369102209277,-0.25045087003437894
2050069.3480922056,0.15439306866339808,-0.19457258172966896
3887265.2472391105,0.31198489542723373,-0.12717646594875687
2031661.2442356052,0.15231246337078796,-0.20521325029349213
2747046.6700489894,0.22397686073838363,-0.23970673857752123
2208561.4164365972,0.17171474765401107,-0.21282250931943336
4102367.662802981,0.32619356423301626,-0.12113409799564567
1076876.4144950449,0.01492318351473032,-0.4003202553266405
1298912.701483643,0.05369760450277461,-0.23611735006758494
2757639.649603692,0.2249193717901259,-0.14339449173882868
4749183.58564411,0.36560089148502417,-0.1703009841873474
1183121.7157979829,0.034203218891901255,-0.26280791551191496
2410412.088791898,0.19238981932660848,-0.21592349504137165
5277439.785639391,0.3947123847470362,-0.11275558930371421
1009364.4355597849,0.0018659108603555907,-0.3512879825112355
1754454.1251967754,0.11899566323708455,-0.16076722932366028
1966231.576451284,0.14479291580596998,-0.2382625199479539
1810157.8510891206,0.12601270212500304,-0.2063818208892051
4920556.556561381,0.37531710874659474,-0.11728332295276322
3698554.8936064388,0.29899181258994467,-0.17628937842209258
1993796.7950763511,0.1479849081866127,-0.37251577878919084
1520912.4244834078,0.08747890577667317,-0.3078825929921083
1246264.8371408759,0.04501390289122753,-0.27127842259393564
3617061.551285803,0.29321632952048304,-0.1377094114959847
3426086.745689449,0.2792625049555333,-0.18554364762518238
1392358.9100896027,0.06844024847960406,-0.32962666551364683
4830581.708850045,0.37025023905576715,-0.17060088331279644
5498918.258025916,0.4062270664101859,-0.1759522536269975
1658622.167628931,0.1064950950437702,-0.229000400567285
2084471.076471676,0.15824164120539264,-0.2488807654488009
2307578.1184777557,0.18203757544673538,-0.34970438199730514
1068338.5914272477,0.013308727814327792,-0.4154042327569132
1591659.9955655443,0.09741289798795894,-0.25318367513398354
2690386.850252991,0.21888560009278213,-0.15034886712542672
4183716.5723915417,0.33141195142474245,-0.1377094114959847
2139983.796838641,0.16434611118201303,-0.36274970150241415
2623450.6459410465,0.21275920503920998,-0.24547667345123936
2254917.6479201,0.17659266634031634,-0.414750832470146
2144695.3930189377,0.164858367744813,-0.1760812738387293
2064910.0770303018,0.15605961136628133,-0.22039214369584081
3223699.4465554706,0.2637783436429264,-0.1563338585770443
2337807.939076307,0.18511846781433028,-0.14954217740722386
3886199.163204288,0.311912925056121,-0.22230504965953723
3097867.4973624693,0.25375468131812795,-0.18847216704112202
1821574.283992717,0.12742945598207278,-0.2296419380278707
5136711.474211135,0.3871934658825844,-0.16506458330317453
2134661.470018331,0.1637663680285022,-0.2904731185139424
2095656.5458119628,0.1594820285232461,-0.1622955785531972
1944595.9600779298,0.14226238561572302,-0.29799077066667945
5001362.036379683,0.3798048229515678,-0.17001579199368033
1947153.958810269,0.14256274307509864,-0.2640958405683199
3681637.4766106363,0.29780129875018346,-0.2709592109156763
3001772.1837866493,0.24587808246264897,-0.1377094114959847
1287243.2392635094,0.05179747504932086,-0.2911554673446546
2527179.8197403355,0.20372485743960533,-0.18665532641494553
1410654.7382196102,0.07123350187208333,-0.2774936538878796
1444978.8810841914,0.07639655701909209,-0.26430796440589466
3206322.6082986686,0.26241295733916226,-0.15398268994092001
3242461.638479256,0.2652459893489443,-0.30269516579086186
3830704.3003300503,0.3081445188414109,-0.14743578299046733
4984063.555445659,0.3788490185890707,-0.1377094114959847
1819221.4037293252,0.12713805110501486,-0.21592349504137176
2591444.3978316993,0.20978551136987145,-0.18968401364364684
4305768.708761726,0.33909114889747216,-0.14111164562760325
2422898.4892383968,0.19362262942859876,-0.21053397592910827
8681129.622534875,0.5406899448150324,-0.1331850631280378
3051867.384195848,0.25000897598441374,-0.22620954074083155
3820800.7102375655,0.30746742427303975,-0.15083351508771392
1884431.7813162764,0.13510512369150818,-0.31838590377259024
3019926.6526050507,0.24738144339788382,-0.24023872681138092
1092868.276322473,0.01791980421789585,-0.36834589669891293
3106638.1730988384,0.2544638042119711,-0.20392949512028014
2399609.6980537227,0.1913191465373396,-0.23254973421199143
3397521.300402978,0.27712215119975925,-0.11728332295276311
348811.61389129073,-0.18993813538073578,-0.6680625687149114
1617735.76240664,0.10098529191686301,-0.3079561616027825
2769087.1479817475,0.22593466301525367,-0.14999867559370972
4131509.0876423107,0.3280723730542281,-0.1448382269188202
3750478.3917912324,0.30261877511854696,-0.1377094114959847
3863339.111072297,0.3103658497518611,-0.26293326230072833
4344310.281917866,0.34147989196734474,-0.08876756959450416
2365654.235357316,0.1879283684379467,-0.24888556600607503
2059147.2312550936,0.15541361297038048,-0.22042874723742056
1965182.6691443915,0.1446707493248054,-0.3252650873148152
1090970.1692176936,0.01756597118103964,-0.3430831059985705
4169083.830361286,0.3304793107646984,-0.2104385579769945
2035045.6137914646,0.15269611544414263,-0.2356765407125876
1520703.5673142916,0.08744903683233352,-0.24061130772824935
1478722.7578131156,0.08137755553139514,-0.2038677407493632
1547883.7026695032,0.09130882083595249,-0.2674141603589395
3032743.192182048,0.2484384255510348,-0.3121971117516422
2769360.82910624,0.2259588949657707,-0.14646578046045644
897509.8615563819,-0.021394063840966537,-0.46394225570801717
1841122.9740382263,0.1298389941129845,-0.31691886804598624
1655856.8557097332,0.1061258914068608,-0.2701610271574769
2999696.391846204,0.245705724323374,-0.22573683024944957
1257609.4837091933,0.046909548204093765,-0.362168183597114
2166160.949548538,0.16718082585267657,-0.1931854812616307
1376122.1935974257,0.06593666236547602,-0.2581841684350338
3667326.0256716036,0.29679075020502443,-0.233683983594685
2581640.30225735,0.2088687374894116,-0.16767278794140816
4401459.107955631,0.3449908637493053,-0.17003769453762085
2308551.354179907,0.18213726499865146,-0.433060529934175
1460274.5178658052,0.0786657802921975,-0.2631306372778266
3484492.141910103,0.2835946488035179,-0.16120248512504143
1463346.5259833657,0.07911924093868583,-0.3228146968996439
2041892.5439012484,0.15347072505651171,-0.17495927730443794
3538569.0329289422,0.2875542434297127,-0.1340134577493487
3378003.3891739375,0.27565141815684435,-0.16346788456930494
1403147.3383920728,0.07009086181846502,-0.23761099799812302
2889948.8839360573,0.2364541946693084,-0.18589561275637967
4048783.4310872387,0.3227108298775425,-0.22611619394158367
1767914.2171331847,0.1207073950615345,-0.19197172481785385
1702199.6475348938,0.11224919283516965,-0.41165589659857305
3619047.4039945845,0.2933582996425286,-0.1377094114959847
2104244.830668454,0.1604308174226723,-0.17001579199368033
3924223.7700637784,0.31447022432223837,-0.39521070230007493
2781742.5453210245,0.22705318364080895,-0.21592349504137165
4018273.8771387474,0.3207113399182695,-0.1497998574679441
2754297.9731931817,0.22462235911176665,-0.1725947105241893
4690414.958932024,0.3622043200342915,-0.07413213740276603
4116787.87752036,0.32712459553124207,-0.16237868999020277
2694434.6520825666,0.2192521526418878,-0.261292853774309
1781941.763585392,0.12248023182115797,-0.16582597197604854
1373637.97002723,0.06555153098837985,-0.18602328274699675
3051898.863182895,0.2500115546583246,-0.11275558930371421
2939464.8343363567,0.24066249502735504,-0.1449537423533115
2836733.016998461,0.231866635416214,-0.35881900522367427
2511746.109704015,0.20225100186950096,-0.2416059227680296
708271.3175882787,-0.06665988771696651,-0.4251452004833526
1226533.1431191731,0.04168367394482053,-0.43730755391989584
2241896.1769896927,0.17523062281535773,-0.27970410734268236
608792.2786089585,-0.09448879838681457,-0.5310760159812503
3264501.2114165258,0.26696135101736873,-0.18089361975279328
3136618.2916263435,0.2568757125604826,-0.15568097689564775
1981874.9746452265,0.1466087476870277,-0.2526317853746386
2257469.7129406873,0.17685887406976786,-0.24851434244500492
3362217.209188514,0.27445690118259747,-0.2547279172367377
978717.8755093694,-0.0042931288960333935,-0.4144504303770947
3545576.1181984893,0.2880637637815284,-0.21339808715671482
1778228.8667294458,0.12201207609498321,-0.21207986340933127
4056476.275962695,0.3232130886295268,-0.0874459711923734
1912199.0873212325,0.13843075893826784,-0.2338044324074804
3145696.272448292,0.25760240012454383,-0.21880116307550213
2443155.1734440387,0.19561184862176506,-0.1703009841873474
5041445.253541384,0.38200944487016497,-0.3106728842469004
869203.8630380689,-0.027646169146028687,-0.4136350121030907
3546305.320998141,0.2881167414873549,-0.1633240466461281
1226822.9864358057,0.04173290156127574,-0.4918330491516497
1265831.498960575,0.048274882046324574,-0.46044237032225865
1494517.393600517,0.08367784535580802,-0.28681720990832393
3626218.3711917074,0.2938704392605802,-0.18198181832703242
1999865.3270697754,0.14868288472300284,-0.23035720641328172
1335552.9369967,0.05957626502210411,-0.22907711198847003
1281831.459938281,0.05091159861655514,-0.36872501541252234
2153558.278093597,0.16581952825432555,-0.23894360853395524
2966007.591753361,0.24289503076125118,-0.16480938402892176
