Symbol,CRISIS,MARKET_FREEZE,MODERATE_STRESS,NORMAL_MARKET,SEVERE_STRESS
ACUTAAS,0.0032692517985679227,0.013077007194271677,0.0009340719424479777,0.0006538503597135843,0.0013077007194271686
ADANIENSOL,0.0008950552965980026,0.0035802211863920066,0.0002557300847422864,0.0001790110593196005,0.000358022118639201
ADANIPORTS,0.0017767269258773244,0.007106907703509292,0.0005076362645363785,0.0003553453851754649,0.0007106907703509298
ADANIPOWER,0.0006680717314870083,0.00267228692594803,0.00019087763756771666,0.00013361434629740164,0.0002672286925948033
AETHER,0.00830717918054055,0.03322871672216217,0.0023734797658687286,0.0016614358361081096,0.003322871672216219
ANANDRATHI,0.0020959128940304973,0.00838365157612198,0.0005988322554372849,0.00041918257880609944,0.0008383651576121989
APARINDS,0.0028432410371715985,0.011372964148686382,0.0008123545820490281,0.0005686482074343196,0.001137296414868639
APOLLOHOSP,0.001481385615650432,0.005925542462601722,0.0004232530330429805,0.0002962771231300864,0.0005925542462601728
ATHERENERG,0.0013506547215982106,0.005402618886392836,0.0003859013490280601,0.00027013094431964206,0.0005402618886392841
BAJAJ-AUTO,0.0017128830054269888,0.006851532021707949,0.000489395144407711,0.0003425766010853977,0.0006851532021707954
BELRISE,0.0038635455520748506,0.015454182208299387,0.0011038701577356716,0.0007727091104149699,0.0015454182208299398
BHARATFORG,0.003295050069405428,0.013180200277621701,0.0009414428769729794,0.0006590100138810855,0.001318020027762171
BHEL,0.0013652346381868674,0.0054609385527474635,0.0003900670394819621,0.0002730469276373734,0.0005460938552747468
BSE,0.0006178791832738439,0.0024715167330953726,0.00017653690950681248,0.00012357583665476875,0.0002471516733095375
CGPOWER,0.0015972128790142511,0.0063888515160569976,0.00045634653686121455,0.0003194425758028501,0.0006388851516057002
CRAFTSMAN,0.00818096825745822,0.032723873029832845,0.0023374195021309196,0.0016361936514916436,0.003272387302983287
CUPID,0.002186054622722387,0.008744218490889539,0.000624587035063539,0.0004372109245444773,0.0008744218490889546
FEDERALBNK,0.0009002300252786196,0.0036009201011144745,0.00025720857865103413,0.00018004600505572388,0.00036009201011144777
GPIL,0.00284022254801386,0.011360890192055427,0.0008114921565753884,0.0005680445096027718,0.0011360890192055437
